step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
79000	79	4.47016	26821	0	5104.08	4423.66	0	25240.1	0	0	0
80000	80	4.49006	26940.4	0	5360.68	4242.39	0	25091	0	0	0
81000	81	4.4692	26815.2	0	5319.21	4317.75	0	25152.5	0	0	0
82000	82	4.47136	26828.1	0	5400.35	4402.73	0	25559.1	0	0	0
83000	83	4.47727	26863.6	0	5171.21	4250.64	0	25661.7	0	0	0
84000	84	4.41818	26509.1	0	5276.61	4507.71	0	25479.5	0	0	0
85000	85	4.49947	26996.8	0	5462.32	4295.22	0	25399.5	0	0	0
86000	86	4.32686	25961.2	0	5185.55	4213.83	0	25710.3	0	0	0
87000	87	4.42281	26536.9	0	5326.19	4285.83	0	25571.2	0	0	0
88000	88	4.42331	26539.8	0	5117.38	4501.29	0	25238.5	0	0	0
89000	89	4.448	26688	0	5327.8	4400.53	0	25228.9	0	0	0
90000	90	4.50819	27049.1	0	5635.14	4425.21	0	25336.1	0	0	0
91000	91	4.39605	26376.3	0	5239.45	4387.19	0	25048.8	0	0	0
92000	92	4.42115	26526.9	0	5363.29	4346.95	0	25693.2	0	0	0
93000	93	4.27673	25660.4	0	5115.58	4233.95	0	25650.9	0	0	0
94000	94	4.5026	27015.6	0	5071.5	4413.93	0	25523.9	0	0	0
95000	95	4.42997	26579.8	0	5206.3	4322.87	0	25712.8	0	0	0
96000	96	4.38957	26337.4	0	5370.08	4164.41	0	26146.6	0	0	0
97000	97	4.31401	25884.1	0	5637.74	4513.6	0	25730.4	0	0	0
98000	98	4.34422	26065.3	0	5271.95	4228.2	0	25750.9	0	0	0
99000	99	4.45663	26739.8	0	4921.83	4630.4	0	25225.3	0	0	0
100000	100	4.41076	26464.6	0	5422.3	4697.48	0	25641.2	0	0	0
101000	101	4.43068	26584.1	556.105	6949.3	4478.96	2.91822	25566.9	0.0297581	0.0005	1
102000	102	4.45874	26752.5	1221.1	5370.27	4511.82	7.78572	25153.7	19.4968	0.002	4
103000	103	4.31993	25926	1629.46	5290.15	4333.39	12.9908	25338.9	34.5628	0.0035	7
104000	104	4.41191	26497.9	1124.11	5313.61	4274.5	17.2087	25454.6	42.9396	0.0045	9
105000	105	4.37912	26320.7	21.5744	5298.12	4397.44	20.3821	25242.8	26.6485	0.0045	9
106000	106	4.46339	26840.6	22.7408	5223.09	4488	19.6097	25425.8	0	0.0045	9
107000	107	4.48837	26990.8	787.06	5301.46	4348.97	27.2454	25656.9	2.01613	0.0055	11
108000	108	4.52204	27193.3	702.601	5251.69	4322.63	32.913	25608.2	32.1149	0.007	14
109000	109	4.54488	27344.3	1807.17	5735.09	4209.27	32.1981	25568.7	44.2475	0.009	18
110000	110	4.44458	26747.5	559.401	5383.28	4642.83	41.3891	25379.1	93.797	0.0095	19
111000	111	4.52649	27274.4	1691.33	5366.97	4542.56	44.8528	25937.9	22.2549	0.0115	23
112000	112	4.39828	26508.4	1338.86	5309.28	4336.54	41.8355	25793.7	57.1886	0.0125	25
113000	113	4.50434	27167.9	45.912	5295.54	4624.7	32.256	25347.1	2.05908	0.0125	25
114000	114	4.40309	26563.8	61.619	5172.4	4451.72	37.331	25320	12.4602	0.0125	25
115000	115	4.33222	26136.3	667.137	5159.77	4483.6	43.8524	25522.1	6.21888	0.013	26
116000	116	4.44812	26842.2	1503.07	5112.91	4326.9	75.9763	25593.8	10.4088	0.0145	29
117000	117	4.43009	26740	1354.11	5283.93	4374.88	67.9746	25758.5	25.656	0.016	32
118000	118	4.48402	27079	674.995	5549.55	4622.49	69.8605	25756.5	45.6709	0.0165	33
119000	119	4.39182	26541.9	1150.2	5752.39	4618.27	43.3026	26032.9	31.7557	0.0175	35
120000	120	4.45009	26900.8	1710.2	5460.77	4504.26	73.9418	25657.6	60.897	0.019	38
121000	121	4.48376	27124.5	237.251	5317.34	4214.7	70.9819	25716.8	42.0441	0.0195	39
122000	122	4.44525	26898.2	115.566	5234.56	4424.74	69.8604	25773.1	3818.29	0.0195	39
123000	123	4.42563	26792.8	88.1268	5315.51	4361.32	62.0134	25979.7	6.49238	0.0195	39
124000	124	4.43671	26866.5	104.112	5083.83	4650.18	51.6956	25746	0	0.0195	39
125000	125	4.41643	26743.7	909.182	5371.5	4662.45	90.6248	25327.4	0.091005	0.0205	41
126000	126	4.3722	26475.9	1082.14	5097.67	4316.07	72.4366	25393.7	31.7981	0.0215	43
127000	127	4.42635	26810.4	87.1762	5562.09	4429.42	90.3628	25799.5	50.1305	0.0215	43
128000	128	4.39424	26635.7	608.392	5247.95	4272.96	94.1744	25013.7	0.0366386	0.022	44
129000	129	4.46866	27086.8	1299.18	5250.53	4442.05	93.042	25613.5	32.5292	0.024	48
130000	130	4.4091	26732.4	1336.01	5296.88	4561.29	113.514	25556.1	48.2794	0.025	50
131000	131	4.42971	26877.3	108.617	5176.24	4473.31	86.5597	25697.2	38.689	0.025	50
132000	132	4.4178	26818.3	1652.27	5516.13	4364.19	119.132	25759	1.39803	0.0265	53
133000	133	4.45517	27045.1	1452.55	5430.11	4435.07	120.272	25640.1	78.9692	0.028	56
