step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.34512	26070.7	5164.98	4449.14	0	6282.73	25398	14
2000	2	4.33776	26026.5	5333.29	4228.5	18.7255	3399.19	25619.1	23
3000	3	4.46046	26762.7	5046.1	4193.82	38.766	1788.36	25036.3	27
4000	4	4.45204	26712.3	5258.74	4610.57	35.6067	3349.73	25142.1	35
5000	5	4.34181	26050.9	5274.85	4312.52	71.6417	2382.28	25108	40
6000	6	4.40966	26458	5406.73	4560.21	75.5859	2170.15	25056.8	46
7000	7	4.37975	26278.5	5034.91	4163.54	105.285	1430.07	25045.1	50
8000	8	4.49727	26983.6	5573.21	4279.94	131.263	2844.21	25446.3	56
9000	9	4.46374	26782.4	5351.59	4477.14	160.934	2543.65	25308.5	62
10000	10	4.46671	26800.3	5596.62	4480.99	162.551	1752.71	24943.2	66
11000	11	4.55803	27348.2	5383.38	4395	186.82	4705.9	24408.7	78
12000	12	4.35817	26149	5321.57	4535.22	199.681	2982.09	24491.9	87
13000	13	4.50471	27028.2	5349.27	4545.08	204.805	2670.65	24636.1	93
14000	14	4.45797	26747.8	5343.51	4338.5	206.61	1993.97	24629.9	99
15000	15	4.40746	26444.7	5420.95	4205.38	230.055	3409.67	24661.9	106
16000	16	4.38594	26315.7	5606.28	4607.58	260.148	4742.28	24437.4	116
17000	17	4.3924	26354.4	5691.15	4265.38	300.369	2558.54	24191.9	122
18000	18	4.36555	26193.3	5642.14	4499.77	330.134	3179.83	24329.7	128
19000	19	4.43376	26602.6	5628.22	4301.22	325.57	4631.86	24155.6	137
20000	20	4.42749	26565	5780.08	4517.54	357.609	2801.85	24170.3	143
21000	21	4.46025	26761.5	5377.69	4382.88	381.822	5749.97	24291.2	154
22000	22	4.44737	26684.2	5600.21	4461.03	384.433	3782.72	24320.2	160
23000	23	4.38137	26288.2	5983.78	4616.89	469.938	2561.56	24163.5	165
24000	24	4.45077	26704.6	5806.03	4518.71	408.023	3699.33	24054	172
25000	25	4.3508	26104.8	5753.17	4261.73	491.794	3687.65	24001.2	180
26000	26	4.48643	26918.6	5754.31	4644.21	437.047	3143.02	23951.1	187
27000	27	4.42754	26565.2	5949.28	4545.63	487.032	3683.39	23664.2	196
28000	28	4.50755	27045.3	5838.55	4334.09	477.202	5766.1	23683.7	207
29000	29	4.47758	26865.5	5762.07	4580.44	568.354	1752.78	23269.1	210
30000	30	4.49294	26957.6	6062.85	4207.51	522.978	1608.97	23483	214
31000	31	4.45152	26709.1	5702.15	4669.9	605.584	2567.98	23648.6	220
32000	32	4.36562	26193.7	5790.21	4255.75	559.004	2940.32	23220.9	225
33000	33	4.37744	26264.6	5926.41	4351.62	592.66	3795.28	23185.5	232
34000	34	4.46717	26803	5767.48	4686.66	565.497	3420.07	23027.5	239
35000	35	4.40144	26408.6	5981.02	4329.51	697.389	2786.79	23269	245
36000	36	4.33684	26021.1	6002.75	4505.34	612.652	5703.25	22705.6	255
37000	37	4.38685	26321.1	6012.29	4274.25	723.672	4184.66	23355	264
38000	38	4.49158	26949.5	5878.99	4831.69	671.072	2368	23147.5	269
39000	39	4.49595	26975.7	6154.59	4559.35	726.404	2796.78	23735.9	274
40000	40	4.46451	26787.1	6390.98	4466.03	757.903	2785.22	23072.7	278
41000	41	4.40011	26400.7	6033.46	4592.97	795.19	3530.89	23203.6	285
42000	42	4.47377	26842.6	6010.22	4284.43	782.795	4452.45	23128.5	293
43000	43	4.50603	27036.2	5975.08	4374.96	869.078	4110.18	22979	300
44000	44	4.4194	26516.4	5866.27	4491.68	802.974	3373.57	23001.2	306
45000	45	4.40767	26446	6049.24	4510.37	926.407	3139.98	22681.5	311
46000	46	4.45066	26703.9	5676.33	4396.77	822.848	3011.28	22425.8	318
47000	47	4.6468	27880.8	5957.81	4427.06	884.11	2390.15	22594.9	322
48000	48	4.44368	26662.1	5852.14	4580.69	921.655	3533.77	22844.6	329
49000	49	4.45618	26737.1	6163.68	4469.71	956.242	2682.43	22582.3	334
50000	50	4.44231	26653.9	6094.63	4242.1	971.261	3241.48	22502.6	339
51000	51	4.58679	27520.7	6183.64	4544.41	994.984	3076.1	22410	344
52000	52	4.57288	27437.3	6150.55	4567.32	1033.57	2979.13	22605.5	348
53000	53	4.50646	27038.8	6135.21	4612.54	1053.59	3986.16	22673.7	355
54000	54	4.5704	27422.4	5953.06	4382.34	849.793	2080.19	22207.5	359
55000	55	4.40551	26433	6028.82	4559.59	1047.93	2709.32	22176.2	365
56000	56	4.47964	26877.8	6387.42	4597.65	967.995	3259.41	22636.5	372
57000	57	4.51759	27105.6	6091.31	4401.32	968.064	3324.28	22468.5	378
58000	58	4.46211	26772.6	6497.34	4648.97	1012.41	2019.95	22488.4	381
59000	59	4.49208	26952.5	6314.21	4644.38	1001.79	2781.16	22445.8	384
60000	60	4.50984	27059	6491.98	4476.3	997.836	3370.31	22244.9	389
61000	61	4.51	27060	6106.83	4436.22	993.743	3308.93	22261.3	394
62000	62	4.53086	27185.1	6114.03	4436.21	915.541	1595.21	22444.7	396
63000	63	4.46603	26796.2	6135.15	4634.11	1021.66	5680.72	22431.1	405
64000	64	4.42311	26538.6	6546.22	4635.67	1020.89	1554.42	22669.2	407
65000	65	4.49903	26994.2	6481.62	4631.56	1119.83	2091.4	22465.6	409
66000	66	4.52355	27141.3	6399.96	4777.94	1141.9	4521.36	22339.8	417
67000	67	4.43262	26595.7	6608.43	4411.25	995.469	2586.53	22272.6	421
68000	68	4.64947	27896.8	6380.87	4224.93	1164.38	3827.28	22235.7	428
69000	69	4.55475	27328.5	5794.91	4507.05	1069.56	3577.59	22284	435
70000	70	4.61278	27676.7	6449.54	4591.14	1099.1	2878.74	22277.2	440
71000	71	4.53193	27191.6	6140.68	4555.17	1217.51	2991.12	22352.4	444
72000	72	4.50482	27028.9	6504.99	4825.82	1117.46	5275.78	21799.2	454
73000	73	4.52615	27156.9	6576.89	4359.85	1193.7	2480.37	21746.1	459
74000	74	4.4799	26879.4	6329.24	4712.51	1237.66	2562.79	21754.6	463
75000	75	4.58396	27503.8	6624.13	4782.47	1240.08	2942.35	21833.8	468
76000	76	4.59125	27547.5	6493.91	4731.26	1228.91	3523.32	21698.6	472
77000	77	4.55568	27334.1	6391.23	4619.28	1220.42	2785.01	22028	477
78000	78	4.57476	27448.6	6601.18	4550.97	1337.98	2060.46	21896.2	479
79000	79	4.54738	27284.3	6440.45	4473.69	1256.8	4665.57	21972.3	486
80000	80	4.60567	27634	6746.46	4552.76	1190.26	3527.56	21805.8	492
81000	81	4.42508	26550.5	6365.16	4373.77	1261.53	1291.95	21910.3	493
82000	82	4.55527	27331.6	5917.91	4721.81	1241.58	5772.2	22173.7	505
83000	83	4.55228	27313.7	6450.6	4763.88	1324.05	3052.14	22456	510
84000	84	4.59602	27576.1	6579.49	4476.61	1331.79	2367.83	21560.9	514
85000	85	4.57297	27437.8	6721.09	4591.66	1302.24	3093.23	21949.3	519
86000	86	4.65976	27958.5	6830.21	4658.86	1265.19	4975.96	22138.8	527
87000	87	4.6021	27612.6	6397.46	4548.64	1399.6	3523.25	21634.8	531
88000	88	4.61611	27696.6	6392.26	4492.51	1399.74	4235.9	21486.5	537
89000	89	4.61634	27698	6471.34	4609.21	1379.13	5763.86	21886.6	548
90000	90	4.49696	26981.7	6551.27	4545.55	1311.13	3254.07	21412.6	553
91000	91	4.65465	27927.9	6695.79	4593.36	1411.68	2394.35	21757.3	555
92000	92	4.49867	26992	6761.29	4748.97	1396.47	5927.39	21520	566
93000	93	4.66965	28017.9	6629.89	4569.56	1448.48	3348.73	21469.4	571
94000	94	4.48048	26882.9	6809.49	4334.7	1406.89	4199.03	21447.5	576
95000	95	4.59753	27585.2	6780.03	4482.57	1457.26	3819.36	21241.3	581
96000	96	4.73682	28420.9	6873.83	4733.98	1401.47	3238.61	21672.2	585
97000	97	4.63743	27824.6	6761.94	4545.06	1443.09	2393.19	21275.2	587
98000	98	4.5815	27489	6632.47	4473.16	1572.27	3037.36	21630.7	591
99000	99	4.53463	27207.8	6875.65	4534.46	1539.04	3058.47	21396.5	594
100000	100	4.69448	28166.9	6812.88	4458.55	1644.98	4489.13	21496.9	602
101000	101	4.64376	27862.6	6723.05	4627.29	1602.82	3939.77	21745	608
102000	102	4.59455	27567.3	6589.23	4657.92	1668.73	4634.65	21473.4	616
103000	103	4.67105	28026.3	6727.74	4767.77	1562.49	4147.58	21297.8	622
104000	104	4.62541	27752.5	6466.32	4843.65	1546.08	4498.59	21317	629
105000	105	4.634	27804	6801.53	4419.56	1612.67	1826.87	21181.3	630
106000	106	4.6831	28098.6	6681.05	4311.09	1736.06	2814.77	21194.5	633
107000	107	4.64312	27858.7	6961.95	4646.54	1641.84	4786.75	21109.7	639
108000	108	4.65534	27932	7088.01	4922	1603.62	2579.73	21063.8	642
109000	109	4.60431	27625.9	6820.98	4979.97	1634.61	4328.47	21017	648
110000	110	4.61682	27700.9	7110.57	4519.28	1764.99	2538.76	21270.9	650
111000	111	4.59478	27568.7	7045.12	4502.66	1757.11	2404.4	21123.7	652
112000	112	4.60984	27659	6763.97	4526.28	1667.21	4198.44	21414.1	657
113000	113	4.54102	27246.1	6956.28	4743.98	1745.45	2944.77	21339.9	661
114000	114	4.52241	27134.5	6681.17	4732.46	1842.63	2921.72	20995.5	664
115000	115	4.5665	27399	6628.09	4640.49	1794.17	4728.15	20764.8	672
116000	116	4.65123	27907.4	6979.02	4911.8	1895.75	4680.81	20996.4	681
117000	117	4.67774	28066.5	6905.21	4875.45	1837.19	3157.3	20801.6	684
118000	118	4.53797	27227.8	7124.57	4633.75	1884.93	4106.82	21187.1	689
119000	119	4.59674	27580.5	7015.75	4796.81	1759.8	2859.71	20825	691
120000	120	4.57611	27456.7	6816.88	4534.24	1805.68	3248.04	20630.5	696
121000	121	4.6399	27839.4	6969.37	5115.72	1957.04	3753.44	21156.8	701
122000	122	4.56743	27404.6	7209.55	4533.86	1871.83	3712.35	20804.2	706
123000	123	4.63105	27786.3	6780.77	4585.96	1818.08	3763.29	21255.7	710
124000	124	4.59573	27574.4	7021.35	4470.91	2049.89	3564.23	21058.5	715
125000	125	4.64181	27850.9	7120.83	4975.24	1829.7	3446.74	21274	718
126000	126	4.63853	27831.2	6827.27	4610.7	1972.44	2968.53	21004.6	721
127000	127	4.75996	28559.8	7057.69	4509.71	2073.34	3242.47	21023.7	724
128000	128	4.57761	27465.7	6877.05	4491.69	1864.61	4613.46	20941.3	730
129000	129	4.48948	26936.9	7006.71	4855.65	1889.56	3398.3	20822.1	734
130000	130	4.63795	27827.7	6837.11	4608.83	2156.05	4934.14	21268.6	740
131000	131	4.63167	27790	7178.99	4463.45	2062.52	4005.74	21250.1	745
132000	132	4.53246	27194.8	6990.61	4858.48	1925.75	2955.37	21151.8	747
133000	133	4.69892	28193.5	7122.25	4949.06	1911.09	3029.26	20829.6	749
134000	134	4.64111	27846.6	6656.26	4703.16	1972.16	3937.4	21082.4	753
135000	135	4.57143	27428.6	6916.75	4645	1938.43	5087.87	20726.5	759
136000	136	4.71143	28268.6	7053.08	4549.12	2010.47	3477.31	21113.7	764
137000	137	4.6992	28195.2	6980.29	5263.84	1925.31	4381.74	20870.9	770
138000	138	4.69405	28164.3	7310.89	4799.82	2050.03	1797.3	21011.6	770
139000	139	4.66564	27993.8	7129.71	4594.02	1985.28	2253.68	20691.3	771
140000	140	4.68301	28098.1	7066.04	4670.27	2058.05	3266.66	20600.3	776
141000	141	4.64363	27861.8	6800.2	4941.72	2089.99	2298.46	20782.3	777
142000	142	4.64959	27897.5	7484.11	4913.48	2189.27	4192.66	20736.7	782
143000	143	4.74508	28470.5	7332.63	4719.49	2117.12	3759.68	21168.4	786
144000	144	4.74975	28498.5	7019.52	4686.27	2118.42	4055.76	20532.2	792
145000	145	4.58892	27533.5	7277.07	4802.14	2034.33	2533.83	20834.3	793
146000	146	4.64211	27852.6	7265.77	4797.6	2061.26	2594.35	21217.8	795
147000	147	4.64654	27879.3	6953.36	4771.15	2166.59	3114.01	20938.4	798
148000	148	4.73031	28381.9	7237.22	4898.71	2227.3	2900.75	21080.8	800
149000	149	4.60529	27631.8	7079.41	4618.78	2190.92	4372.39	20558	806
150000	150	4.63925	27835.5	7061.93	4654.49	2208.69	4914.68	20561.2	813
151000	151	4.69823	28189.4	6931.23	4762.96	2442.15	2880.77	20914.2	815
152000	152	4.66521	27991.2	7214.97	4741.92	2400.85	2833.51	20543.9	818
153000	153	4.71257	28275.4	6956.79	4775.89	2122.95	3215.58	20693.5	821
154000	154	4.68936	28136.1	7214.65	4743.43	2259.78	4148.53	20554.9	825
155000	155	4.77092	28625.5	7054.75	5099.93	2239.89	2303.89	20718.1	827
156000	156	4.73111	28386.6	7221.11	5000.21	2237.9	2521.76	20599.8	828
157000	157	4.63914	27834.8	7088.27	4921.63	2225.01	4045.45	20852.3	832
158000	158	4.59694	27581.6	7314.79	4875.04	2270.98	3989.28	20950.5	837
159000	159	4.69539	28172.4	7470.02	5025.44	2194.31	2190.71	20992.2	838
160000	160	4.7256	28353.6	7015.87	4778.63	2333.72	2644.31	20838	840
161000	161	4.77323	28639.4	7085.02	4983.06	2261.32	3802.17	20987.2	845
162000	162	4.65304	27918.3	7517.04	4778.13	2295.29	4874.29	20637.4	851
163000	163	4.7351	28410.6	7207.56	4949.68	2372.55	3057.71	21144.3	854
164000	164	4.81591	28895.5	7095.96	4781.89	2485.75	3001.68	21263.4	856
165000	165	4.77736	28664.2	7353.39	4562.87	2385.46	2991.07	20922.1	860
166000	166	4.76345	28580.7	7441.6	5244.13	2382.93	2687.9	20741.8	862
167000	167	4.74732	28483.9	7191.63	4817.09	2328.1	3249.35	20308.2	864
168000	168	4.75022	28501.3	7131.8	4498.39	2462.51	4161.35	20616.2	868
169000	169	4.69715	28182.9	7463.93	4622.67	2552.75	3330.39	20595.3	872
170000	170	4.70517	28231	7106.66	5002.74	2393.36	4500.74	20914.2	876
171000	171	4.65237	27914.2	7336.26	4839.02	2481.19	4479.85	20813.9	881
172000	172	4.70538	28232.3	7519.64	4695.99	2520.06	3364.46	20794.9	884
173000	173	4.58251	27495.1	7548.24	4903.82	2526.23	3916.87	20692.2	888
174000	174	4.60709	27642.5	7784.82	4945.38	2553.79	4246.3	20431.7	892
175000	175	4.76318	28579.1	7139.09	4899.81	2570.51	2207.17	21074.4	892
176000	176	4.73119	28387.1	7217.91	4727.33	2760.2	4063.36	20687.1	896
177000	177	4.64308	27858.5	6834.75	4667.76	2601.38	5066.92	20571.4	903
