step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.37495	26249.7	5233.53	4509.25	0	622.659	25278.1	1
2000	2	4.46596	26795.8	5124.14	4167.35	1.98475	574.883	25025.1	2
3000	3	4.38215	26292.9	4876.86	4434.63	5.45351	461.012	25399.6	4
4000	4	4.52618	27157.1	5274.08	4450.54	12.2628	11.5096	25538	4
5000	5	4.38465	26307.9	5535.51	4455.55	2.93766	1210.43	25136.5	6
6000	6	4.35858	26151.5	5360.89	4372.4	11.6997	506.396	25489.9	7
7000	7	4.38466	26308	5312.22	4412.64	36.7109	13.3696	25654.9	7
8000	8	4.39373	26362.4	5277.8	4418.85	17.1173	1660.27	25722.4	10
9000	9	4.44567	26674	5312.96	4333.66	18.4548	799.044	25191.1	12
10000	10	4.53447	27206.8	5250.84	4405.16	29.0401	30.1283	25323.5	12
11000	11	4.38906	26334.4	5023.33	4387.08	13.099	3399.73	25325.4	19
12000	12	4.46333	26780	5288.42	4147.13	35.2767	232.242	25117.3	20
13000	13	4.4708	26824.8	5345.75	4269.25	81.925	1175.63	25189.6	22
14000	14	4.3792	26275.2	5239.82	4530.35	40.5373	508.288	25727.1	23
15000	15	4.34602	26076.1	5239.5	4462.58	34.7939	1858.93	25161.8	27
16000	16	4.4351	26610.6	5333.5	4422.51	44.0605	1259.32	25435.2	30
17000	17	4.36532	26191.9	5253.31	4387.37	48.229	1050.12	25022.4	32
18000	18	4.36686	26201.2	5210.66	4397.74	82.4627	1536.31	25075.9	35
19000	19	4.51378	27082.7	5251.56	4599.45	74.3009	489.589	25133	36
20000	20	4.36212	26172.7	5135.43	4637.63	85.2193	1472.51	25138.9	40
21000	21	4.43794	26627.7	5109.84	4505.62	101.972	819.114	25642.9	42
22000	22	4.37416	26245	5213.9	4272.43	97.3842	1421.21	25410.8	45
23000	23	4.46045	26762.7	5607.58	4281.72	113.934	393.828	24873.2	46
24000	24	4.49976	26998.5	5322.44	4306.23	111.02	101.98	25290.6	46
25000	25	4.4601	26760.6	5315.36	4356.64	99.9738	1592.04	24744.8	49
26000	26	4.49427	26965.6	5318.33	4434.48	104.045	925.651	25294.9	51
27000	27	4.48335	26900.1	5464.88	4698.84	109.366	1162.36	25092	54
28000	28	4.47231	26833.9	5276.69	4295.05	118.629	1850.71	25136	58
29000	29	4.35812	26148.7	5172.6	4376.29	159.633	787.205	24763.9	59
30000	30	4.38334	26300.1	5349.05	4488.83	110.563	109.766	24759	59
31000	31	4.37644	26258.6	5270.29	4113.32	133.345	546.767	25046.5	60
32000	32	4.44102	26646.1	5302.28	4311.44	123.261	1129.56	25230.7	62
33000	33	4.35495	26129.7	5510.2	4422.43	135.364	136.347	24648.7	62
34000	34	4.4465	26679	5296.35	4008.8	145.368	763.792	24915.1	63
35000	35	4.4283	26569.8	5729.22	4330.41	132.688	3393.46	25001.5	70
36000	36	4.42797	26567.8	5537.14	4547.07	155.19	152.366	24866.6	70
37000	37	4.44277	26656.6	5446.97	4554.71	183.867	1048.27	24812.6	72
38000	38	4.45467	26728	5316.52	4413.82	134.608	958.144	25053.5	74
39000	39	4.43921	26635.2	5286.53	4156.62	183.399	597.961	24669.8	75
40000	40	4.51692	27101.5	5678.09	4427.48	192.122	493.557	24680	76
41000	41	4.44242	26654.5	5384.11	4396.04	203.848	471.439	24903	77
42000	42	4.35564	26133.8	5369.98	4526.57	180.494	1733.15	24815.8	80
43000	43	4.42826	26569.6	5372.75	4713.79	177.427	1099.52	24637.9	82
44000	44	4.41711	26502.7	5420.02	4493.73	170.08	162.938	24509.3	82
45000	45	4.38161	26289.7	5388.89	4549.42	209.752	1030.72	24583.9	84
46000	46	4.33496	26009.8	5464.44	4389.22	213.536	835.543	23884.3	86
47000	47	4.45384	26723.1	5380.18	4620.93	184.26	763.183	24360.3	87
48000	48	4.37184	26231	5503.72	4563.33	210.433	649.02	24584.8	88
49000	49	4.51175	27070.5	5581.47	4529.25	226.013	211.421	24238.2	88
50000	50	4.34507	26070.4	5480.42	4306.13	245.979	583.735	24702	89
51000	51	4.32906	25974.4	5499.45	4423.98	234.619	1604.74	24421.1	92
52000	52	4.31451	25887	5251.46	4338.84	250.451	206.232	24635.9	92
53000	53	4.42658	26559.5	5562.36	4449.99	244.17	531.851	24654.6	93
54000	54	4.39907	26394.4	5334.1	4317.81	221.09	1370.33	24382.5	95
55000	55	4.5153	27091.8	5233.92	4479.38	226.798	1206.26	24114.4	97
56000	56	4.52774	27166.4	5471.01	4306.46	225.747	217.815	24254.7	97
57000	57	4.38726	26323.6	5517.01	4364	213.275	1415.82	24336.6	100
58000	58	4.46108	26766.5	5335.41	4442.63	261.587	1265.79	24560.5	102
59000	59	4.32522	25951.3	5784.84	4300.43	261.152	1596.68	24720.8	105
60000	60	4.44678	26680.7	5422.36	4262.81	320.489	2359.26	24393.9	110
61000	61	4.39492	26369.5	5362.93	4390.07	284.72	1364.19	24094.4	113
62000	62	4.4191	26514.6	5711.74	4407.76	254.696	1890.63	24394.6	117
63000	63	4.32715	25962.9	5812.76	4779.91	310.78	921.212	24402.2	119
64000	64	4.38748	26324.9	5435.22	4403.96	290.963	890.615	24005.6	120
65000	65	4.47741	26864.5	5555.72	4550.8	309.474	227.126	24260.4	120
66000	66	4.47185	26831.1	5534.7	4474.07	267.014	1865.73	24289.6	123
67000	67	4.49481	26968.8	5539.71	4269.37	345.153	1445.36	24366.8	126
68000	68	4.36305	26178.3	5648.79	4435.46	281.088	393.464	24785.9	127
69000	69	4.41901	26514.1	5531.23	4240.16	324.211	226.479	23859.8	127
70000	70	4.4502	26701.2	5784.85	4603.09	387.645	252.454	23563	127
