step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.44705	26682.3	5220.88	4315.77	0	19407.9	25190.5	43
2000	2	4.42459	26547.5	5297.64	4450.01	100.886	10732.1	24913.1	70
3000	3	4.42211	26532.6	5224.46	4567.82	138.838	16372.4	24592.2	104
4000	4	4.33682	26020.9	5466.93	4273.03	247.615	12567.9	24379.6	132
5000	5	4.41127	26467.6	5498.91	4461.88	388.771	16373.7	24240.7	172
6000	6	4.51851	27111.1	5653.9	4609.82	411.111	11685.7	24002.1	199
7000	7	4.48737	26924.2	5539.48	4600.56	520.046	18988	23671.3	238
8000	8	4.56918	27415.1	5603.12	4425.65	644.949	9394.02	23255.4	258
9000	9	4.46665	26799.9	5648.12	4372.23	657.945	16943	22910.4	293
10000	10	4.42291	26537.5	6259.52	4777.13	696.588	13575.2	22912	322
11000	11	4.57947	27476.8	6445.65	4544.12	914.505	12255.6	22178.6	349
12000	12	4.3861	26316.6	6387.44	4593.31	1030.76	10917.8	21923	375
13000	13	4.51078	27064.7	6326.57	4653.32	1023.06	13224.2	22313.8	402
14000	14	4.52059	27123.6	6235.69	4359.45	1096.07	9995.86	22249.5	422
15000	15	4.58789	27527.3	6598.91	4489.53	1258.64	8476.42	21993	439
16000	16	4.44183	26651	6400.75	4474.69	1400.74	10995.6	21731.1	461
17000	17	4.54289	27257.3	6383.12	4600.46	1354.36	15601.5	21562.1	493
18000	18	4.55546	27332.8	6588.88	4415.33	1501.54	14130.9	21908.2	524
19000	19	4.49761	26985.7	6653.75	4661.34	1592.96	10212.4	21412.1	542
20000	20	4.5656	27393.6	6844.22	4805.71	1565.97	12824.2	21506	567
21000	21	4.58409	27504.6	6421.07	4390.45	1744.6	8227.91	21600.5	584
22000	22	4.62734	27764	6602.37	4887.88	1849.27	10093.6	21334.2	604
23000	23	4.523	27138	6411.07	5007.2	1953.49	11578.5	21138.6	627
24000	24	4.56401	27384.1	6663.76	4565.61	1963.68	7660.16	20716.8	642
25000	25	4.60037	27602.2	6778.65	4725.08	1939.03	12802.8	21176.9	668
26000	26	4.57442	27446.5	6713.18	4795.67	1928.1	11817.1	21257.7	693
27000	27	4.70125	28207.5	6948.52	4675.31	2191	7773.02	21202.8	707
28000	28	4.60033	27602	6721.44	4907.81	2214.67	5530.93	20820.9	717
29000	29	4.60509	27630.6	6943.47	4821.79	2226.55	6502.05	21076.4	731
30000	30	4.62708	27762.5	6850.77	4756.65	2088.16	6211.79	20812.9	745
31000	31	4.69696	28181.8	7003.45	4597.13	2275.57	9613.85	20714.4	762
32000	32	4.73472	28408.3	6802.46	4840.57	2220.53	9027.69	20288.3	781
33000	33	4.60313	27618.8	7272.08	4710.96	2319.94	9882.06	20854.4	800
34000	34	4.66303	27978.2	7369.81	4704.05	2601.5	7939.72	21099.7	814
35000	35	4.62423	27745.4	7387.27	4869.3	2369.49	8319.76	20899.3	827
36000	36	4.65345	27920.7	7128.52	4850.41	2430.8	10156.4	21012	846
37000	37	4.6698	28018.8	7247.57	4591.76	2618.34	10110.6	21007.4	865
38000	38	4.67934	28076.1	7352.38	4922.66	2818.67	7885	21118.4	881
39000	39	4.70465	28227.9	7244.19	4863.93	2785.24	10413.6	21017.4	898
40000	40	4.60666	27640	7435.64	5048.3	2824.73	9031.48	20806.6	915
41000	41	4.76091	28565.4	7300.22	5135.01	2723.58	9819.13	20355.2	933
42000	42	4.71457	28287.4	7506.35	4830	2896.48	5866.27	20314.3	944
43000	43	4.78998	28739.9	7377.23	4937.78	3021.79	7964.55	20855.9	956
44000	44	4.75265	28515.9	7382.37	4866.69	2958.47	6991.63	20435.1	968
45000	45	4.74493	28469.6	7064.14	4931.47	2963.67	8453.92	20521	983
46000	46	4.61407	27684.4	7276.04	4867.91	3242.18	7528.44	20590.6	995
47000	47	4.77669	28660.1	7564.76	4889.73	3067.03	7951.07	20541.2	1011
48000	48	4.82469	28948.1	7282.1	4833.41	3283.04	5697.21	20818.2	1020
49000	49	4.66607	27996.4	7805.08	4768.67	3087.12	6559.21	20772.5	1032
50000	50	4.73681	28420.8	7490.14	4608.25	3438.09	8586.58	20452.8	1046
