step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.38959	26337.5	5723.53	4120.25	0	4542.8	25683.8	10
2000	2	4.44248	26654.9	5248.2	4315.59	22.9798	2228.23	25439.1	16
3000	3	4.50263	27015.8	5192.95	4420.23	47.5766	1778.04	25282.5	24
4000	4	4.42734	26564	5218.72	4533.86	51.4992	5555.96	25197.5	37
5000	5	4.41911	26514.7	5600.95	4376.93	114.226	2656.13	24831.5	43
6000	6	4.49524	26971.5	5413.19	4681.36	131.765	4416.47	25396.1	53
7000	7	4.50562	27033.7	5230.45	4496.05	113.827	3092.82	25385.9	60
8000	8	4.35264	26115.8	5329.92	4675.84	190.65	3104.81	25055.9	69
9000	9	4.35297	26117.8	5521.84	4240.75	176.987	2618.04	24746.6	75
10000	10	4.52648	27158.9	5528.34	4371.62	163.804	4747.86	24517.1	85
11000	11	4.36086	26165.2	5426.41	4593.11	205.358	2492.48	24770.1	92
12000	12	4.35707	26142.4	5332.23	4752.88	289.688	5613.85	24150.1	104
13000	13	4.44625	26677.5	5655.22	4250.33	293.93	3471.03	24335.7	111
14000	14	4.37407	26244.4	5335.64	4481.28	330.043	3391.38	24351.6	118
15000	15	4.41457	26487.4	5426.41	4491.51	298.547	5035.26	24090.7	130
16000	16	4.37131	26227.8	5694.36	4419.67	356.668	4651.33	24189.7	140
17000	17	4.42243	26534.6	5600.57	4583.82	313.294	2530.55	24004.8	145
18000	18	4.4647	26788.2	5881.71	4447.35	390.843	5558.42	24063.1	155
19000	19	4.54191	27251.4	5825.09	4684.85	405.412	2175.88	23994.1	159
20000	20	4.46858	26811.5	5590.68	4230.99	343.043	10702.5	23688.7	179
21000	21	4.42603	26556.2	6073.67	4172.35	449.087	2752.13	23742.4	184
22000	22	4.46525	26791.5	5542.94	4489.94	445.661	3506.39	23842.6	193
23000	23	4.66496	27989.8	5783.66	4381.56	492.557	3259.15	23783.4	200
