step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	5260.21	4145.55	0	0	25269.5	0
1000	1	4.3277	25966.2	5262.65	4552.11	0	40719.4	24864.5	98
2000	2	4.46775	26806.5	5618.95	4763.99	205.528	33692.5	24181.4	176
3000	3	4.37511	26250.7	5762.58	4764.28	387.611	36020.5	23746	258
4000	4	4.37946	26276.8	6001.49	4667.1	647.555	31248.2	23290.2	327
5000	5	4.46047	26762.8	6104.22	4707.98	792.971	24131.8	22918.3	383
6000	6	4.5803	27481.8	6300.86	4477.47	1025.33	27041.5	22871.1	443
7000	7	4.59161	27549.7	6722.95	4780.59	1171.33	20553.9	21906	492
8000	8	4.56971	27418.2	6453.44	4712.01	1320.02	23826.3	22089.5	549
9000	9	4.47495	26849.7	6696.61	4817.57	1515.77	16900.5	21559.2	592
10000	10	4.57127	27427.6	6569.89	4681.33	1673.08	18771.5	21304.3	632
11000	11	4.65368	27922.1	6720.96	4606.67	1834.23	22995.6	21520.3	682
12000	12	4.60069	27604.1	6807.21	4744.5	1983.49	21430	21503.5	727
13000	13	4.7144	28286.4	6902.48	5196.99	2171.17	22381.3	21361.2	774
14000	14	4.61282	27676.9	7043.13	4719.65	2460.77	18329	21079.3	813
15000	15	4.6539	27923.4	7219.58	4883.93	2523.49	17686.6	20748.3	850
16000	16	4.69475	28168.5	7346.6	4813.38	2575.83	13221.4	20187	876
17000	17	4.63829	27829.7	7236.26	4750.99	2773.9	15252.1	20467	906
18000	18	4.77623	28657.4	7172.93	4641.14	2856.94	14546.5	20741.7	935
19000	19	4.74898	28493.9	7338.37	4618.34	2908.04	13647.9	20502.7	962
20000	20	4.78028	28681.7	7622.1	4594.81	3146.78	16871.5	20348.9	993
21000	21	4.83632	29017.9	7919.58	4844.56	3253.85	14036.5	20885.8	1021
22000	22	4.74057	28443.4	7639.42	4889.18	3376.02	14370.2	21046.5	1051
23000	23	4.80255	28815.3	7649.3	4933.51	3559.55	13912.7	20366.6	1075
24000	24	4.77069	28624.2	7349.14	4897.63	3604.34	10878.5	20659.6	1094
25000	25	4.72592	28355.5	7929.1	5011.43	3528.69	10121	20644.9	1110
26000	26	4.73868	28432.1	7560.18	5013.72	3726.68	11335.6	20548.8	1129
27000	27	4.67633	28058	7833.6	5380.79	3951.17	10229.9	20675.5	1148
28000	28	4.79717	28783	7601.42	5242.67	3839.6	15649	20907.2	1179
29000	29	4.84575	29074.5	7801.58	5186.35	3948.55	9522.04	21146.2	1194
30000	30	4.81024	28861.5	7975.61	4918.24	3912.31	10623.9	20945.5	1214
31000	31	4.90992	29459.5	7653.51	4999.21	3891.58	10533.9	20859.3	1229
32000	32	4.88555	29313.3	7595.39	5122.06	3999.32	8985.76	21028.5	1244
33000	33	5.03505	30210.3	7975.81	4967.61	4037.7	8550.29	20993.9	1258
34000	34	4.87655	29259.3	8009.42	5020.55	4182.45	9368.95	21282.5	1272
35000	35	4.82971	28978.3	7725.76	5122.17	4163.79	8265.67	20721.4	1284
36000	36	4.78217	28693	7917.89	5156.97	4143.11	7378	20916.3	1294
37000	37	4.93294	29597.6	7613.12	5105.6	4179.96	7453.39	20992	1304
38000	38	4.96853	29811.2	7668.69	4840.72	4292.61	8590.52	21042.2	1315
39000	39	4.86417	29185	8075.95	5109.35	4288.17	9270.68	20625.9	1327
40000	40	5.06394	30383.6	7862.91	5062.31	4442.21	5955.58	20976.9	1333
41000	41	4.96608	29796.5	7684.61	4885.59	4479.56	7198.34	20883.2	1341
42000	42	5.00752	30045.1	7954.9	5456.82	4545.99	9290.39	21127.6	1355
43000	43	4.96045	29762.7	7886.62	5062.84	4407.39	8338.54	20938.2	1365
44000	44	4.88181	29290.8	7823.19	5311.17	4741.49	5756.17	20965.5	1370
45000	45	5.07653	30459.2	8253.65	5292.93	4394.4	6756.67	20804.7	1378
46000	46	4.94922	29695.3	7958.67	5077.24	4519.4	7859.04	21124.3	1388
47000	47	4.91708	29502.5	8159.34	4944.98	4433.39	6867.1	21076.6	1396
48000	48	5.01559	30093.6	7653.37	5119.19	4510.99	9747.78	21031.7	1409
49000	49	4.99672	29980.3	8007.95	4785.92	4620.58	6412.65	21063.7	1415
50000	50	4.94261	29655.7	8126.37	4960.04	4735.95	5583.68	21060	1419
51000	51	4.95565	29733.9	7984.8	5196.4	4633.47	8514.9	21427.2	1430
52000	52	5.0261	30156.6	7817.83	5051.89	4548.66	6458.44	21456.3	1438
53000	53	4.9223	29533.8	8075.04	5322.72	4749.19	10872.5	21342.8	1454
54000	54	4.91237	29474.2	7914.96	4876.03	4551.31	6085.68	21723.4	1461
55000	55	4.91903	29514.2	8044.65	4863.1	4679.71	6195.35	21864.5	1470
56000	56	4.88743	29324.6	7958.62	4738.68	4687.58	5303.45	21736.6	1474
57000	57	4.97584	29855	7670.67	5199.56	4663.68	8113.78	21612	1484
58000	58	5.03951	30237.1	8143.9	5043.93	4673.08	6880.45	22103.5	1490
59000	59	5.12893	30773.6	8163.91	5184.91	4764.34	6691.13	21890.1	1496
60000	60	4.88697	29321.8	7880.18	4969.57	4714.9	5654.26	21975.1	1501
61000	61	4.97709	29862.5	8037.71	5225.92	4719.62	6934.75	22015.2	1508
62000	62	4.92644	29558.6	8025.97	4895.22	4784	5761.68	21988.7	1514
63000	63	5.06761	30405.7	7980.08	5446.84	4636.83	7460.65	21665	1523
64000	64	4.97894	29873.7	8012.86	5332.3	5198.61	6585.25	22000	1528
65000	65	5.04837	30290.2	7688	5275.08	5132.19	9258.28	22605.8	1541
66000	66	5.03184	30191.1	8265.05	5219.5	5077.51	5352.57	22597.5	1545
67000	67	4.97215	29832.9	7915.31	4998.76	5155.36	6722.84	22116.6	1554
68000	68	5.04352	30261.1	8009.75	5184.79	5108.11	5624.75	21727.6	1558
69000	69	5.07388	30443.3	8214.5	5313.45	5148.3	3834.89	22337.1	1560
70000	70	4.90669	29440.2	7785.22	5108.14	5053.82	4868.79	21956.3	1562
71000	71	4.98958	29937.5	7951.54	5196.49	4909.94	8333.15	22379.8	1572
72000	72	4.98031	29881.9	7881.98	5144.42	5055.82	6361.62	22472.8	1578
73000	73	4.90365	29421.9	7878.77	5094.11	5430.71	4340.77	22551.4	1579
74000	74	5.12255	30735.3	7999.58	5060.76	5279.65	5011.48	22355.5	1581
75000	75	5.05782	30346.9	7707.42	4996.83	5206.86	5386.15	22527.9	1585
76000	76	4.80472	28828.3	7749.78	5219.21	5128.21	5460.64	22669.9	1589
77000	77	4.95841	29750.5	8180.36	5096.83	5193.29	5387.37	22500.3	1593
78000	78	4.9358	29614.8	7992.49	5490.38	5238.35	5787.02	22245.7	1597
79000	79	5.0153	30091.8	7677.82	5189.33	5179.13	6218.33	22105.5	1601
80000	80	4.95984	29759	7813.58	5338.44	5219.09	7210.16	22396.5	1609
81000	81	4.97241	29834.5	7782.08	5060.01	5205.53	5564.51	22451.4	1613
82000	82	4.89881	29392.9	7919.3	5171.86	5108.86	7497.38	22388.8	1620
83000	83	4.97428	29845.7	8022.39	5108.01	5418.89	6514.93	22940.1	1625
84000	84	4.98908	29934.5	7899.51	4992.84	5350.53	5437.74	22544.6	1629
85000	85	5.01559	30093.5	8068.76	4886.96	5553.24	5358.33	22773.7	1632
86000	86	5.0508	30304.8	8146.4	5055.91	5632.97	5873.46	22533.3	1636
87000	87	4.88844	29330.6	7939.63	5220.2	5163.57	4996.75	22501.1	1638
88000	88	5.04014	30240.8	7658.41	5336.09	5254.49	4505.71	22600	1639
