# t cr num_loops avg_loops
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+03 1.530000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+03 3.070000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+03 4.270000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+03 5.250000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+03 6.400000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+03 7.280000000000000000e+02 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+03 8.110000000000000000e+02 1.000000000000000000e+00 1.200000000000000000e+01
8.000000000000000000e+03 8.950000000000000000e+02 1.000000000000000000e+00 1.200000000000000000e+01
9.000000000000000000e+03 9.410000000000000000e+02 1.000000000000000000e+00 1.200000000000000000e+01
1.000000000000000000e+04 1.005000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.100000000000000000e+04 1.054000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.200000000000000000e+04 1.096000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.300000000000000000e+04 1.133000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.400000000000000000e+04 1.171000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.500000000000000000e+04 1.201000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.600000000000000000e+04 1.228000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.700000000000000000e+04 1.253000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.800000000000000000e+04 1.277000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
1.900000000000000000e+04 1.296000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.000000000000000000e+04 1.313000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.100000000000000000e+04 1.328000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.200000000000000000e+04 1.341000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.300000000000000000e+04 1.365000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.400000000000000000e+04 1.385000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.500000000000000000e+04 1.395000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.600000000000000000e+04 1.408000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.700000000000000000e+04 1.422000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.800000000000000000e+04 1.436000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
2.900000000000000000e+04 1.451000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.000000000000000000e+04 1.461000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.100000000000000000e+04 1.474000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.200000000000000000e+04 1.488000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.300000000000000000e+04 1.497000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.400000000000000000e+04 1.508000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.500000000000000000e+04 1.512000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.600000000000000000e+04 1.520000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.700000000000000000e+04 1.529000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.800000000000000000e+04 1.534000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
3.900000000000000000e+04 1.543000000000000000e+03 1.000000000000000000e+00 1.200000000000000000e+01
4.000000000000000000e+04 1.555000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.100000000000000000e+04 1.563000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.200000000000000000e+04 1.566000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.300000000000000000e+04 1.573000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.400000000000000000e+04 1.578000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.500000000000000000e+04 1.582000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.600000000000000000e+04 1.587000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.700000000000000000e+04 1.591000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.800000000000000000e+04 1.593000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
4.900000000000000000e+04 1.597000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.000000000000000000e+04 1.599000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.100000000000000000e+04 1.599000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.200000000000000000e+04 1.601000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.300000000000000000e+04 1.608000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.400000000000000000e+04 1.610000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+01
5.500000000000000000e+04 1.607000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
5.600000000000000000e+04 1.612000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
5.700000000000000000e+04 1.614000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
5.800000000000000000e+04 1.616000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
5.900000000000000000e+04 1.622000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
6.000000000000000000e+04 1.627000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
6.100000000000000000e+04 1.632000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
6.200000000000000000e+04 1.631000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
6.300000000000000000e+04 1.632000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
6.400000000000000000e+04 1.632000000000000000e+03 3.000000000000000000e+00 9.333333333333333925e+00
