step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
8250	8.25	7.10637	55120.6	8285.49	12737.2	10518.7	5272.42	27387.9	3575.9	75939.6	0.663	1326	674	1326	150	491	359	116	1171	0	269	0	0	444	0	0	269	444
8500	8.5	4.76092	36963.8	3563.65	9129.25	5024.49	4963.79	25670.7	3427.27	1233.68	0.663	1326	674	1326	150	491	359	113	1176	0	267	0	0	444	0	0	267	444
8750	8.75	4.64103	36060.8	3018.94	7966.34	5138.86	4981.36	25087.8	3418.61	3564.91	0.663	1326	674	1326	150	491	359	111	1180	0	266	0	0	443	0	0	266	443
9000	9	4.73476	36057.5	37563.4	522418	4816.02	5121.24	24326.3	3387.17	6850.7	0.655	1310	690	1310	166	493	341	190	1077	0	316	0	0	417	0	0	316	417
9250	9.25	7.9383	61621.1	7107.28	14891.9	11766.7	5398.89	27770.9	3988.6	56824.9	0.655	1310	690	1310	166	493	341	100	1175	0	310	0	0	415	0	0	310	415
9500	9.5	4.81531	37429.4	3295.61	9000.54	5173.56	4886.74	25601.8	3476.72	1490.01	0.655	1310	690	1310	166	493	341	95	1182	0	309	0	0	414	0	0	309	414
9750	9.75	4.65609	36205.8	2894.31	8559.57	4869.58	4655.23	24901.3	3477.09	923.463	0.655	1310	690	1310	166	493	341	96	1184	0	308	0	0	412	0	0	308	412
10000	10	4.61159	35098.8	39357.8	578547	5166.33	4801.5	24341.4	3424.86	1658.26	0.6455	1291	709	1291	165	476	359	175	1074	0	357	0	0	394	0	0	357	394
10250	10.25	8.38622	64846.5	7670.7	14584.9	13150.6	5008.11	28276.4	4105.56	88922.1	0.6455	1291	709	1291	165	476	359	106	1155	0	351	0	0	388	0	0	351	388
10500	10.5	4.90615	37995.7	3149.36	9555.45	5490.27	4784.87	25506.3	3416.32	866.212	0.6455	1291	709	1291	165	476	359	99	1163	0	350	0	0	388	0	0	350	388
10750	10.75	4.7193	36562.8	3018.75	8495.33	4872.36	4639.65	24414	3395.42	1184	0.6455	1291	709	1291	165	476	359	101	1165	0	348	0	0	386	0	0	348	386
11000	11	4.54079	34532.7	46219.3	411708	4927.35	5081.82	24244.2	3304.52	6615.64	0.6495	1299	701	1299	162	484	354	183	1070	0	385	0	0	362	0	0	385	362
11250	11.25	6.4887	50144.7	5050.48	13400.9	8829.7	4902.24	26717.8	3879.15	544747	0.6495	1299	701	1299	162	484	354	108	1152	0	380	0	0	360	0	0	380	360
11500	11.5	4.75181	36800.4	3385.97	9273.43	5358.2	4682.45	24963.2	3647.94	45538.6	0.6495	1299	701	1299	162	484	354	99	1163	0	380	0	0	358	0	0	380	358
11750	11.75	4.61852	35775	3172.73	8453.45	4766.73	4658.39	23853.3	3419.51	663.885	0.6495	1299	701	1299	162	484	354	101	1164	0	379	0	0	356	0	0	379	356
12000	12	4.62462	35198	50330.2	436074	5301.29	5450.65	24030.4	3208.72	4647.25	0.664	1328	672	1328	156	508	336	195	1074	0	395	0	0	336	0	0	395	336
12250	12.25	7.43757	57566.8	6274.77	13341.9	11843.2	5506.33	27248.9	3526.12	49851.3	0.664	1328	672	1328	156	508	336	123	1160	0	383	0	0	334	0	0	383	334
12500	12.5	4.94259	38300.1	3314.14	9401.74	5241.19	5207.43	25009.6	3424	24257.7	0.664	1328	672	1328	156	508	336	124	1166	0	377	0	0	333	0	0	377	333
12750	12.75	4.61863	35803.6	3129.45	8285.67	4782.43	4768.99	24320.3	3291.83	1078.74	0.664	1328	672	1328	156	508	336	123	1168	0	376	0	0	333	0	0	376	333
13000	13	4.54935	34536.4	48636.5	422781	5115.75	5372.34	24514.3	3017.34	2919.27	0.6665	1333	667	1333	141	502	357	214	1061	0	415	0	0	310	0	0	415	310
13250	13.25	6.94794	53787.5	6054.91	13000.6	10135.3	5519.71	26662.5	3588.03	69834.1	0.6665	1333	667	1333	141	502	357	127	1161	0	404	0	0	308	0	0	404	308
13500	13.5	4.80751	37303.9	3160.69	9249.9	5337.01	5155.14	25413	3288.47	3075.68	0.6665	1333	667	1333	141	502	357	120	1173	0	401	0	0	306	0	0	401	306
13750	13.75	4.74214	36846.4	3242.66	8037.47	4861.69	5022.66	24784.7	3225.39	1352.74	0.6665	1333	667	1333	141	502	357	116	1180	0	399	0	0	305	0	0	399	305
14000	14	4.72277	35916.7	42000.1	684030	4825.18	5249.75	24049.3	3231.8	5222.78	0.658	1316	684	1316	150	501	349	191	1070	0	449	0	0	290	0	0	449	290
14250	14.25	9.81591	76048.8	10003.5	15983.9	15377.1	5590.33	29216.9	3764.98	33532.2	0.658	1316	684	1316	150	501	349	106	1165	0	442	0	0	287	0	0	442	287
14500	14.5	5.06484	39331	3730.74	10206.3	5522.22	5153.79	25341	3455.2	3615.07	0.658	1316	684	1316	150	501	349	102	1177	0	435	0	0	286	0	0	435	286
14750	14.75	4.74859	36910.8	3308.75	8355.19	4676.55	4824.63	24556.5	3421.17	901.723	0.658	1316	684	1316	150	501	349	98	1182	0	434	0	0	286	0	0	434	286
15000	15	4.66764	35518.4	47314.6	627516	4832.62	5291.57	25129	3170.62	2251.73	0.6575	1315	685	1315	141	496	363	187	1073	0	475	0	0	265	0	0	475	265
15250	15.25	8.48921	65579.1	7653.67	14943.4	16939.2	5569.62	29169.2	3959.9	61282.8	0.6575	1315	685	1315	141	496	363	128	1150	0	460	0	0	262	0	0	460	262
15500	15.5	4.95559	38348.8	3558.94	9742.26	5679.58	5162.34	26185.6	3494.8	11203.5	0.6575	1315	685	1315	141	496	363	120	1159	0	460	0	0	261	0	0	460	261
15750	15.75	4.7889	37116.3	3050.37	8838.6	4952.61	4865.08	25360.2	3418.71	945.053	0.6575	1315	685	1315	141	496	363	114	1167	0	458	0	0	261	0	0	458	261
16000	16	4.69418	35797.8	43073.2	589614	5037.52	5520.24	24916.3	3075.36	13575.6	0.6725	1345	655	1345	136	523	341	206	1084	0	467	0	0	243	0	0	467	243
16250	16.25	8.64128	67116.9	8039.22	15165.5	13839.9	5775.53	28659.2	3455.14	2.30433e+06	0.6725	1345	655	1345	136	523	341	123	1178	0	456	0	0	243	0	0	456	243
16500	16.5	4.98082	38805.6	3698.17	9058.36	5550.9	5349.96	25547.1	3225.7	1971.19	0.6725	1345	655	1345	136	523	341	113	1194	0	452	0	0	241	0	0	452	241
16750	16.75	4.66936	36386	3236.77	8340.09	5029.43	5300.96	24543.1	3164.14	712.533	0.6725	1345	655	1345	136	523	341	113	1195	0	451	0	0	241	0	0	451	241
17000	17	4.7005	35881.3	39957.8	663123	4822.03	5431.28	24350.9	3206.18	4172.64	0.6665	1333	667	1333	139	519	342	195	1089	0	486	0	0	230	0	0	486	230
17250	17.25	8.46851	65825.8	8943.32	14874.7	14452.4	5846.61	29818.5	3676.72	48675.3	0.6665	1333	667	1333	139	519	342	112	1182	0	477	0	0	229	0	0	477	229
17500	17.5	4.92664	38383.5	3576.5	9645.49	5440.3	5302.77	26355.8	3298.76	3209.19	0.6665	1333	667	1333	139	519	342	103	1194	0	475	0	0	228	0	0	475	228
17750	17.75	4.73104	36895	3110.17	8246.27	4994.18	5023.03	24844.3	3296.14	1729.06	0.6665	1333	667	1333	139	519	342	104	1199	0	472	0	0	225	0	0	472	225
18000	18	4.72222	36139.2	41491.7	428945	4886.07	5456.99	24693.9	3117.36	14511.2	0.6685	1337	663	1337	136	522	342	187	1102	0	501	0	0	210	0	0	501	210
18250	18.25	7.62457	59323	6439.37	13076.6	13038.9	5494.04	28002.5	3559.36	11127.3	0.6685	1337	663	1337	136	522	342	109	1187	0	495	0	0	209	0	0	495	209
18500	18.5	4.92043	38349.8	3510.23	9074.95	5268.86	5304.28	25448.8	3420.69	1727.85	0.6685	1337	663	1337	136	522	342	103	1196	0	493	0	0	208	0	0	493	208
18750	18.75	4.66747	36399.3	3322.8	8326.65	4969.87	5236.8	24942.7	3324.65	2508.46	0.6685	1337	663	1337	136	522	342	105	1199	0	489	0	0	207	0	0	489	207
19000	19	4.62395	35352.4	39048.7	467976	5002.47	5629.69	24160.1	3299.78	3416.05	0.6645	1329	671	1329	136	514	350	188	1097	0	517	0	0	198	0	0	517	198
19250	19.25	7.81776	60755.7	7025	14072.1	11994.5	5704.7	28056.8	3730.99	198651	0.6645	1329	671	1329	136	514	350	109	1181	0	512	0	0	198	0	0	512	198
19500	19.5	4.8103	37433.7	3635.16	9733.47	5021.67	5384.19	25569.7	3416.55	1321.7	0.6645	1329	671	1329	136	514	350	103	1188	0	511	0	0	198	0	0	511	198
19750	19.75	4.69966	36593.9	3076.11	8390.48	4941.51	5238.51	25002.5	3247.65	809.995	0.6645	1329	671	1329	136	514	350	102	1191	0	509	0	0	198	0	0	509	198
20000	20	4.6154	35293.9	40120.8	492425	4913.59	5241.15	24366.7	3258.63	4847.8	0.6625	1325	675	1325	135	510	355	184	1098	0	532	0	0	186	0	0	532	186
