step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
8250	8.25	9.54601	65180.2	11003.1	15806.9	13616.4	3515.22	30501.7	6238.6	233902	0.476	952	1048	952	247	301	452	297	552	0	759	0	0	392	0	0	759	392
8500	8.5	5.00283	34294.4	2654.52	9010.22	5517.58	3143.44	22118.6	5624.77	22597.8	0.476	952	1048	952	247	301	452	287	570	0	754	0	0	389	0	0	754	389
8750	8.75	4.61962	31709.1	2334.29	8097.43	4923.43	3095.2	21538.5	5498.43	2921.38	0.476	952	1048	952	247	301	452	291	576	0	745	0	0	388	0	0	745	388
9000	9	4.75224	30915.7	91342	585605	4972.13	3947.89	20619.4	5515.3	6436.59	0.4695	939	1061	939	247	301	452	480	337	0	831	0	0	352	0	0	831	352
9250	9.25	9.02657	62039.6	6813.46	15538.2	14461.6	3573.18	24594	6640.85	95058	0.4695	939	1061	939	247	301	452	255	582	0	818	0	0	345	0	0	818	345
9500	9.5	5.06605	35001.4	2750.71	9029.94	5443.69	3421.08	22105.8	5983.21	4200.72	0.4695	939	1061	939	247	301	452	247	606	0	806	0	0	341	0	0	806	341
9750	9.75	4.69364	32484.7	2398.77	7869.91	4996.25	3299.56	21346.1	5875.14	22699.9	0.4695	939	1061	939	247	301	452	247	614	0	800	0	0	339	0	0	800	339
10000	10	4.69111	30672.8	95293.7	634782	5253.14	4166.85	20705.6	5470.29	15702.4	0.4635	927	1073	927	242	302	456	456	359	0	882	0	0	303	0	0	882	303
10250	10.25	9.09168	62091.6	7615.61	16358.8	11649.3	3692.66	24864.6	6627.64	280069	0.4635	927	1073	927	242	302	456	285	553	0	865	0	0	297	0	0	865	297
10500	10.5	5.01053	34362.2	2682.46	9687.29	5068.09	3288.26	22062.1	5918.91	4101.88	0.4635	927	1073	927	242	302	456	270	572	0	861	0	0	297	0	0	861	297
