step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	lj-tab_cap	tab-dynamic_0	cr_3	count_0	st_A_1	st_C_0	st_D_2	st_E_0	st_E_1	st_Z_0	st_W_0	st_W_1	st_DUMMY_7_0	st_DUMMY_7_1	st_DUMMY_7_2	st_DUMMY_8_0	st_DUMMY_8_1	st_DUMMY_8_2	fd_0	fd_1
8250	8.25	7.14391	52443.4	5850.59	13856.4	10095.7	4294.4	25545.4	4732.72	129835	0.581	1162	838	1162	196	392	412	198	894	0	479	0	0	429	0	0	479	429
8500	8.5	4.88788	36006.6	3169.91	9273.55	5438.33	4077.05	23902.5	4266.92	17682.9	0.581	1162	838	1162	196	392	412	188	911	0	472	0	0	429	0	0	472	429
8750	8.75	4.70289	34665	2819.66	8395.05	4955.94	3802.59	23301.3	4306.41	1381.13	0.581	1162	838	1162	196	392	412	185	914	0	472	0	0	429	0	0	472	429
9000	9	4.71595	33657.8	61984.3	389690	5057.58	4623.58	23190.6	4276.74	3907.11	0.5815	1163	837	1163	188	393	419	314	758	0	536	0	0	392	0	0	536	392
9250	9.25	7.42574	54668.3	6576.91	14736	10768.5	4445.39	26607.9	4942.92	88453.3	0.5815	1163	837	1163	188	393	419	175	908	0	530	0	0	387	0	0	530	387
9500	9.5	4.73178	35005.7	3106.98	9430.25	5303.23	4094.24	24059	4502.68	2.66194e+06	0.5815	1163	837	1163	188	393	419	160	932	0	527	0	0	381	0	0	527	381
9750	9.75	4.6884	34734	2806.33	8627.11	4985.31	3820.28	23434.6	4254.91	111546	0.5815	1163	837	1163	188	393	419	161	939	0	520	0	0	380	0	0	520	380
10000	10	4.69297	33564.1	64430.4	895716	5161.53	4536.86	23223	4274.94	3491.73	0.5795	1159	841	1159	188	396	416	308	768	0	571	0	0	353	0	0	571	353
10250	10.25	10.9934	80818.1	10581.4	18023.6	16774	4682.35	30564.3	5063.22	68665.3	0.5795	1159	841	1159	188	396	416	197	901	0	553	0	0	349	0	0	553	349
10500	10.5	5.08511	37467.1	3038.41	10221.6	5818.51	4310.29	24370.1	4426.67	1.48458e+06	0.5795	1159	841	1159	188	396	416	189	912	0	551	0	0	348	0	0	551	348
10750	10.75	4.58002	33807.4	2813.63	8279.72	4718.93	4145.81	23376.3	4285.18	2490.32	0.5795	1159	841	1159	188	396	416	184	921	0	548	0	0	347	0	0	548	347
11000	11	4.69803	33452.3	63475.4	650226	4815.18	4337.73	23052	4321.2	9939.7	0.57	1140	860	1140	193	389	418	313	747	0	626	0	0	314	0	0	626	314
11250	11.25	8.74665	64235.4	6170.11	16581.8	11743	4349.7	26683.2	5095.3	27353.1	0.57	1140	860	1140	193	389	418	176	896	0	616	0	0	312	0	0	616	312
11500	11.5	5.02647	37057.6	3071.87	10113.5	5519.54	4051.13	23923.6	4475.72	248240	0.57	1140	860	1140	193	389	418	161	915	0	613	0	0	311	0	0	613	311
11750	11.75	4.70638	34719	2855.66	8643.13	4809.92	3803.51	23216.8	4317.21	2568.98	0.57	1140	860	1140	193	389	418	162	918	0	610	0	0	310	0	0	610	310
12000	12	4.64481	33198.8	69492.4	528239	4818.95	4669.03	22779.8	4109.34	9015.24	0.5795	1159	841	1159	175	393	432	298	765	0	650	0	0	287	0	0	650	287
12250	12.25	8.87161	65259.6	7582.18	14831.9	12443.6	4664.22	26713.3	4701.77	87628.5	0.5795	1159	841	1159	175	393	432	170	904	0	639	0	0	287	0	0	639	287
12500	12.5	5.01326	36960.3	3233.66	9546.89	5563.35	4272.25	24108.9	4379.96	3849.27	0.5795	1159	841	1159	175	393	432	166	915	0	632	0	0	287	0	0	632	287
12750	12.75	4.69231	34629.3	2792.66	8292.07	4898.89	4054.91	23140.5	4223.48	1449.51	0.5795	1159	841	1159	175	393	432	165	920	0	628	0	0	287	0	0	628	287
13000	13	4.65905	33342.5	63846.2	596838	5078.28	4808.64	23466.9	4015.69	125095	0.586	1172	828	1172	184	421	395	299	771	0	656	0	0	274	0	0	656	274
13250	13.25	8.31949	61310.5	7830.42	14873.5	13085.3	4648.56	26548.2	4803.74	470308	0.586	1172	828	1172	184	421	395	168	913	0	645	0	0	274	0	0	645	274
13500	13.5	5.00164	36927.1	2931.33	10039.3	5478.49	4308.26	24239.6	4344.02	6795.96	0.586	1172	828	1172	184	421	395	167	922	0	638	0	0	273	0	0	638	273
13750	13.75	4.73159	34983	2873.99	8634.65	4900.58	4215.96	23594.8	4212.83	1857.34	0.586	1172	828	1172	184	421	395	166	929	0	633	0	0	272	0	0	633	272
14000	14	4.7231	33744.2	62399.4	709110	5030.58	4936.49	23256.7	4112.97	8281.65	0.5795	1159	841	1159	179	408	413	291	763	0	696	0	0	250	0	0	696	250
14250	14.25	10.1711	74757.8	8198.84	16982.5	16169	4904.6	28190.7	4903.86	170034	0.5795	1159	841	1159	179	408	413	177	900	0	678	0	0	245	0	0	678	245
14500	14.5	5.04225	37143.8	3148.44	10246.6	5510.5	4302.98	24600.7	4566.55	12603.5	0.5795	1159	841	1159	179	408	413	172	911	0	674	0	0	243	0	0	674	243
14750	14.75	4.62947	34158.5	2860.32	8620.1	4649.12	4266.72	23714.9	4377.73	1304.73	0.5795	1159	841	1159	179	408	413	166	919	0	672	0	0	243	0	0	672	243
15000	15	4.73175	33735	69276.9	626814	5007.69	5052.84	23337.8	4006.03	4871.64	0.5815	1163	837	1163	179	422	399	298	753	0	727	0	0	222	0	0	727	222
15250	15.25	8.52466	62464.4	6572.94	15124.9	12897.3	4884.89	27302.6	5029.08	478828	0.5815	1163	837	1163	179	422	399	192	885	0	707	0	0	216	0	0	707	216
15500	15.5	5.07692	37361	3162.14	9757.53	5474.47	4527.01	24401.5	4523.33	19649	0.5815	1163	837	1163	179	422	399	179	906	0	699	0	0	216	0	0	699	216
15750	15.75	4.68347	34500.8	2658.85	8475.4	5030.03	4333.42	23653	4388.53	3539.97	0.5815	1163	837	1163	179	422	399	178	911	0	696	0	0	215	0	0	696	215
16000	16	4.59459	32770.9	62415.1	662722	5077.19	5050.36	23242.5	4132.8	10206.1	0.586	1172	828	1172	167	427	406	317	755	0	728	0	0	200	0	0	728	200
16250	16.25	9.53507	70011.2	7595.1	16393.6	13823.1	4961.23	26756.7	4764.13	87348.1	0.586	1172	828	1172	167	427	406	187	895	0	722	0	0	196	0	0	722	196
16500	16.5	5.01307	36989	3104.14	9515.08	5637.41	4618.02	23871.1	4322.79	155509	0.586	1172	828	1172	167	427	406	178	919	0	709	0	0	194	0	0	709	194
16750	16.75	4.6933	34685.8	2976.12	8382.47	4932.35	4458.61	23401.8	4291.61	1585.51	0.586	1172	828	1172	167	427	406	172	927	0	707	0	0	194	0	0	707	194
17000	17	4.71143	33639.6	67424.3	617620	5237.26	4977.05	22924.7	4109.14	9587.87	0.585	1170	830	1170	163	425	412	306	760	0	754	0	0	180	0	0	754	180
17250	17.25	8.85818	65147.5	6309.9	14756.8	12755.8	4819.27	27729.5	4766.68	1.24353e+06	0.585	1170	830	1170	163	425	412	185	903	0	735	0	0	177	0	0	735	177
17500	17.5	4.90736	36150.1	3059.88	9768.31	4883.96	4487.35	24708.8	4182.91	2392.05	0.585	1170	830	1170	163	425	412	181	911	0	731	0	0	177	0	0	731	177
17750	17.75	4.69648	34702.3	2859.91	8400.97	4753.92	4402.84	24022.4	4192.94	4984.6	0.585	1170	830	1170	163	425	412	172	926	0	727	0	0	175	0	0	727	175
18000	18	4.71858	33683.6	64496.3	535092	5096.03	4941.81	22965.6	4243.23	51138.2	0.5795	1159	841	1159	171	426	403	308	759	0	777	0	0	156	0	0	777	156
18250	18.25	9.23849	67875.2	8060.68	14261.7	13475.9	4859.23	26715.8	4795.24	125904	0.5795	1159	841	1159	171	426	403	181	898	0	765	0	0	156	0	0	765	156
18500	18.5	5.01163	36978.3	3189.08	9348.98	6034.87	4678.43	25019	4387.08	3127.88	0.5795	1159	841	1159	171	426	403	164	919	0	761	0	0	156	0	0	761	156
18750	18.75	4.7146	34814.9	2895.69	8446.46	5172.25	4365.78	23802.5	4283.05	1863.53	0.5795	1159	841	1159	171	426	403	164	923	0	758	0	0	155	0	0	758	155
19000	19	4.69615	33629.2	63951.6	581284	5030.17	5036.41	23165.6	4075.07	8194.61	0.5855	1171	829	1171	155	430	415	293	774	0	789	0	0	144	0	0	789	144
19250	19.25	9.37453	69085.6	8432.2	15396	13980.4	5156.74	27284.2	4809.54	94377.2	0.5855	1171	829	1171	155	430	415	178	913	0	768	0	0	141	0	0	768	141
19500	19.5	5.06362	37399.9	3227.19	10087.5	5693.28	4603.33	24779.8	4201.02	12137	0.5855	1171	829	1171	155	430	415	173	924	0	762	0	0	141	0	0	762	141
19750	19.75	4.64228	34315.7	2931.46	8147.75	5078.25	4443.77	23915.6	4232.76	4430.13	0.5855	1171	829	1171	155	430	415	174	928	0	757	0	0	141	0	0	757	141
20000	20	4.79781	34335.5	69344.9	621416	5105.97	5406.44	23422	3957.79	9749.3	0.5915	1183	817	1183	148	442	410	323	771	0	773	0	0	133	0	0	773	133
