step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	res_fpl_0
71000	71	4.25036	25502.2	0	5349.86	4271.15	0	25821.9	0	0	0	-nan
72000	72	4.42242	26534.5	0	4929.57	4402.74	0	25677.8	0	0	0	-nan
73000	73	4.41956	26517.3	0	5420.33	4201.39	0	25672.4	0	0	0	-nan
74000	74	4.52265	27135.9	0	5180.95	4441.87	0	25594.7	0	0	0	-nan
75000	75	4.43826	26629.5	0	5183.55	4247.58	0	25928.2	0	0	0	-nan
76000	76	4.53701	27222.1	0	5356.88	4487.61	0	25544.2	0	0	0	-nan
77000	77	4.47247	26834.8	0	5022.22	4370.13	0	25396.7	0	0	0	-nan
78000	78	4.40739	26444.3	0	5114.77	4251.3	0	25753.6	0	0	0	-nan
79000	79	4.48289	26897.3	0	5140.81	4679.35	0	25758.9	0	0	0	-nan
80000	80	4.47506	26850.3	0	5089.52	4402.53	0	25954.3	0	0	0	-nan
81000	81	4.30527	25831.6	0	5305.76	4590.31	0	25771.9	0	0	0	-nan
82000	82	4.4614	26768.4	0	5007.49	4452.11	0	25790.8	0	0	0	-nan
83000	83	4.4434	26660.4	0	4819.76	4112.55	0	25920.6	0	0	0	-nan
84000	84	4.48383	26903	0	5306.84	4633.79	0	26142.8	0	0	0	-nan
85000	85	4.36907	26214.4	0	5070.76	4258.55	0	25598.1	0	0	0	-nan
86000	86	4.45011	26700.6	0	4978.07	4219.66	0	25662	0	0	0	-nan
87000	87	4.35696	26141.7	0	5093.3	4456.01	0	25451.8	0	0	0	-nan
88000	88	4.57454	27447.3	0	5115.82	4639.83	0	25379	0	0	0	-nan
89000	89	4.35398	26123.9	0	5267.7	4469.03	0	25354	0	0	0	-nan
90000	90	4.57142	27428.5	0	5232.76	4408.35	0	25498	0	0	0	-nan
91000	91	4.46374	26782.4	0	5201.82	4347.29	0	25020.8	0	0	0	-nan
92000	92	4.42082	26524.9	0	4931.96	4433.78	0	25370.1	0	0	0	-nan
93000	93	4.44992	26699.5	0	5057.87	4483.47	0	25604.4	0	0	0	-nan
94000	94	4.42656	26559.3	0	5205.39	4362.53	0	25470.5	0	0	0	-nan
95000	95	4.38522	26311.3	0	4911.75	4415.84	0	25595.8	0	0	0	-nan
96000	96	4.50768	27046.1	0	5087.97	4623.48	0	25595.4	0	0	0	-nan
97000	97	4.39019	26341.1	0	5533.38	4414.64	0	25372.2	0	0	0	-nan
98000	98	4.43545	26612.7	0	5183.17	4436.08	0	25359.4	0	0	0	-nan
99000	99	4.38486	26309.2	0	5160.34	4283.7	0	25507.3	0	0	0	-nan
100000	100	4.49058	26943.5	0	5329.76	4722.43	0	25601	0	0	0	-nan
101000	101	4.47439	26846.3	0	5094.2	4370.32	0	25689.4	0	0	0	-nan
102000	102	4.4663	26797.8	0	5248.83	4386.28	0	25407.3	0	0	0	-nan
103000	103	4.44653	26679.2	0	5493.59	4583.66	0	25665.2	0	0	0	-nan
104000	104	4.48173	26890.4	0	5162.83	4150.12	0	25728	0	0	0	-nan
105000	105	4.35286	26117.2	0	5431.76	4513.77	0	25618.5	0	0	0	-nan
106000	106	4.49375	26962.5	0	4991.25	4131.1	0	25792.8	0	0	0	-nan
107000	107	4.45311	26718.7	0	5464.79	4335.78	0	25307.5	0	0	0	-nan
108000	108	4.47424	26845.4	0	5237.65	4474.66	0	25496	0	0	0	-nan
109000	109	4.35866	26151.9	0	5251.42	4464.97	0	25857.7	0	0	0	-nan
110000	110	4.49174	26950.4	0	5248.43	4337.08	0	25727.7	0	0	0	-nan
111000	111	4.35316	26119	0	5212.17	4395.34	0	25710.8	0	0	0	-nan
112000	112	4.40859	26451.5	0	5436.31	4455.92	0	25546.5	0	0	0	-nan
113000	113	4.54161	27249.7	0	5205.59	4467.16	0	25706.7	0	0	0	-nan
114000	114	4.39379	26362.8	0	4890.55	4630.69	0	25676.9	0	0	0	-nan
115000	115	4.4092	26455.2	0	5253.43	4392.17	0	25510.7	0	0	0	-nan
116000	116	4.35733	26144	0	5066.93	4520.27	0	25546.4	0	0	0	-nan
117000	117	4.39903	26394.2	0	5306.13	4323.89	0	25033.4	0	0	0	-nan
118000	118	4.52475	27148.5	0	4948.89	4362.67	0	25317.8	0	0	0	-nan
119000	119	4.47416	26845	0	5057.52	4456.68	0	25263	0	0	0	-nan
120000	120	4.42907	26574.4	0	5219.32	4555.91	0	25279.5	0	0	0	-nan
121000	121	4.44644	26678.6	0	5143.68	4643.43	0	25074	0	0	0	-nan
122000	122	4.39674	26380.4	0	5092.91	4407.81	0	25087.6	0	0	0	-nan
123000	123	4.41779	26506.7	0	5030.73	4491.73	0	25923.1	0	0	0	-nan
124000	124	4.49445	26966.7	0	5214.36	4628	0	25273.3	0	0	0	-nan
125000	125	4.44928	26695.7	0	5237.67	4403.51	0	25685.8	0	0	0	-nan
126000	126	4.48256	26895.4	0	5157.93	4278.47	0	25715.3	0	0	0	-nan
127000	127	4.48352	26901.1	0	5380.42	4460.05	0	25398.3	0	0	0	-nan
128000	128	4.39947	26396.8	0	4881.71	4298.81	0	25344.8	0	0	0	-nan
129000	129	4.35265	26115.9	0	5108.02	4140.24	0	25766.5	0	0	0	-nan
130000	130	4.4371	26622.6	0	5151.32	4452.02	0	25789.6	0	0	0	-nan
131000	131	4.41181	26470.9	0	5402.61	4178.93	0	25496.3	0	0	0	-nan
132000	132	4.38588	26315.3	0	4788.29	4527.06	0	25868.9	0	0	0	-nan
133000	133	4.51528	27091.7	0	5135.86	4713.65	0	25980	0	0	0	-nan
134000	134	4.38292	26297.5	0	5006.56	4629.12	0	25581.9	0	0	0	-nan
135000	135	4.44344	26660.7	0	5070.54	4511.68	0	25600.7	0	0	0	-nan
136000	136	4.39388	26363.3	0	5352.17	4199.19	0	25580.6	0	0	0	-nan
137000	137	4.47669	26860.1	0	5235.67	4508.5	0	25751.1	0	0	0	-nan
