step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	0
1000	1	4.40275	26416.5	0	5185.85	4478.3	0	25686.4	0	0	0	7387.11
2000	2	4.39027	26341.6	0	5226.28	4418.71	0	25293.5	0	0	0	8206.35
3000	3	4.44449	26666.9	0	5378.86	4560.49	0	25529	0	0	0	7618.93
4000	4	4.52034	27122	0	5260.88	4443.64	0	25322.3	0	0	0	7607.12
5000	5	4.42139	26528.4	0	5037.91	4177.45	0	25590.8	0	0	0	8229.09
6000	6	4.46359	26781.5	0	4919	4573.42	0	25537.2	0	0	0	8274.81
7000	7	4.44672	26680.3	0	5281.47	4173.87	0	25548.8	0	0	0	7855.9
8000	8	4.40491	26429.5	0	5263.34	4508.39	0	25476.4	0	0	0	7852.4
9000	9	4.41631	26497.9	0	5207.13	4519.67	0	25721.7	0	0	0	7770.71
10000	10	4.41093	26465.6	0	5409.71	4464.03	0	25872.6	0	0	0	7615.49
11000	11	4.53117	27187	0	5114.52	4444.4	0	26123.2	0	0	0	8336.88
12000	12	4.43046	26582.7	0	5241.4	4522.9	0	25424.4	0	0	0	7692.51
13000	13	4.27469	25648.1	0	5279.8	4337.2	0	25697.6	0	0	0	8196.26
14000	14	4.35111	26106.7	0	5285.24	4610.24	0	26340.3	0	0	0	7936.98
15000	15	4.55032	27301.9	0	5363.87	4402.43	0	25550.7	0	0	0	8254.32
16000	16	4.44172	26650.3	0	5307.42	4375.25	0	26046.3	0	0	0	9817.53
17000	17	4.42022	26521.3	0	5187.12	4406.49	0	25569.6	0	0	0	7595.08
18000	18	4.4805	26883	0	5298.78	4541.24	0	25411.5	0	0	0	8006.05
19000	19	4.52514	27150.8	0	5077.03	4660.56	0	25516	0	0	0	8388.04
20000	20	4.39705	26382.3	0	4905.3	4266.29	0	25684.4	0	0	0	7840.75
21000	21	4.38687	26321.2	0	5210.04	4256.19	0	25428.8	0	0	0	7418.01
22000	22	4.47728	26863.7	0	5708.9	4396.91	0	25405.5	0	0	0	7887.54
23000	23	4.43768	26626.1	0	5331.75	4336.35	0	25744.5	0	0	0	7871.25
24000	24	4.38614	26316.8	0	5036.68	4366.19	0	25284.2	0	0	0	7517.48
25000	25	4.42199	26531.9	0	5104.79	4488.99	0	25452.7	0	0	0	7672.49
26000	26	4.432	26592	0	5219.29	4373.98	0	25670.2	0	0	0	7487.99
27000	27	4.38923	26335.4	0	4956.27	4276.48	0	25655.8	0	0	0	7675.47
28000	28	4.35931	26155.9	0	5203.55	4622.16	0	25596.2	0	0	0	7682.08
29000	29	4.46163	26769.8	0	5081.04	4796.95	0	25552.7	0	0	0	8104.11
30000	30	4.43723	26623.4	0	5019.61	4217.07	0	25683.5	0	0	0	7669.12
31000	31	4.3578	26146.8	0	5425.2	4424.63	0	25513.5	0	0	0	7564.49
32000	32	4.47703	26862.2	0	5153.91	4256.34	0	25205.7	0	0	0	7687.22
