step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
60000	60	4.45319	26719.1	0	5026.46	4548.97	0	25769.6	0	0	0	7776.66
61000	61	4.39598	26375.9	0	5017.44	4337.65	0	25620.5	0	0	0	7835.1
62000	62	4.52548	27152.9	0	5192	4405.88	0	25520	0	0	0	7658.38
63000	63	4.37409	26244.6	0	5030.58	4477.06	0	25488.1	0	0	0	8316.33
64000	64	4.50715	27042.9	0	5037.17	4477.89	0	25261.2	0	0	0	8362.24
65000	65	4.47371	26842.3	0	5137.6	4552.39	0	25514.7	0	0	0	7576.01
66000	66	4.41413	26484.8	0	5140.27	4515.58	0	25353.5	0	0	0	7737.88
67000	67	4.38688	26321.3	0	5211.6	4578.14	0	25496.2	0	0	0	8000.93
68000	68	4.47573	26854.4	0	5143.57	4325.04	0	25835.1	0	0	0	7898.82
69000	69	4.36848	26210.9	0	5311.48	4400.88	0	25544.5	0	0	0	7925.02
70000	70	4.37731	26263.9	0	5100.23	4707.19	0	25930	0	0	0	7333.99
71000	71	4.38274	26296.4	0	5317.33	4289.7	0	25367.4	0	0	0	7475.42
72000	72	4.57245	27434.7	0	5277.77	4576.64	0	25347.1	0	0	0	7468.96
73000	73	4.41494	26489.6	0	5033.12	4515.05	0	25466.4	0	0	0	7606.07
74000	74	4.44752	26685.1	0	5422.07	4330.84	0	25107.8	0	0	0	11519
75000	75	4.42329	26539.7	0	5091.17	4235.04	0	25075.6	0	0	0	7516.8
76000	76	4.51751	27105.1	0	5288.04	4517.03	0	25392.8	0	0	0	7841.97
77000	77	4.36606	26196.3	0	5135.7	4237.14	0	25406.7	0	0	0	7883.82
78000	78	4.40344	26420.6	0	4886.91	4535.99	0	26113.9	0	0	0	7594
79000	79	4.42479	26548.7	0	5105.78	4275.16	0	25841.6	0	0	0	7878.66
80000	80	4.37752	26265.1	0	5249.85	4545.86	0	25317.6	0	0	0	7721.59
81000	81	4.47521	26851.3	0	5539.59	4399.51	0	25578.3	0	0	0	8296.95
82000	82	4.39645	26378.7	0	5292.27	4384.21	0	25423.5	0	0	0	7689.69
83000	83	4.47558	26853.5	0	5465.94	4641.7	0	24894.7	0	0	0	8206.92
84000	84	4.36922	26215.3	0	5205.97	4287.68	0	25472.9	0	0	0	8141.87
85000	85	4.43997	26639.8	0	5142.67	4214.97	0	25172	0	0	0	7960.26
86000	86	4.39339	26360.4	0	5503.13	4554.55	0	25431.7	0	0	0	8118.05
87000	87	4.42314	26538.8	0	5074.48	4669.32	0	25384.8	0	0	0	7822.55
88000	88	4.42828	26569.7	0	5237.83	4409.31	0	25075.4	0	0	0	7958.38
89000	89	4.48147	26888.8	0	5474.18	4389.13	0	25454.2	0	0	0	8293.46
90000	90	4.39233	26354	0	4867.21	4564.6	0	25347.7	0	0	0	7979.31
91000	91	4.48988	26939.3	0	5252.41	4244.88	0	25460.5	0	0	0	7629.41
92000	92	4.5011	27006.6	0	5481.83	4312.57	0	25630.5	0	0	0	7543.37
93000	93	4.4107	26464.2	0	5369.88	4397.52	0	25605	0	0	0	7653.5
94000	94	4.38894	26333.6	0	5317.42	4045.7	0	25548.2	0	0	0	8128.3
95000	95	4.36924	26215.4	0	5422.95	4472.37	0	25491.3	0	0	0	7729.79
96000	96	4.47825	26869.5	0	5123.19	4510.68	0	25742.3	0	0	0	7615.59
97000	97	4.43482	26608.9	0	5364.04	4705.8	0	25444.5	0	0	0	7968.75
98000	98	4.3961	26376.6	0	5362.08	4276.58	0	25166.8	0	0	0	7601.16
99000	99	4.50141	27008.4	0	5005.44	4341.68	0	25366.7	0	0	0	8101.35
100000	100	4.37931	26275.8	0	5043.95	4722.74	0	25345.5	0	0	0	7791.68
101000	101	4.44401	26664	0	5239.65	4469.92	0	25234.5	0	0	0	7738.37
102000	102	4.52877	27172.6	0	5076.45	4297.73	0	25714	0	0	0	7465.46
103000	103	4.37246	26234.8	0	5447.38	4482.98	0	25289.4	0	0	0	8471.28
104000	104	4.46471	26788.3	0	5144.83	4516.99	0	25493.4	0	0	0	7446.3
105000	105	4.46961	26817.7	0	5044.4	4494.24	0	25240.5	0	0	0	8226.25
106000	106	4.38886	26333.1	0	5115.77	4314.59	0	25266.9	0	0	0	8826.88
107000	107	4.44397	26663.8	0	4976.72	4574.26	0	25743.3	0	0	0	7437.44
108000	108	4.40583	26435	0	5369.91	4579.89	0	25480.4	0	0	0	7778.62
109000	109	4.41993	26519.6	0	5268.18	4432.3	0	25633.6	0	0	0	7828.23
110000	110	4.41726	26503.6	0	5090.67	4349.08	0	25247.6	0	0	0	7968.19
111000	111	4.50442	27026.5	0	5291.1	4242.34	0	25829.1	0	0	0	7843.13
112000	112	4.55786	27347.1	0	5139.36	4557.72	0	25742.4	0	0	0	7667.36
113000	113	4.56151	27369	0	5160.17	4450.96	0	25351	0	0	0	7628.18
114000	114	4.35303	26118.2	0	5196.26	4331.36	0	25223.6	0	0	0	7958.5
115000	115	4.44342	26660.5	0	5117.15	4288.37	0	25753.8	0	0	0	7800.66
116000	116	4.33884	26033	0	5042.1	4656.43	0	25785.3	0	0	0	8447.92
117000	117	4.49537	26972.2	0	5248.15	4318.68	0	25455	0	0	0	8032.6
118000	118	4.39677	26380.6	0	5230.62	4593.15	0	25415.3	0	0	0	7731.91
119000	119	4.37523	26251.4	0	5337.3	4379.36	0	25668.4	0	0	0	7775.21
120000	120	4.41567	26494	0	5307.5	4357.34	0	25257.7	0	0	0	7512.46
121000	121	4.51861	27111.7	0	5274.21	4270.85	0	25273.7	0	0	0	8370.56
122000	122	4.40714	26442.9	0	5204.54	4340.33	0	25749.4	0	0	0	8168.66
123000	123	4.37966	26278	0	5372.38	4400.78	0	25241.6	0	0	0	8145.45
124000	124	4.41845	26510.7	0	5122.32	4298.65	0	25748.3	0	0	0	8004.58
125000	125	4.40289	26417.3	0	5438.66	4303.31	0	25414.3	0	0	0	7656.34
126000	126	4.4279	26567.4	0	5423.73	4217.61	0	25472	0	0	0	7507.98
127000	127	4.39118	26347.1	0	5420.68	4521.66	0	25168.6	0	0	0	7794.18
128000	128	4.41061	26463.6	0	5046.9	4247.16	0	25481	0	0	0	8028.48
129000	129	4.44308	26658.5	0	5214.53	4538.95	0	25436.8	0	0	0	8022.83
130000	130	4.49428	26965.7	0	4995.51	4283.02	0	24978.9	0	0	0	8344.68
131000	131	4.29867	25792	0	5190.97	4483.68	0	25438.8	0	0	0	8058.69
132000	132	4.42855	26571.3	0	5284.67	4686.62	0	25409.6	0	0	0	7868.6
133000	133	4.4935	26961	0	5436.37	4453.42	0	25412.5	0	0	0	7483.82
134000	134	4.4527	26716.2	0	5070.86	4577.81	0	25471.7	0	0	0	7617.75
135000	135	4.44268	26656.1	0	5210.99	4581.91	0	25552.7	0	0	0	8294.5
136000	136	4.43398	26603.9	0	5026.83	4313.95	0	25359.2	0	0	0	7787
137000	137	4.35446	26126.7	0	5231.63	4312.11	0	25547.8	0	0	0	7569.61
138000	138	4.42653	26559.2	0	5096.5	4556.17	0	25514.6	0	0	0	7655.02
139000	139	4.46095	26765.7	0	5451.1	4538.26	0	25594	0	0	0	7953.63
140000	140	4.38246	26294.7	0	4971.53	4478.14	0	25472.3	0	0	0	8071.89
141000	141	4.49771	26986.3	0	5287.5	4738	0	25310	0	0	0	7442.87
142000	142	4.33738	26024.3	0	5187.72	4470.33	0	25290.9	0	0	0	7805.82
143000	143	4.4938	26962.8	0	4954.37	4345.13	0	25325.8	0	0	0	7485.19
144000	144	4.48521	26911.2	0	5062.52	4545.02	0	25281.7	0	0	0	7960.83
145000	145	4.50455	27027.3	0	5055.95	4449.47	0	25691.8	0	0	0	7591.71
146000	146	4.4881	26928.6	0	5292.94	4494.77	0	25427.7	0	0	0	7918.15
147000	147	4.39253	26355.2	0	5050.5	4257.46	0	25823.4	0	0	0	7678.02
148000	148	4.44627	26677.6	0	5018.52	4342.01	0	25592.2	0	0	0	7544.77
149000	149	4.54191	27251.4	0	5107.08	4360.04	0	25822.1	0	0	0	7605.97
150000	150	4.37417	26245	0	4889.65	4453.72	0	25423	0	0	0	8297.81
151000	151	4.50909	27054.6	0	5273.93	4294.23	0	25395	0	0	0	7839.76
152000	152	4.42959	26577.6	0	4985.68	4465.62	0	25460.5	0	0	0	7817.57
153000	153	4.37015	26220.9	0	5405.76	4463.85	0	24946.6	0	0	0	7809.07
154000	154	4.50188	27011.3	0	5148.24	4222.17	0	25516.9	0	0	0	7833.09
155000	155	4.33289	25997.3	0	5391.34	4239.91	0	25552.4	0	0	0	7658.37
156000	156	4.45044	26702.6	0	5432.46	4259.29	0	25300.8	0	0	0	7559.66
157000	157	4.45662	26739.7	0	5429.74	4270.97	0	25530.3	0	0	0	7704.11
158000	158	4.55465	27327.9	0	5022.4	4156.8	0	25536.5	0	0	0	7524.23
159000	159	4.44446	26666.7	0	5094.32	4544.86	0	25830.8	0	0	0	8058.62
160000	160	4.41187	26471.2	0	5097.67	4590.89	0	25285.7	0	0	0	9874.02
161000	161	4.47498	26849.9	0	5053.97	4640.74	0	25537.4	0	0	0	8140.74
162000	162	4.42389	26543.3	0	5239.12	4556.15	0	25156.6	0	0	0	8192.97
163000	163	4.45328	26719.7	0	5083.18	4302.46	0	25763.2	0	0	0	8150.41
164000	164	4.3543	26125.8	0	5358.84	4453.87	0	25396.6	0	0	0	7806.25
165000	165	4.44064	26643.8	0	4930.68	4171.68	0	25150.2	0	0	0	7996.7
166000	166	4.46197	26771.8	0	5339.87	4382.02	0	25216.2	0	0	0	8173.89
167000	167	4.33693	26021.6	0	4903.06	4538.77	0	25526.4	0	0	0	8360.75
168000	168	4.33167	25990	0	5372.26	4603.23	0	25815	0	0	0	7720.09
169000	169	4.49711	26982.7	0	5172.29	4504.97	0	25717.1	0	0	0	8365.5
170000	170	4.45507	26730.4	0	5332.44	4705.23	0	25728.1	0	0	0	7785.52
171000	171	4.40565	26433.9	0	5045.44	4419.96	0	25525.2	0	0	0	7725.3
172000	172	4.52581	27154.9	0	5234.92	4371.54	0	25871	0	0	0	8177.13
173000	173	4.43908	26634.5	0	4850.02	4757.02	0	25320.9	0	0	0	8455.1
174000	174	4.37069	26224.2	0	5471.75	4596.85	0	25560.7	0	0	0	7648.67
175000	175	4.5597	27358.2	0	4926.18	4274.38	0	25031.1	0	0	0	7791.17
176000	176	4.38689	26321.3	0	5494.78	4350.36	0	25282.2	0	0	0	7892.83
177000	177	4.4329	26597.4	0	5237.43	4408.35	0	25642.7	0	0	0	7634.98
178000	178	4.42231	26533.9	0	5105.41	4455.44	0	25707.6	0	0	0	8197.05
179000	179	4.45246	26714.8	0	5403.49	4452.83	0	25622.4	0	0	0	7733.64
180000	180	4.42267	26536	0	5143.28	4429.08	0	25393.4	0	0	0	8077.38
181000	181	4.39527	26371.6	0	5333.42	4521.43	0	25470.5	0	0	0	8667.37
182000	182	4.4868	26920.8	0	5277.58	4342.42	0	25590.6	0	0	0	7972.7
183000	183	4.41751	26505	0	5232.69	4524.91	0	25914	0	0	0	8070
184000	184	4.44677	26680.6	0	5296.69	4335.76	0	25351.9	0	0	0	7661.7
185000	185	4.41913	26514.8	0	4917.17	4348.64	0	25347	0	0	0	7856.68
186000	186	4.3555	26133	0	5066.26	4609.53	0	25227.6	0	0	0	7846.42
187000	187	4.44047	26642.8	0	5231.69	4285.06	0	25276.9	0	0	0	7801.76
188000	188	4.5353	27211.8	0	5213.3	4380.1	0	25362.8	0	0	0	7940.24
189000	189	4.37686	26261.1	0	5039.11	4473.09	0	25267.4	0	0	0	7762.9
190000	190	4.43657	26619.4	0	5351.68	4671.37	0	25314.1	0	0	0	7767.54
191000	191	4.39554	26373.3	0	4940.29	4720.68	0	25495.1	0	0	0	7722.3
192000	192	4.43245	26594.7	0	5324.15	4508.06	0	25452.4	0	0	0	7633.45
193000	193	4.41966	26518	0	5398.25	4856.12	0	25401.3	0	0	0	7737.6
194000	194	4.41749	26504.9	0	5264.47	4377.33	0	25544.9	0	0	0	8153.32
195000	195	4.41039	26462.3	0	5010.11	4329.44	0	25506.1	0	0	0	8033.35
196000	196	4.47486	26849.1	0	5407.63	4298.9	0	25267.6	0	0	0	7771.34
197000	197	4.52234	27134	0	4993.39	4491.52	0	25438.6	0	0	0	7440.59
198000	198	4.48991	26939.5	0	5245.89	4391.65	0	25723.6	0	0	0	7637.83
199000	199	4.38298	26297.9	0	5143.1	4339.5	0	25406.5	0	0	0	7666.34
200000	200	4.42927	26575.6	0	5171.2	4220.79	0	25481.9	0	0	0	8437.12
201000	201	4.44846	26690.8	0	5308.57	4497.2	0	25451.1	0	0	0	7472.85
202000	202	4.47178	26830.7	0	5233.47	4305.22	0	25657.5	0	0	0	7634.62
203000	203	4.36715	26202.9	0	5538.61	4660.23	0	25306.8	0	0	0	8349.13
204000	204	4.46456	26787.4	0	5162.58	4337.15	0	25452.7	0	0	0	7742.87
205000	205	4.48382	26902.9	0	5277.87	4653.21	0	25323.3	0	0	0	7687.75
206000	206	4.51504	27090.2	0	5242.3	4528.53	0	25169.3	0	0	0	7365.09
207000	207	4.47581	26854.9	0	5006.69	4331.9	0	25503.4	0	0	0	8094.12
