# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.660000000000000000e+02 1.834000000000000000e+03 1.660000000000000000e+02 2.000000000000000000e+00 1.090512540894220228e+00 1.165999999999939529e+00 1.090512540894220228e+00 1.069221999999944606e+00
3.200000000000000000e+02 1.680000000000000000e+03 2.810000000000000000e+02 4.000000000000000000e+00 1.190476190476190466e+00 1.360999999999940924e+00 1.190476190476190466e+00 1.143239999999950296e+00
4.400000000000000000e+02 1.560000000000000000e+03 3.530000000000000000e+02 4.000000000000000000e+00 1.282051282051282159e+00 1.540999999999943748e+00 1.282051282051282159e+00 1.201979999999956084e+00
5.530000000000000000e+02 1.447000000000000000e+03 3.980000000000000000e+02 5.000000000000000000e+00 1.382170006910850013e+00 1.748999999999947708e+00 1.382170006910850013e+00 1.265401499999962098e+00
6.510000000000000000e+02 1.349000000000000000e+03 4.180000000000000000e+02 8.000000000000000000e+00 1.482579688658265393e+00 1.989999999999950253e+00 1.482579688658265393e+00 1.342254999999966447e+00
7.450000000000000000e+02 1.256000000000000000e+03 4.390000000000000000e+02 8.000000000000000000e+00 1.592356687898089262e+00 2.219000000000038053e+00 1.592356687898089262e+00 1.393532000000023752e+00
8.320000000000000000e+02 1.169000000000000000e+03 4.510000000000000000e+02 8.000000000000000000e+00 1.710863986313088114e+00 2.463000000000044043e+00 1.710863986313088114e+00 1.439623500000025702e+00
9.060000000000000000e+02 1.095000000000000000e+03 4.520000000000000000e+02 1.200000000000000000e+01 1.826484018264840081e+00 2.740000000000047731e+00 1.826484018264840081e+00 1.500150000000026296e+00
9.630000000000000000e+02 1.038000000000000000e+03 4.490000000000000000e+02 1.400000000000000000e+01 1.926782273603082851e+00 2.980000000000048388e+00 1.926782273603082851e+00 1.546620000000025197e+00
