# cr len_gsub, pn, pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
1.690000000000000000e+02 1.831000000000000000e+03 1.092299290005461554e+00 1.083036499999943114e+00
3.210000000000000000e+02 1.679000000000000000e+03 1.191185229303156623e+00 1.162707499999948935e+00
4.490000000000000000e+02 1.551000000000000000e+03 1.289490651192778836e+00 1.246228499999955330e+00
5.280000000000000000e+02 1.472000000000000000e+03 1.358695652173913082e+00 1.282111999999959950e+00
5.760000000000000000e+02 1.424000000000000000e+03 1.404494382022472010e+00 1.295127999999962753e+00
6.200000000000000000e+02 1.381000000000000000e+03 1.448225923244025992e+00 1.326450499999965338e+00
6.440000000000000000e+02 1.357000000000000000e+03 1.473839351510685347e+00 1.342751499999966125e+00
6.730000000000000000e+02 1.328000000000000000e+03 1.506024096385542244e+00 1.360535999999981982e+00
6.920000000000000000e+02 1.309000000000000000e+03 1.527883880825057217e+00 1.374449999999997285e+00
7.210000000000000000e+02 1.280000000000000000e+03 1.562500000000000000e+00 1.397760000000022540e+00
7.540000000000000000e+02 1.247000000000000000e+03 1.603849238171611846e+00 1.410357000000029171e+00
7.490000000000000000e+02 1.251000000000000000e+03 1.598721023181454814e+00 1.413630000000029030e+00
7.590000000000000000e+02 1.242000000000000000e+03 1.610305958132045134e+00 1.461213000000032292e+00
7.500000000000000000e+02 1.250000000000000000e+03 1.600000000000000089e+00 1.432500000000028972e+00
7.760000000000000000e+02 1.224000000000000000e+03 1.633986928104575131e+00 1.449828000000028760e+00
7.750000000000000000e+02 1.225000000000000000e+03 1.632653061224489832e+00 1.417325000000028590e+00
7.840000000000000000e+02 1.216000000000000000e+03 1.644736842105263053e+00 1.430016000000028153e+00
7.890000000000000000e+02 1.212000000000000000e+03 1.650165016501650150e+00 1.424100000000024790e+00
7.900000000000000000e+02 1.211000000000000000e+03 1.651527663088356634e+00 1.438062500000027777e+00
8.020000000000000000e+02 1.199000000000000000e+03 1.668056713928273593e+00 1.436402000000028156e+00
7.880000000000000000e+02 1.212000000000000000e+03 1.650165016501650150e+00 1.421070000000027367e+00
8.010000000000000000e+02 1.199000000000000000e+03 1.668056713928273593e+00 1.431006500000025605e+00
8.100000000000000000e+02 1.191000000000000000e+03 1.679261125104953845e+00 1.457784000000026170e+00
8.310000000000000000e+02 1.169000000000000000e+03 1.710863986313088114e+00 1.489890500000029316e+00
8.380000000000000000e+02 1.162000000000000000e+03 1.721170395869191072e+00 1.490846000000026983e+00
8.210000000000000000e+02 1.179000000000000000e+03 1.696352841391009392e+00 1.457833500000025095e+00
8.160000000000000000e+02 1.184000000000000000e+03 1.689189189189189255e+00 1.497760000000026404e+00
8.240000000000000000e+02 1.177000000000000000e+03 1.699235344095157085e+00 1.474781000000027209e+00
8.310000000000000000e+02 1.170000000000000000e+03 1.709401709401709324e+00 1.480635000000027457e+00
8.460000000000000000e+02 1.154000000000000000e+03 1.733102253032928974e+00 1.503662000000026699e+00
8.550000000000000000e+02 1.145000000000000000e+03 1.746724890829694399e+00 1.492507500000023857e+00
8.330000000000000000e+02 1.167000000000000000e+03 1.713796058269065892e+00 1.455832500000024954e+00
8.370000000000000000e+02 1.163000000000000000e+03 1.719690455717970856e+00 1.461891000000025587e+00
8.350000000000000000e+02 1.165000000000000000e+03 1.716738197424892753e+00 1.446930000000025140e+00
8.380000000000000000e+02 1.162000000000000000e+03 1.721170395869191072e+00 1.446690000000024678e+00
8.400000000000000000e+02 1.161000000000000000e+03 1.722652885443583193e+00 1.464601500000024981e+00
