step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.37583	26255	0	6453.59	4044.72	0	15509	12.093	10232.1	0.0065	13	0
2000	2	4.33805	26028.3	16.3995	5415.08	4854.92	0	15420.8	230.831	9883.71	0.0165	33	0.393939
3000	3	4.43808	26681.7	111.502	8651.88	4547.25	15.1361	15472.2	689.376	9198.96	0.0275	55	0.6
4000	4	4.60698	27828.5	142.67	22488.5	4417.4	37.0495	15842.4	10397	9264.98	0.0345	69	0.797101
5000	5	4.56733	27746.5	164.017	7935.59	4578.58	32.3206	15862.9	136.96	9508.72	0.043	86	0.802326
6000	6	4.41487	26913	182.121	6218.6	4696.11	41.4362	16415.3	380.28	8948.68	0.0525	105	0.819048
7000	7	4.55328	27859.2	264.268	11000.6	4463.33	89.761	16450.9	9617.5	9217.51	0.062	124	0.846774
8000	8	4.46093	27441.4	282.362	5966.9	4724.79	91.9542	16861.1	814.774	9172.1	0.071	142	0.873239
9000	9	4.62651	28591.8	275.956	6018.59	4556.68	87.3018	17080	208.086	8818.84	0.0795	159	0.893082
10000	10	4.61752	28661	298.757	14652.5	4435.59	133.124	17025	391.88	8688.49	0.0915	183	0.868852
11000	11	4.46542	27830.8	396.843	62619.9	4724.44	166.786	16820.7	420.831	8744.97	0.1	200	0.915
12000	12	4.48187	28087.9	426.768	46220.1	4675.16	149.231	17352.3	152.059	8584.68	0.1075	215	0.930233
13000	13	4.4878	28246.2	424.805	10920.5	4420.5	166.921	17259.8	224.239	8474.63	0.115	230	0.934783
14000	14	4.46765	28219.9	515.535	7083.89	4602.6	163.805	17523.2	260.214	8260.54	0.1195	239	0.958159
15000	15	4.47346	28364	581.093	49098	4365.01	224.383	17056.7	291.735	8160.66	0.1325	265	0.901887
16000	16	4.48807	28517.2	567.833	68850.8	4939.42	295.318	17559.9	323.539	8643.04	0.139	278	0.953237
17000	17	4.49351	28700	620.644	26821.7	4582.62	292.787	17761.4	274.411	8265.75	0.1495	299	0.929766
18000	18	4.55522	29189.9	620.589	66467	4635.31	321.466	17674.8	256.736	7898.09	0.1565	313	0.948882
19000	19	4.47333	28765.7	701.341	100059	4760.67	379.69	17690.4	203.369	7959.23	0.1655	331	0.945619
20000	20	4.58137	29577.3	792.999	50250.5	4466.17	372.805	18281.8	429.832	7981.39	0.172	344	0.959302
21000	21	4.57	29647.9	660.016	18415.3	4702.17	424.623	17973.5	173.926	7927.72	0.1765	353	0.974504
22000	22	4.50325	29309.4	844.319	44377.7	4415.85	453.34	18127.1	210.489	7976.93	0.183	366	0.964481
23000	23	4.53945	29606.3	848.004	10953.3	4786.37	530.48	18513	5457.26	7605.08	0.192	384	0.953125
24000	24	4.60076	30082	799.282	36392.6	4679.06	547.211	18277.3	483.829	7349.61	0.198	396	0.964646
25000	25	4.6142	30294.5	885.036	73662	4572.8	587.297	18443.9	338.881	7580.15	0.2045	409	0.963325
26000	26	4.55688	30007.1	1077.47	27889.5	4819.8	593.426	18766.8	177.394	7215.2	0.2105	421	0.971496
27000	27	4.56725	30164.4	902.73	108581	5086.37	610.603	18601.4	7911.21	7397.85	0.2165	433	0.972286
28000	28	4.62043	30578	982.888	57937.9	4760.79	618.959	18439.5	441.98	7260.07	0.221	442	0.977376
29000	29	4.51897	30008.2	1032.54	28955.1	4657.74	660.577	18510	610.2	7114.85	0.2275	455	0.971429
30000	30	4.61559	30719.1	1100.03	113702	4947.15	752.05	18465.6	251.126	7179.23	0.2365	473	0.961945
31000	31	4.66839	31147.5	1215.2	61209.9	4668.82	778.254	17912	200.334	7255.28	0.2455	491	0.96334
32000	32	4.53587	30392.6	1255.52	62762.9	4756.67	852.488	18434.6	231.495	7112.81	0.2545	509	0.964637
33000	33	4.60439	30955.3	1122.53	7817.65	4388.11	881.452	18170.6	240.899	6996.77	0.26	520	0.978846
34000	34	4.62917	31253.8	1244.87	98958.9	4851	970.045	18448.6	109.631	6968.07	0.268	536	0.968284
35000	35	4.55237	30803.6	1315.65	96588.1	4614.88	997.162	18147.3	273.989	7060.46	0.2735	547	0.976234
36000	36	4.47694	30387.2	1192.62	6649.95	4503.32	1039.05	18676.2	112.626	7014.67	0.275	550	0.994545
37000	37	4.64654	31629	1207.38	66939.4	4833.73	1034.52	18584.4	46.1627	7086.52	0.2805	561	0.980392
