step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.39222	26353.3	0	14706.7	4351.05	0	16054.4	1403.92	8542.45	0.084	168	0
2000	2	4.31193	25871.6	368.083	35382.5	4728.38	289.811	16224.9	2717.29	7880.01	0.146	292	0.575342
3000	3	4.5097	28032.3	608.832	70651.8	4827.73	492.382	17560.3	5697.63	7555.43	0.2085	417	0.70024
4000	4	4.54352	28965	956.439	90790.5	4732.9	872.212	18374	5092.22	7335.98	0.263	526	0.792776
5000	5	4.59908	30091.8	1229.18	113989	4861.2	1114.93	18856.4	16282.3	7292.37	0.311	622	0.845659
6000	6	4.63792	31118.2	1322.08	295637	4876.6	1367.79	19487.6	2841.57	7117.61	0.3595	719	0.86509
7000	7	4.50173	30893.1	1736.56	379909	5232.99	1873.31	20411.4	6079.3	6871.59	0.4055	811	0.88656
8000	8	4.58174	32081.4	1849.5	397674	5067	2076.67	20196.6	3756.83	6782.94	0.443	886	0.913093
9000	9	4.52556	32326.1	2017.64	275084	5190.27	2293.14	20585.4	7113.34	6579.64	0.462	924	0.950216
10000	10	4.61966	33476.3	2177.07	313230	4600.77	2448.92	20866.9	4153.02	6652.2	0.4855	971	0.946447
11000	11	4.59568	33667.9	2191.89	358725	4924.95	2752.67	20759.6	742.048	6345.78	0.509	1018	0.950884
12000	12	4.56074	33754.1	2195.7	375206	5286.25	2927.18	21187.1	1496.23	6504.79	0.534	1068	0.947566
13000	13	4.5356	33908.1	2623.55	376250	5018.77	3132.8	21109.4	1161.76	6601.68	0.5525	1105	0.961991
14000	14	4.5116	34046.8	2496.24	334855	4875.82	3333.97	21314.4	1088.9	6452.35	0.57	1140	0.966667
15000	15	4.56852	34798.4	2745.82	352224	4970.4	3728.99	21156.5	2554.17	6224.59	0.5865	1173	0.968457
16000	16	4.51064	34540.3	2716.95	197218	4741.08	3783.36	21006.9	1581.87	5995.88	0.603	1206	0.96932
17000	17	4.59824	35486.9	2652.91	384168	4975.71	3936.19	20824	670.29	6358.32	0.6175	1235	0.974089
18000	18	4.53538	35219.5	2695.23	116116	5173.18	3768.97	20788	2365.79	5946.05	0.6215	1243	0.985519
19000	19	4.5397	35443.7	2951.05	488550	4875.56	3994.6	20658.5	349.829	6202.83	0.6335	1267	0.976322
20000	20	4.5033	35267.6	2636.63	194279	4572.87	3980.05	20773.4	11214	5928.91	0.645	1290	0.978295
21000	21	4.64458	36499.4	2948.12	401176	4967.69	4354.59	20478.8	392.221	6059.98	0.653	1306	0.982389
22000	22	4.51885	35640.2	2796.31	392357	4799.77	4236.41	20897.9	6042.66	6013.13	0.661	1322	0.981089
23000	23	4.63296	36665.3	2959.45	335054	4911.92	4347.21	21301.6	366.197	6037.1	0.668	1336	0.987275
24000	24	4.54176	36100.2	2870.26	345213	4874.5	4276.19	20827.7	443.128	6068.05	0.673	1346	0.985884
25000	25	4.52326	36034.5	3107.54	400051	4787.65	4345.7	20815.8	140.45	6022.24	0.68	1360	0.986765
26000	26	4.51807	36067.7	2965.91	305229	4758.23	4429.15	20819.8	2840.05	6113.25	0.686	1372	0.985423
27000	27	4.56814	36563.4	3267.33	370848	4775.12	4291.07	20912.4	2293.09	5669.52	0.693	1386	0.986291
28000	28	4.59537	36850.3	3398.83	376828	4495.27	4566.66	20783.3	545.364	5956.88	0.6985	1397	0.984968
29000	29	4.50122	36223.6	3262.73	382956	4684.42	4848.9	20677.3	114.793	5820.8	0.7065	1413	0.986553
30000	30	4.49339	36227.9	3102.55	211120	4965.19	4747.64	21204	131.204	5772.35	0.7085	1417	0.99012
31000	31	4.55979	36818.1	3139.44	416112	4599.51	4882.2	20807.2	460.405	5968.82	0.7115	1423	0.990162
32000	32	4.61652	37310.7	3199.52	119745	4969.27	4735.96	20538.3	1489.02	5777.69	0.713	1426	0.990884
33000	33	4.53404	36691.7	3125.72	455658	4712	4968.14	21207.2	249.848	5632.56	0.7165	1433	0.987439
34000	34	4.46741	36199.4	3173.63	172188	4847.28	4973.98	20713.8	250.169	5954.09	0.7225	1445	0.988235
35000	35	4.41755	35835.2	3246.49	292580	4729.11	5034.34	20588.1	1214.28	6223.41	0.727	1454	0.988996
36000	36	4.49514	36538.8	3150.06	404527	4656.13	5013.74	21273.2	292.673	5854.43	0.735	1470	0.985034
37000	37	4.51987	36794	3310.4	165373	4707.17	5065.9	21039.8	4389.76	5674.24	0.736	1472	0.993886
38000	38	4.56956	37260.2	3230.05	197981	4564.21	5128.25	20513.4	244.37	5954.68	0.7365	1473	0.991853
39000	39	4.49425	36713.5	3317.68	110653	4597.16	5081.35	21187.1	554.931	5857.21	0.7375	1475	0.993898
40000	40	4.48043	36620.8	3580.63	146988	4961.59	5056.53	20576.9	120.249	5964.1	0.739	1478	0.991881
41000	41	4.50266	36809.3	3087.68	245514	4695.37	5146.99	20528.7	209.869	5855.27	0.7425	1485	0.990572
42000	42	4.55081	37196	3507.75	448825	4993.03	5176.65	20391.7	401.881	6021.52	0.7435	1487	0.988568
43000	43	4.48382	36648.5	3288.77	559060	4821.26	5342.39	20694.6	4022.71	5968.18	0.7465	1493	0.987274
44000	44	4.52189	36966.4	3377.86	222274	4730.18	4992.74	21039.8	240.428	5786.29	0.7445	1489	0.992612
45000	45	4.46248	36587.9	3492.74	124752	4614.42	5320.34	20791.1	47.1405	5650.68	0.7485	1497	0.990648
46000	46	4.4564	36524.7	3591.48	207731	4587.79	5227.78	21208.7	388.961	5936.73	0.7485	1497	0.993988
47000	47	4.46464	36639	3203.73	86910.2	4653.86	5250.01	20839.2	177.087	6136.18	0.7515	1503	0.992016
48000	48	4.56061	37433.5	3265.14	281251	4450.18	5434.64	20955.9	200.124	5760.48	0.7545	1509	0.991385
49000	49	4.60137	37830.2	3339.28	353776	4736.3	5763.28	20856.7	137.44	5688.61	0.76	1520	0.989474
50000	50	4.61088	37943	3412.21	266710	4644.01	5594.51	20936.8	298.662	5688.93	0.763	1526	0.990826
51000	51	4.56978	37652.7	3324.91	286564	4401.52	5495.99	20927.2	479.191	5792.82	0.7655	1531	0.990202
52000	52	4.47823	36932	3493.69	274455	4977.64	5447.98	20698.7	93.8079	5858.51	0.767	1534	0.990222
53000	53	4.4852	37023.1	3600.15	249083	4947.59	5480.44	20648.6	1820.12	5933.65	0.768	1536	0.992839
54000	54	4.49877	37155.3	3603.61	45290.1	4916.65	5485.32	20574	3712.05	6020.67	0.768	1536	0.994141
55000	55	4.55117	37595	3583.53	502791	4663.78	5450.35	20802.6	108.984	5853.93	0.774	1548	0.98708
56000	56	4.50455	37243.6	3602.56	202944	4503.81	5383.89	21308.4	197.036	6037.68	0.7745	1549	0.993544
57000	57	4.47625	37056.7	3561.96	275326	4796.55	5560.23	21191.2	90.6328	6172.54	0.777	1554	0.989704
58000	58	4.54528	37594	3486.89	295634	4772.5	5531.44	20858.4	114.96	5941.85	0.777	1554	0.989704
59000	59	4.43575	36748	3813.91	114463	4682.82	5555.08	20792.6	129.246	5759.68	0.779	1558	0.992298
60000	60	4.4815	37167.3	3732.12	237059	4592.06	5640.57	20303	82.411	5666.57	0.781	1562	0.992318
61000	61	4.47976	37193.2	3661.32	227076	4596.67	5557.07	20610.1	510.575	5763.31	0.7835	1567	0.991704
62000	62	4.49026	37307.3	3173.04	136677	4601.9	5535.4	21120.1	116.063	5733.64	0.785	1570	0.992357
63000	63	4.4955	37411.6	3529.89	104774	4526.32	5671.1	20829.9	699.99	5709.13	0.7875	1575	0.994921
64000	64	4.46034	37139	3639.46	197379	4620.43	5746.58	20722.7	188.792	5777.33	0.7895	1579	0.991767
65000	65	4.50712	37467.7	3578.49	293138	4658.34	5673.44	20511.6	134.211	5864.73	0.787	1574	0.994282
66000	66	4.55797	37952	3569.81	244499	4738.19	5704.07	20997.7	531.988	6369.25	0.789	1578	0.993029
67000	67	4.49332	37433.8	3647.62	39093.6	4662.24	5741.84	20648.4	55.5533	6031.07	0.789	1578	0.996198
68000	68	4.5175	37642.1	3552.83	44833.6	4667.98	5558.5	20691.8	144.087	5834.17	0.788	1576	0.994289
69000	69	4.49154	37392	3098.49	305743	4586.63	5636.24	20594.7	2779.99	5908.13	0.79	1580	0.990506
70000	70	4.52839	37678.5	3457.07	266894	4659.68	5754.52	20810	136.754	6072.18	0.791	1582	0.99115
71000	71	4.45987	37101.7	3545.88	89592.4	4736.46	5807.16	21161.4	497.743	6220.2	0.7865	1573	0.996821
72000	72	4.54656	37843.3	3495.36	284990	4727.3	5592.11	20666.7	137.54	5819.23	0.7855	1571	0.992362
73000	73	4.47519	37175.4	3522.34	247787	4591.86	5635.95	20811	283.607	5754.47	0.784	1568	0.991709
74000	74	4.45813	37040.4	3579.44	216650	4727.57	5720.87	20655.6	91.5082	5795.65	0.788	1576	0.987944
75000	75	4.47944	37237.6	3562.84	269825	4999.02	5675.19	20718.5	2146.41	5790.43	0.79	1580	0.991772
76000	76	4.45209	37010.2	3472.48	214041	4975.25	5724.96	20849.1	2265.24	5929.78	0.7885	1577	0.994293
77000	77	4.56084	37955.3	3637.61	199312	4620.8	5746.84	20766.1	209.585	5939.85	0.7895	1579	0.9924
78000	78	4.52135	37626.6	3675.77	113918	4587.16	5608.77	20754.9	132.684	6084.35	0.787	1574	0.996188
79000	79	4.49704	37444.6	3358.85	372468	4646.23	5800.89	20918.6	65.7691	6070.98	0.79	1580	0.989873
80000	80	4.53133	37723.3	3659.93	126862	4782.36	5652.74	20376.9	133.776	6121.88	0.7895	1579	0.994934
81000	81	4.56404	38036.7	3490.2	131021	4678.46	5582.5	20586.7	949.008	5959.9	0.7905	1581	0.99241
82000	82	4.5761	38116.6	3527.32	191108	4880.95	5619.22	20698.5	139.698	6019.72	0.7935	1587	0.989918
83000	83	4.41186	36715.5	3354.14	203993	4664.66	5615.95	21018.8	240.324	5976.8	0.79	1580	0.993671
84000	84	4.45237	37106.1	3742.06	227332	4779.36	5642.99	20737.5	50.0623	6721.22	0.7935	1587	0.991178
85000	85	4.47224	37244.8	3651.75	203163	4796.29	5910.64	21096.4	2352.19	6198.18	0.7925	1585	0.991798
86000	86	4.56255	38010.6	3691.16	151195	4545.92	5996.76	21059.2	141.105	5964.83	0.7965	1593	0.989956
87000	87	4.49556	37472.8	3518.84	205120	4605.11	5846.34	20804.7	1090.1	5979.17	0.7975	1595	0.993103
88000	88	4.47821	37395.3	3482.57	281509	4562.03	5658.63	21230.4	2197.01	5731.44	0.798	1596	0.993108
89000	89	4.57505	38149.1	3566.2	162016	4705	5748.38	21568.4	66.6817	6061.55	0.793	1586	0.994956
90000	90	4.48808	37450.8	3549.58	85322.5	4704.81	5649.37	20783.1	108.327	5974.07	0.796	1592	0.992462
91000	91	4.47767	37357.2	3579.36	145965	4634.13	5799.95	21167	185.479	5947.52	0.7965	1593	0.993095
92000	92	4.53201	37824.1	3628.09	91996.6	4806.78	5684.6	20879.3	151.623	6113.34	0.794	1588	0.996851
93000	93	4.53017	37842.8	3417.79	203816	4620.13	5482.54	21099	60.986	6019.77	0.7955	1591	0.993086
94000	94	4.43448	37010.1	3651.36	261709	4806.35	5584.86	21022.7	121.394	5855.78	0.7945	1589	0.993707
95000	95	4.50535	37567.8	3498.21	154122	4573.2	5613.79	21032.1	133.669	5952.7	0.793	1586	0.993695
96000	96	4.4951	37522.8	3719.36	23699	4716.28	5441.14	21028.8	89.4118	6261.85	0.793	1586	0.996217
97000	97	4.55044	37978	3547.92	155735	4761.74	5504.18	20794.4	494.69	6026.1	0.792	1584	0.993056
98000	98	4.47632	37345.9	3540.47	114518	4448.45	5693.89	21137.1	47.9425	5919.71	0.792	1584	0.993687
99000	99	4.53439	37810	3751.87	179182	4412.01	5681.43	21239.3	55.7236	5883.6	0.7925	1585	0.991798
100000	100	4.47917	37383.2	3557.25	215836	4597.95	5715.96	21177.7	180.36	5964.15	0.7985	1597	0.988729
101000	101	4.5898	38334	3719.14	27130.9	4739.11	5657.38	21105.1	624.955	5982.01	0.7995	1599	0.996248
102000	102	4.438	37099.5	3441.78	139852	4717.71	5707.03	21268.2	52.3384	5694.15	0.7985	1597	0.993112
103000	103	4.48222	37428.8	3587.2	105845	4671.21	5710.76	21114.9	467.993	5885.31	0.798	1596	0.991855
104000	104	4.48532	37441.2	3536.18	147563	4701.76	5898.26	21176.3	50.7359	5793.51	0.7965	1593	0.99435
105000	105	4.46332	37271	3676.74	247860	4633.46	5784.5	20926.4	742.982	5760.77	0.799	1598	0.990613
106000	106	4.50551	37589.5	3586.13	120190	4632.55	5906.29	21059.8	14259.7	6088.72	0.7985	1597	0.99186
107000	107	4.4623	37242.3	3594.4	151200	4796.13	5823.45	21168.6	116.907	5812.56	0.7995	1599	0.99187
108000	108	4.48326	37464.4	3637.58	143483	4566.23	5771.83	20694.3	275.706	6134.87	0.8015	1603	0.992514
109000	109	4.67226	39036.7	3387.23	179818	4719.44	5919.13	20762	3140.05	5923.43	0.803	1606	0.99066
110000	110	4.56024	38107.7	3525.55	188646	4557.11	5785.34	20772.2	129.562	6217.37	0.8015	1603	0.993138
111000	111	4.51035	37670.5	3810.67	117843	4776.12	5880.55	21341.9	131.376	6058.88	0.802	1604	0.990025
112000	112	4.52358	37794.5	3584.59	138030	4690.19	5743.53	20930.9	153.315	5930.62	0.803	1606	0.992528
113000	113	4.58369	38324.2	3495.26	230973	4829.07	5692.33	20732.9	927.919	5799.46	0.806	1612	0.991935
