# cr len_gsub, pn, pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
1.770000000000000000e+02 1.823000000000000000e+03 1.097092704333516133e+00 1.081038999999942796e+00
3.210000000000000000e+02 1.679000000000000000e+03 1.191185229303156623e+00 1.155151999999948664e+00
4.490000000000000000e+02 1.551000000000000000e+03 1.289490651192778836e+00 1.226065499999956065e+00
5.090000000000000000e+02 1.491000000000000000e+03 1.341381623071763896e+00 1.273313999999959201e+00
5.470000000000000000e+02 1.453000000000000000e+03 1.376462491397109522e+00 1.298981999999961001e+00
5.740000000000000000e+02 1.426000000000000000e+03 1.402524544179523103e+00 1.334735999999961065e+00
5.920000000000000000e+02 1.408000000000000000e+03 1.420454545454545414e+00 1.293951999999963354e+00
6.180000000000000000e+02 1.382000000000000000e+03 1.447178002894355942e+00 1.335702999999965002e+00
6.330000000000000000e+02 1.367000000000000000e+03 1.463057790782736012e+00 1.350595999999965047e+00
6.410000000000000000e+02 1.360000000000000000e+03 1.470588235294117752e+00 1.363399999999966639e+00
6.500000000000000000e+02 1.350000000000000000e+03 1.481481481481481399e+00 1.370924999999975080e+00
6.660000000000000000e+02 1.334000000000000000e+03 1.499250374812593600e+00 1.353342999999975538e+00
6.650000000000000000e+02 1.335000000000000000e+03 1.498127340823970144e+00 1.342342499999970018e+00
6.690000000000000000e+02 1.331000000000000000e+03 1.502629601803155523e+00 1.360281999999980229e+00
6.800000000000000000e+02 1.320000000000000000e+03 1.515151515151515138e+00 1.392599999999999616e+00
6.770000000000000000e+02 1.323000000000000000e+03 1.511715797430083219e+00 1.373935499999989540e+00
6.680000000000000000e+02 1.332000000000000000e+03 1.501501501501501412e+00 1.348649999999973925e+00
6.830000000000000000e+02 1.317000000000000000e+03 1.518602885345482267e+00 1.350583499999982839e+00
6.820000000000000000e+02 1.318000000000000000e+03 1.517450682852807375e+00 1.352926999999983781e+00
6.910000000000000000e+02 1.309000000000000000e+03 1.527883880825057217e+00 1.398666500000008028e+00
7.070000000000000000e+02 1.293000000000000000e+03 1.546790409899458707e+00 1.407430500000019125e+00
7.170000000000000000e+02 1.283000000000000000e+03 1.558846453624318062e+00 1.376017500000011440e+00
