step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
52000	52	4.45443	36755.7	3379.88	76395.7	4786.25	5285.85	21009.8	179.706	5755.83	0.7685	1537	0.98959
53000	53	4.54281	37491.9	3495.7	278778	4538.27	5272.79	20407.9	120.909	5349.54	0.7685	1537	0.992843
54000	54	4.61951	38131.8	3345.18	279163	4641.63	5343.56	20830.8	420.498	5489.87	0.7695	1539	0.990903
55000	55	4.42201	36541.3	3644.27	215497	4813.86	5478.54	21107.8	180.675	5387.91	0.7715	1543	0.992871
56000	56	4.45827	36887.7	3379.03	134223	4820.62	5407.54	21052.3	1271.59	5264.02	0.773	1546	0.993532
57000	57	4.39434	36365.4	3453.93	202182	4457.79	5221.6	21268.7	396.04	5355.65	0.775	1550	0.991613
58000	58	4.4373	36727.6	3432.31	175263	4666.96	5361.24	20741.9	92.9086	5525.17	0.775	1550	0.992903
59000	59	4.49446	37254.6	3664.86	114341	4857.14	5250.51	21121.9	253.187	5510.8	0.778	1556	0.992288
60000	60	4.52329	37527.5	3234.37	269709	4745.28	5403.9	20412.4	166.481	5679.12	0.78	1560	0.991667
61000	61	4.4969	37308.5	3361.96	392760	4919.63	5463.37	20810.2	142.751	5665.6	0.779	1558	0.99294
62000	62	4.50806	37421.4	3687.49	166880	4633.93	5481.28	21250.3	174.528	5770.22	0.781	1562	0.992318
63000	63	4.4516	36939.4	3641.43	230603	4855.77	5498.93	21245.6	775.191	5781.39	0.7825	1565	0.991054
64000	64	4.47798	37178.4	3667.24	96340.5	4584.55	5467.14	21078.3	74.8385	5777.5	0.783	1566	0.994891
65000	65	4.48529	37259.3	3570.74	132302	4566.69	5436.02	20654.5	319.079	5803.56	0.783	1566	0.991699
66000	66	4.46168	37069.9	3539.9	147379	4916.98	5442.12	20512.6	35430.3	5853.89	0.786	1572	0.992366
67000	67	4.53193	37653.6	3606.17	190440	4430.86	5449.01	20619.4	197.821	5866.64	0.7855	1571	0.992998
68000	68	4.35727	36241.6	3652.16	318049	4550.38	5449.42	21351.2	108.658	5767.05	0.7875	1575	0.991111
69000	69	4.46052	37093.7	3674.94	168901	4462.91	5368.83	21308.7	1733.05	5821.81	0.7865	1573	0.994278
70000	70	4.47981	37287.7	3558.72	145186	4669.2	5505.2	20830.2	863.599	5894.56	0.7865	1573	0.994278
71000	71	4.56227	37967.2	3540.66	154809	4543.12	5436.87	20895.7	122.079	5721.61	0.7835	1567	0.996809
72000	72	4.49232	37391.8	3451.71	138337	4363.34	5401.51	20785.6	110.574	5880.85	0.786	1572	0.992366
73000	73	4.53881	37744.7	3635.88	134260	4639.05	5468.65	20598.8	160.216	5647.7	0.784	1568	0.996173
74000	74	4.43245	36900.1	3428.39	175128	4945.17	5319.59	21160.2	309.354	5889.71	0.786	1572	0.99173
75000	75	4.52166	37636.1	3586.69	148470	4653.13	5407.35	21221.4	56.638	5874.12	0.787	1574	0.993011
76000	76	4.44909	37058.7	3468.76	74596	4500.03	5446.36	21320.5	129.695	5660	0.7885	1577	0.994927
77000	77	4.47966	37320	3600.44	95408.4	4889.64	5660.67	21263.5	633.816	5924.3	0.788	1576	0.995558
78000	78	4.47257	37247.6	3251.6	133010	4704.17	5431.65	20837.3	66.3054	5814.79	0.7845	1569	0.996176
79000	79	4.5356	37765.7	3551.38	161448	4902.58	5380.49	21267.1	73.0884	5689.74	0.786	1572	0.993639
80000	80	4.58587	38149.9	3635.5	199070	4815.72	5388.71	20763.7	52.8207	5590.85	0.7845	1569	0.994264
81000	81	4.51108	37534.5	3472.82	108379	4705.97	5358.29	21017.4	139.078	6092.18	0.7885	1577	0.991122
82000	82	4.49447	37389.5	3367.45	43989.3	4655.64	5379.58	20905.5	92.8592	5909.26	0.7875	1575	0.995556
83000	83	4.49572	37406.7	3365.28	180397	4849.98	5559.33	21043.4	336.834	6087.18	0.7875	1575	0.993651
84000	84	4.5311	37687.4	3501.84	249552	4713.92	5472.7	20769.2	79821.8	5924.19	0.788	1576	0.992386
85000	85	4.57675	38053.4	3450.01	157311	4737.99	5386.43	20964.9	70.4146	6001.13	0.786	1572	0.994275
86000	86	4.52721	37668.6	3737.29	286821	4578.39	5409.3	20947.1	502.638	6732.54	0.7875	1575	0.990476
87000	87	4.56784	38013.5	3624.91	176122	4584.05	5445.05	21294.9	120.391	6365.33	0.787	1574	0.994282
88000	88	4.49713	37398.2	3492.58	203646	4521.17	5567.52	21081.8	92.9903	6410.43	0.7875	1575	0.990476
89000	89	4.53605	37728.6	3515.36	204455	4632.53	5236.94	21176.3	353.229	6236.01	0.787	1574	0.995553
90000	90	4.4751	37255.2	3361.49	213205	4742.21	5555.18	20950.5	173.768	6141.72	0.791	1582	0.989254
91000	91	4.43233	36899.2	3430.54	186679	4768.44	5477.84	20562.9	4607.15	6161.12	0.792	1584	0.993056
92000	92	4.54546	37888.7	3457.83	157013	4856.39	5343.54	21081.5	167.459	6149.63	0.7955	1591	0.991201
93000	93	4.50845	37566.6	3400.52	173861	4674.82	5592.39	21029.7	873.171	6082.59	0.7965	1593	0.990584
94000	94	4.48294	37421.4	3608.83	229403	4753.31	5572.78	21221.2	112.946	6045.08	0.7995	1599	0.99187
95000	95	4.52897	37819.2	4010.29	204433	4476.97	5568.75	21207.7	43.7085	6112.7	0.7965	1593	0.996861
96000	96	4.47321	37373.7	3610.75	65296.4	4602.88	5426.73	20685.2	57.7631	6917.53	0.7965	1593	0.99435
97000	97	4.39506	36694.4	3831.44	163196	4635.7	5640.42	20923.7	183.307	6130.15	0.796	1592	0.99309
98000	98	4.47094	37301.1	3427.26	135848	4552.35	5571.47	21117.8	609.199	5982.75	0.7955	1591	0.993086
99000	99	4.48145	37395.5	3470.84	129724	4729.1	5325.48	20830.1	267.545	5931.69	0.796	1592	0.99309
100000	100	4.49119	37530.6	3529.54	106984	4467.54	5674.52	21076.2	640.381	5924.41	0.8	1600	0.9925
101000	101	4.5363	37907.6	3649.59	105163	4810.3	5578.37	21163.5	155.205	6053.11	0.8045	1609	0.988813
102000	102	4.55017	38043.9	3520.94	51437.5	4761.3	5750.55	20916.7	133.668	6257.72	0.8055	1611	0.993172
103000	103	4.53999	38006.5	3624.63	270310	4781.7	5516.5	21450.9	95.0178	6156.84	0.806	1612	0.992556
104000	104	4.45072	37259.2	3529.38	237980	4606.41	5424.96	21197.8	1546.74	6270.79	0.809	1618	0.990729
105000	105	4.4616	37343.6	3635.51	173596	4417.93	5426.86	20826.4	267.901	6244.94	0.8065	1613	0.99566
106000	106	4.46488	37404.6	3734.91	85904	4664.59	5534.89	20937.4	70.5932	6344.21	0.8055	1611	0.995034
107000	107	4.45029	37262.3	3633.11	123855	4735.95	5627.84	21104.4	56.0088	5984.28	0.807	1614	0.991326
108000	108	4.3751	36632.7	3369.19	52210.6	4751.12	5682.22	20715.5	148.653	5816.98	0.8075	1615	0.995046
109000	109	4.51027	37764.5	3547.38	146176	4873.29	5584.82	21341.6	128.048	6022.94	0.805	1610	0.99441
110000	110	4.51238	37795.7	3437.03	121121	4733.55	5788.94	21305.8	955.018	6267.58	0.806	1612	0.993797
111000	111	4.41257	36979.5	3781.65	75768.7	4737.9	5674.3	20847.5	940.034	6343.88	0.8075	1615	0.994427
112000	112	4.55846	38236.4	3513.99	114980	4650.07	5699.32	20941.9	117.016	6187.72	0.809	1618	0.992583
113000	113	4.57473	38338.5	3569.86	208549	4626.18	5562.87	21423.5	91.1899	6078.21	0.81	1620	0.990741
114000	114	4.49549	37708.1	3760.62	98727.5	4876.12	5762.69	21379.5	369.109	6335.27	0.8145	1629	0.991406
115000	115	4.47799	37568.1	3752.51	138738	4624.02	5701.76	21148	206.182	6106.35	0.813	1626	0.99385
116000	116	4.4452	37346.4	3528.07	117745	4660.57	5658.68	21143.4	119.662	6087.15	0.814	1628	0.993857
117000	117	4.50137	37831.7	3890.84	234687	4770.42	5608.82	20874	488.052	6109.06	0.8145	1629	0.994475
118000	118	4.44773	37361	3720.15	223818	4808.73	5674.47	20507.8	113.342	6001.07	0.811	1622	0.995684
119000	119	4.49778	37788.1	3623.24	197887	4640.09	5435.81	21296.7	86.4141	6156.85	0.815	1630	0.989571
120000	120	4.51483	37917.8	3713.74	375990	4582.93	5656.85	21322.4	2080.81	5808.52	0.818	1636	0.991443
121000	121	4.52441	37998.2	3549.78	339478	4786.92	5659.97	21636.7	284.682	6070.19	0.823	1646	0.986634
122000	122	4.54189	38158.7	3645.35	147210	4670.58	5681.18	21101.3	306.218	6167.91	0.8205	1641	0.996953
123000	123	4.4921	37794.3	3611.44	94350.1	4559.9	5763.15	20967	8790.65	6260.81	0.816	1632	0.995711
124000	124	4.50644	37901.4	3716.51	185923	4469.11	5800.9	21305.7	84.2282	6351.87	0.8175	1635	0.992661
125000	125	4.58872	38600.4	3460.7	119106	4464.59	5841.86	21280.8	70.0431	6002.03	0.8195	1639	0.990848
126000	126	4.43427	37321	3586.26	197148	4726.04	5827.61	21486.6	175.794	6162.96	0.8205	1641	0.993906
127000	127	4.48405	37793.8	3681.34	142572	4540.91	5729.21	21002.2	52.4779	6302.24	0.821	1642	0.99391
128000	128	4.52522	38100.1	3936.38	205236	4651.35	5774.19	20888	68.4389	6094.56	0.8205	1641	0.99025
129000	129	4.5229	38080.6	3613.02	179151	4580.26	5832.19	20964.3	1502.94	6284.39	0.821	1642	0.99391
130000	130	4.57205	38508.1	3703.7	136439	5007.43	5835.85	20977.7	86.5063	6362.14	0.819	1638	0.994505
131000	131	4.42679	37304.6	3827.62	128522	4866.55	5832.11	21033.9	1319.76	6288.41	0.821	1642	0.99391
132000	132	4.57427	38540.5	3709.83	179663	4478.26	5611.77	20995	280.789	6171.19	0.821	1642	0.992692
133000	133	4.42226	37233.2	3524.01	129305	4614.69	5603.46	20837.4	176.914	6318.3	0.8185	1637	0.993891
134000	134	4.55737	38411.8	3694.9	88159.8	4517.3	5667.15	21060.9	44.8216	6385.15	0.82	1640	0.994512
135000	135	4.54841	38336.3	3713.09	81368.5	4940.04	5677.23	20979.8	361.014	5976.56	0.819	1638	0.996337
136000	136	4.45758	37550.7	3654.19	97379.5	4447.06	5559.47	20887.3	140942	5946.5	0.8165	1633	0.996938
137000	137	4.53594	38169.9	3625.26	92752.4	4720.03	5711.68	21310.7	422.513	6144.67	0.819	1638	0.990842
138000	138	4.47937	37687.2	3510.55	242916	4803.17	5765.45	20698.7	154.419	6169.61	0.822	1644	0.990876
139000	139	4.497	37869.2	3622.55	126310	4786.42	5846.99	21057.9	230.548	6234.75	0.8235	1647	0.992714
140000	140	4.52415	38104.6	3772.94	73792.4	4643.63	5768.69	21236.6	43.4004	6258.88	0.8215	1643	0.993914
