step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	2.66784	16007	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.29127	25747.6	0	18603.4	4680.05	0	16469	3080.06	9027.61	0.087	174	0
2000	2	4.4879	26927.4	446.835	47686.7	4787.19	275.714	16568.1	3200.63	7788.81	0.156	312	0.557692
3000	3	4.5292	28235	650.216	46627.4	4757.1	577.952	17994.9	7232.29	7348.44	0.214	428	0.728972
4000	4	4.50684	28873.1	1128.51	112473	5077.39	800.909	18871.7	5498.06	7191.31	0.2685	537	0.79702
5000	5	4.50193	29604.7	1168.38	250121	5276.65	1138.01	19204.8	58156.9	6867.44	0.314	628	0.851911
6000	6	4.65658	31403.9	1567.34	388661	5150.83	1668.76	20104.7	6159.13	6896.6	0.3575	715	0.876923
7000	7	4.68803	32234.9	1591.24	482802	4917.53	1897.11	20603.7	5813.86	6790.87	0.3995	799	0.893617
8000	8	4.55928	31965.1	1823.51	305882	4760.39	2235.66	20706.7	957.874	6666.72	0.432	864	0.922454
9000	9	4.52382	32279.7	1820.55	232947	4957.11	2458.85	20561.9	62859.7	6481.92	0.463	926	0.931965
10000	10	4.43809	32140.7	2112.27	469675	4710.37	2635.59	20827.1	2622.33	6633.3	0.488	976	0.945697
11000	11	4.61083	33841.2	2240.3	262880	4682.28	3154.98	20360.4	1910.72	6409.4	0.519	1038	0.94027
12000	12	4.64486	34488.1	2388.46	435126	4861.79	3177.6	20822	5725.07	6111.93	0.538	1076	0.963755
13000	13	4.60372	34590	2446.86	279910	4929.86	3470.78	20689.2	5254.43	6310.56	0.5575	1115	0.961435
14000	14	4.62373	34997	2656.26	310555	4990.59	3605.69	20646.4	3070.38	6136.23	0.573	1146	0.970332
15000	15	4.52755	34547.5	2654.26	202862	4973.36	3593.68	21233.5	3933.26	5889.46	0.5875	1175	0.972766
16000	16	4.60213	35337.4	2623.49	305989	4899.92	3878.47	20447.6	605.815	5975.11	0.6	1200	0.975
17000	17	4.61096	35536.6	2769.22	328084	4935.66	4024.45	21151.5	6531.05	5741.76	0.608	1216	0.978618
18000	18	4.57036	35415.8	2953.96	354553	4986.93	4139.95	21068.9	372.595	5871.38	0.617	1234	0.981361
19000	19	4.59472	35707.9	2826.8	439929	4782.72	3986.06	20804.3	360.096	5992.71	0.6255	1251	0.977618
20000	20	4.6442	36203.8	2737.25	404174	4876.14	4123.44	20403.6	755.384	6044.66	0.635	1270	0.979528
21000	21	4.61394	36113.3	2975.2	230782	4936.89	4117.05	20775	481.54	5766.74	0.6425	1285	0.982879
22000	22	4.57741	35985.3	2856.99	442960	4689.37	4352.14	21070	460.357	5792.04	0.654	1308	0.977829
23000	23	4.5218	35656.6	2820.21	510388	5017.88	4379.45	21693	318.495	5445.34	0.6655	1331	0.977461
24000	24	4.62223	36580.3	3097.16	229106	4735.26	4511.09	21802.1	850.581	5671.22	0.672	1344	0.987351
25000	25	4.57174	36338.5	2854.94	377935	4570.09	4637.55	20710.8	257.461	5689.04	0.682	1364	0.978739
26000	26	4.54568	36226.8	3012.39	322042	4606	4621.8	20704.8	272.003	5797.26	0.6875	1375	0.986909
27000	27	4.56097	36458.1	3064.02	193524	4895.07	4645.8	20939	501.525	5883.24	0.69	1380	0.991304
28000	28	4.53623	36355.6	3120.82	369038	4589.5	4710.14	20783.5	148.423	5854.27	0.6955	1391	0.986341
29000	29	4.4929	36075.7	3199.63	210737	4606.67	4587.63	21129.9	2084.92	5726.75	0.702	1404	0.987892
