# cr len_gsub pn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
1.900000000000000000e+01 1.981000000000000000e+03 1.009591115598182709e+00 1.009319499999943970e+00
3.900000000000000000e+01 1.961000000000000000e+03 1.019887812340642519e+00 1.018739499999943066e+00
5.900000000000000000e+01 1.941000000000000000e+03 1.030396702730551173e+00 1.029700499999942842e+00
7.500000000000000000e+01 1.925000000000000000e+03 1.038961038961038863e+00 1.038537499999942382e+00
9.400000000000000000e+01 1.906000000000000000e+03 1.049317943336831149e+00 1.048299999999942500e+00
1.080000000000000000e+02 1.892000000000000000e+03 1.057082452431289621e+00 1.055735999999942276e+00
1.260000000000000000e+02 1.874000000000000000e+03 1.067235859124866515e+00 1.065368999999942279e+00
1.410000000000000000e+02 1.859000000000000000e+03 1.075847229693383644e+00 1.072642999999942282e+00
1.580000000000000000e+02 1.842000000000000000e+03 1.085776330076004381e+00 1.080332999999942034e+00
1.700000000000000000e+02 1.830000000000000000e+03 1.092896174863388081e+00 1.087019999999941922e+00
1.810000000000000000e+02 1.819000000000000000e+03 1.099505222649807656e+00 1.093218999999942431e+00
2.000000000000000000e+02 1.800000000000000000e+03 1.111111111111111160e+00 1.108799999999941610e+00
2.110000000000000000e+02 1.789000000000000000e+03 1.117942984907769777e+00 1.119913999999941234e+00
2.250000000000000000e+02 1.775000000000000000e+03 1.126760563380281743e+00 1.128012499999941687e+00
2.400000000000000000e+02 1.760000000000000000e+03 1.136363636363636465e+00 1.138719999999942445e+00
2.550000000000000000e+02 1.745000000000000000e+03 1.146131805157593053e+00 1.149082499999943385e+00
2.660000000000000000e+02 1.734000000000000000e+03 1.153402537485582524e+00 1.154843999999943804e+00
2.750000000000000000e+02 1.725000000000000000e+03 1.159420289855072506e+00 1.159199999999944275e+00
2.950000000000000000e+02 1.705000000000000000e+03 1.173020527859237605e+00 1.168777499999945402e+00
3.100000000000000000e+02 1.690000000000000000e+03 1.183431952662721942e+00 1.182154999999946332e+00
3.230000000000000000e+02 1.677000000000000000e+03 1.192605843768634433e+00 1.185638999999947485e+00
3.400000000000000000e+02 1.660000000000000000e+03 1.204819277108433839e+00 1.204329999999947942e+00
3.530000000000000000e+02 1.647000000000000000e+03 1.214329083181542090e+00 1.211368499999948556e+00
3.730000000000000000e+02 1.627000000000000000e+03 1.229256299938537245e+00 1.219436499999949186e+00
3.900000000000000000e+02 1.610000000000000000e+03 1.242236024844720399e+00 1.230844999999950673e+00
4.020000000000000000e+02 1.598000000000000000e+03 1.251564455569461831e+00 1.239248999999951195e+00
4.160000000000000000e+02 1.584000000000000000e+03 1.262626262626262541e+00 1.247399999999952325e+00
4.260000000000000000e+02 1.574000000000000000e+03 1.270648030495552749e+00 1.252903999999952500e+00
4.430000000000000000e+02 1.557000000000000000e+03 1.284521515735388641e+00 1.267397999999953617e+00
