# cr len_gsub pn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
7.090000000000000000e+02 1.291000000000000000e+03 1.549186676994577905e+00 1.182555999999975738e+00
1.225000000000000000e+03 7.760000000000000000e+02 2.577319587628866149e+00 1.633479999999982946e+00
1.376000000000000000e+03 6.260000000000000000e+02 3.194888178913738219e+00 1.806635999999981701e+00
1.442000000000000000e+03 5.600000000000000000e+02 3.571428571428571619e+00 1.907919999999983407e+00
1.480000000000000000e+03 5.220000000000000000e+02 3.831417624521072707e+00 1.973159999999985592e+00
1.508000000000000000e+03 4.940000000000000000e+02 4.048582995951417018e+00 2.049359000000011033e+00
1.525000000000000000e+03 4.770000000000000000e+02 4.192872117400419540e+00 2.038221000000012939e+00
1.535000000000000000e+03 4.670000000000000000e+02 4.282655246252677017e+00 2.026313000000014242e+00
1.544000000000000000e+03 4.580000000000000000e+02 4.366812227074236219e+00 2.014971000000014723e+00
1.552000000000000000e+03 4.500000000000000000e+02 4.444444444444444642e+00 2.013075000000014825e+00
1.557000000000000000e+03 4.450000000000000000e+02 4.494382022471910432e+00 2.038990000000014291e+00
1.567000000000000000e+03 4.350000000000000000e+02 4.597701149425287070e+00 2.084302500000015268e+00
1.574000000000000000e+03 4.280000000000000000e+02 4.672897196261682318e+00 2.082434000000014329e+00
1.586000000000000000e+03 4.170000000000000000e+02 4.796163069544364888e+00 2.083957500000012786e+00
1.598000000000000000e+03 4.050000000000000000e+02 4.938271604938271331e+00 2.075422500000012604e+00
1.605000000000000000e+03 3.980000000000000000e+02 5.025125628140703959e+00 2.050496000000012309e+00
1.616000000000000000e+03 3.870000000000000000e+02 5.167958656330749356e+00 2.098701000000012140e+00
1.621000000000000000e+03 3.820000000000000000e+02 5.235602094240837445e+00 2.082473000000011787e+00
1.624000000000000000e+03 3.790000000000000000e+02 5.277044854881266289e+00 2.083742000000011085e+00
1.626000000000000000e+03 3.770000000000000000e+02 5.305039787798408568e+00 2.076704500000011056e+00
1.630000000000000000e+03 3.730000000000000000e+02 5.361930294906166239e+00 2.069404000000011123e+00
1.631000000000000000e+03 3.720000000000000000e+02 5.376344086021505042e+00 2.069808000000011194e+00
1.640000000000000000e+03 3.630000000000000000e+02 5.509641873278236623e+00 2.110482000000012182e+00
