# cr len_gsub pn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
1.300000000000000000e+01 1.987000000000000000e+03 1.006542526421741357e+00 1.006415499999944396e+00
2.400000000000000000e+01 1.976000000000000000e+03 1.012145748987854255e+00 1.011711999999943767e+00
3.000000000000000000e+01 1.970000000000000000e+03 1.015228426395939021e+00 1.014549999999943442e+00
3.900000000000000000e+01 1.961000000000000000e+03 1.019887812340642519e+00 1.018739499999942844e+00
5.100000000000000000e+01 1.949000000000000000e+03 1.026167265264237960e+00 1.025173999999942520e+00
5.900000000000000000e+01 1.941000000000000000e+03 1.030396702730551173e+00 1.028729999999942413e+00
7.100000000000000000e+01 1.929000000000000000e+03 1.036806635562467660e+00 1.034908499999942277e+00
7.600000000000000000e+01 1.924000000000000000e+03 1.039501039501039559e+00 1.037035999999942115e+00
8.500000000000000000e+01 1.915000000000000000e+03 1.044386422976501416e+00 1.040802499999941899e+00
8.900000000000000000e+01 1.911000000000000000e+03 1.046572475143903613e+00 1.043405999999941880e+00
9.500000000000000000e+01 1.905000000000000000e+03 1.049868766404199460e+00 1.045844999999942182e+00
1.060000000000000000e+02 1.894000000000000000e+03 1.055966209081309337e+00 1.052116999999941793e+00
1.250000000000000000e+02 1.875000000000000000e+03 1.066666666666666652e+00 1.060312499999942482e+00
1.310000000000000000e+02 1.869000000000000000e+03 1.070090957731407277e+00 1.062526499999943086e+00
1.360000000000000000e+02 1.864000000000000000e+03 1.072961373390557860e+00 1.064343999999943113e+00
1.430000000000000000e+02 1.857000000000000000e+03 1.077005923532579512e+00 1.066846499999942743e+00
1.540000000000000000e+02 1.846000000000000000e+03 1.083423618634886232e+00 1.074371999999943483e+00
1.610000000000000000e+02 1.839000000000000000e+03 1.087547580206634112e+00 1.078573499999943008e+00
1.680000000000000000e+02 1.832000000000000000e+03 1.091703056768559055e+00 1.083627999999942970e+00
1.780000000000000000e+02 1.822000000000000000e+03 1.097694840834248176e+00 1.087733999999943135e+00
1.850000000000000000e+02 1.815000000000000000e+03 1.101928374655647414e+00 1.089907499999943852e+00
1.910000000000000000e+02 1.809000000000000000e+03 1.105583195135434016e+00 1.097158499999943304e+00
2.060000000000000000e+02 1.794000000000000000e+03 1.114827201783723520e+00 1.106897999999943982e+00
2.160000000000000000e+02 1.784000000000000000e+03 1.121076233183856408e+00 1.111431999999944242e+00
2.240000000000000000e+02 1.776000000000000000e+03 1.126126126126126170e+00 1.118879999999944364e+00
2.350000000000000000e+02 1.765000000000000000e+03 1.133144475920679906e+00 1.123422499999944923e+00
2.430000000000000000e+02 1.757000000000000000e+03 1.138303927148548667e+00 1.133264999999945122e+00
2.540000000000000000e+02 1.746000000000000000e+03 1.145475372279495918e+00 1.136645999999945866e+00
2.590000000000000000e+02 1.741000000000000000e+03 1.148765077541642698e+00 1.142966499999945595e+00
