# cr len_gsub pn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
5.480000000000000000e+02 1.452000000000000000e+03 1.377410468319559156e+00 1.175393999999966743e+00
9.310000000000000000e+02 1.069000000000000000e+03 1.870907390084190824e+00 1.466133500000020851e+00
1.138000000000000000e+03 8.620000000000000000e+02 2.320185614849187949e+00 1.583925000000016681e+00
1.261000000000000000e+03 7.390000000000000000e+02 2.706359945872800932e+00 1.643166499999984431e+00
1.348000000000000000e+03 6.520000000000000000e+02 3.067484662576687171e+00 1.769853999999981609e+00
1.399000000000000000e+03 6.010000000000000000e+02 3.327787021630615794e+00 1.798492499999983174e+00
1.428000000000000000e+03 5.720000000000000000e+02 3.496503496503496677e+00 1.800655999999985601e+00
1.460000000000000000e+03 5.400000000000000000e+02 3.703703703703703720e+00 1.863269999999987547e+00
1.488000000000000000e+03 5.120000000000000000e+02 3.906250000000000000e+00 1.887487999999989396e+00
1.506000000000000000e+03 4.940000000000000000e+02 4.048582995951417018e+00 1.908321999999989194e+00
1.521000000000000000e+03 4.790000000000000000e+02 4.175365344467641293e+00 1.894444999999990165e+00
1.535000000000000000e+03 4.660000000000000000e+02 4.291845493562231439e+00 1.929240000000011168e+00
1.549000000000000000e+03 4.530000000000000000e+02 4.415011037527594162e+00 1.935669000000012963e+00
1.557000000000000000e+03 4.450000000000000000e+02 4.494382022471910432e+00 1.916392500000012378e+00
1.569000000000000000e+03 4.330000000000000000e+02 4.618937644341801096e+00 1.916458000000012207e+00
1.576000000000000000e+03 4.260000000000000000e+02 4.694835680751173967e+00 1.910397000000012335e+00
1.585000000000000000e+03 4.170000000000000000e+02 4.796163069544364888e+00 1.934463000000013366e+00
1.594000000000000000e+03 4.090000000000000000e+02 4.889975550122249714e+00 1.919232500000012998e+00
1.599000000000000000e+03 4.040000000000000000e+02 4.950495049504950451e+00 1.942432000000013259e+00
1.606000000000000000e+03 3.980000000000000000e+02 5.025125628140703959e+00 1.949603000000013298e+00
1.615000000000000000e+03 3.890000000000000000e+02 5.141388174807198119e+00 1.950251500000011795e+00
1.621000000000000000e+03 3.840000000000000000e+02 5.208333333333333037e+00 2.020608000000012172e+00
1.625000000000000000e+03 3.800000000000000000e+02 5.263157894736842479e+00 2.016280000000012063e+00
1.632000000000000000e+03 3.730000000000000000e+02 5.361930294906166239e+00 2.061198000000011632e+00
1.636000000000000000e+03 3.690000000000000000e+02 5.420054200542005596e+00 2.048872500000010977e+00
1.640000000000000000e+03 3.650000000000000000e+02 5.479452054794520244e+00 2.051300000000011003e+00
1.646000000000000000e+03 3.590000000000000000e+02 5.571030640668523937e+00 2.075379000000010521e+00
1.648000000000000000e+03 3.570000000000000000e+02 5.602240896358543054e+00 2.073277500000010765e+00
1.651000000000000000e+03 3.540000000000000000e+02 5.649717514124294127e+00 2.060280000000009881e+00
1.655000000000000000e+03 3.500000000000000000e+02 5.714285714285714413e+00 2.044175000000009845e+00
1.660000000000000000e+03 3.450000000000000000e+02 5.797101449275362306e+00 2.128650000000009701e+00
1.662000000000000000e+03 3.430000000000000000e+02 5.830903790087463179e+00 2.137919000000009895e+00
1.666000000000000000e+03 3.390000000000000000e+02 5.899705014749262233e+00 2.149260000000009718e+00
1.669000000000000000e+03 3.360000000000000000e+02 5.952380952380952550e+00 2.150904000000009919e+00
1.672000000000000000e+03 3.330000000000000000e+02 6.006006006006005649e+00 2.149015500000009737e+00
1.674000000000000000e+03 3.310000000000000000e+02 6.042296072507553184e+00 2.140080500000009600e+00
1.682000000000000000e+03 3.230000000000000000e+02 6.191950464396285270e+00 2.167976000000008785e+00
1.686000000000000000e+03 3.190000000000000000e+02 6.269592476489028066e+00 2.251342500000009128e+00
1.688000000000000000e+03 3.170000000000000000e+02 6.309148264984226984e+00 2.258625000000009209e+00
1.693000000000000000e+03 3.120000000000000000e+02 6.410256410256410575e+00 2.358564000000009653e+00
1.694000000000000000e+03 3.110000000000000000e+02 6.430868167202572039e+00 2.359401500000009921e+00
1.697000000000000000e+03 3.080000000000000000e+02 6.493506493506493449e+00 2.349424000000008395e+00
1.700000000000000000e+03 3.050000000000000000e+02 6.557377049180328044e+00 2.329437500000008043e+00
1.703000000000000000e+03 3.020000000000000000e+02 6.622516556291390799e+00 2.339141000000007686e+00
1.704000000000000000e+03 3.010000000000000000e+02 6.644518272425249172e+00 2.341027500000007588e+00
1.707000000000000000e+03 2.980000000000000000e+02 6.711409395973154446e+00 2.326635000000007558e+00
1.710000000000000000e+03 2.950000000000000000e+02 6.779661016949152241e+00 2.333302500000007385e+00
1.714000000000000000e+03 2.910000000000000000e+02 6.872852233676975509e+00 2.338766999999994489e+00
1.715000000000000000e+03 2.900000000000000000e+02 6.896551724137930606e+00 2.333629999999994986e+00
1.718000000000000000e+03 2.870000000000000000e+02 6.968641114982577989e+00 2.373059499999989885e+00
1.720000000000000000e+03 2.850000000000000000e+02 7.017543859649122417e+00 2.365784999999989591e+00
1.721000000000000000e+03 2.840000000000000000e+02 7.042253521126760951e+00 2.394403999999989097e+00
1.723000000000000000e+03 2.830000000000000000e+02 7.067137809187278741e+00 2.387246499999990057e+00
1.725000000000000000e+03 2.810000000000000000e+02 7.117437722419929003e+00 2.397351499999988977e+00
1.726000000000000000e+03 2.800000000000000000e+02 7.142857142857143238e+00 2.391339999999988919e+00
1.727000000000000000e+03 2.790000000000000000e+02 7.168458781362007315e+00 2.383357499999989138e+00
1.730000000000000000e+03 2.760000000000000000e+02 7.246376811594203105e+00 2.421761999999989534e+00
