step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
73000	73	4.45923	27972.8	7012.97	7470.47	4602.09	556.269	25260.2	805.616	0.103	206
74000	74	4.42507	27804.9	4262.37	6570.89	4420.95	538.463	25287	104.865	0.108	216
75000	75	4.3916	27673.6	3851.18	6177.15	4752.95	523.163	25700.9	112.564	0.112	224
76000	76	4.46638	28211.9	5673.32	6063.09	4444.22	519.163	25594.5	134.023	0.1175	235
77000	77	4.40567	27887.9	4164.01	6276.33	4584.27	598.936	25302.1	1557.02	0.1215	243
78000	78	4.45117	28242.7	5111.9	6406.83	4682.98	672.056	25928.6	68.1255	0.127	254
79000	79	4.44191	28237.2	2519.74	6128.29	4463.72	670.736	25586.3	136.466	0.1295	259
80000	80	4.39128	27981.2	2745.14	7291.48	4666.98	671.662	25916.8	59.5362	0.1315	263
81000	81	4.49861	28692.1	4341.78	8584.63	4596.66	670.087	25542.2	82.5203	0.1355	271
82000	82	4.49893	28734.7	7503.16	9950.11	4534.89	651.438	26055.2	152.978	0.142	284
83000	83	4.45034	28484.4	3318.34	6260.5	4325.01	730.423	26249.5	144.984	0.1455	291
84000	84	4.43773	28483.5	6511.16	6567.19	4383.35	715.723	25628.1	464.716	0.1515	303
85000	85	4.40782	28344.5	5011.65	7197	4658.94	789.425	25883	304.161	0.157	314
86000	86	4.45594	28727.4	2485.76	5987.98	4476.17	771.523	25850.7	133.386	0.159	318
87000	87	4.45378	28793.7	3007.46	6576.75	4378.45	875.205	25517.8	37.068	0.1615	323
88000	88	4.54862	29441	2775.61	6419.47	4279.28	751.326	25824.4	390.567	0.1645	329
89000	89	4.47348	28981.4	3074.6	6413.68	4490.25	812.635	25507.6	209.789	0.1685	337
90000	90	4.43009	28753.5	3307.99	6621.89	4444.67	858.144	25664.8	146.621	0.172	344
91000	91	4.53796	29514.9	5018.25	8964.93	4737.05	1015.9	25590.7	234.62	0.177	354
92000	92	4.48908	29230.6	1240.34	6136.83	4322.95	1055.34	25645.1	131.25	0.178	356
93000	93	4.40353	28752.8	5403.91	7429.57	4369.85	993.953	25478.3	46.6106	0.183	366
94000	94	4.48066	29276.6	4323.89	7162.61	4458.26	991.36	25481.8	63.2607	0.1865	373
95000	95	4.40583	28847.2	4392.78	6320	4371.08	1038.28	25304.8	399.001	0.19	380
96000	96	4.42314	28993.7	3945.2	8830.17	4104.83	1101.45	25562.8	54.0002	0.1935	387
97000	97	4.4594	29278.2	1623.42	6623.59	4530.92	1087.69	25324.1	69.6524	0.1945	389
98000	98	4.51718	29705	2988.84	7134.67	4631.61	1138.1	25598.3	136.028	0.197	394
99000	99	4.51756	29727.8	2829.68	6487.14	4218.29	1117.86	25657.7	70.6581	0.1995	399
100000	100	4.46289	29401.5	3525.26	6543.72	4263.88	1103.83	25950.9	52.2555	0.2025	405
101000	101	4.48419	29575.5	4270.16	7798.07	4464.53	1271.37	25359.8	440.49	0.206	412
102000	102	4.44263	29348	3559.64	6604.5	4249.75	1253.66	25948.8	53.2681	0.209	418
103000	103	4.41253	29182.3	1656.55	6565.77	4706.59	1262.36	25487.2	35.1728	0.21	420
104000	104	4.50833	29856.4	1774.76	6037.18	4681.75	1238.21	25585.6	371.695	0.211	422
105000	105	4.48387	29707.9	4320.53	6410.33	4596.57	1369.06	25518.5	128.595	0.2145	429
106000	106	4.57751	30348.9	5011.44	6375.25	4693.63	1308.87	25470.6	154.139	0.218	436
107000	107	4.48451	29765.9	2335.52	6219.73	4543.2	1207.8	25765.7	831.725	0.2195	439
108000	108	4.56638	30350.5	1702.18	6286.72	4372.89	1261.88	25225	39.8879	0.2205	441
109000	109	4.54148	30219	4352.7	11060.6	4592.55	1377.48	25662.5	29.8909	0.2245	449
110000	110	4.43326	29518.9	4698.06	8336.28	4797.88	1392.05	25475	61.0371	0.2285	457
111000	111	4.42499	29510.2	4189.13	6724.3	4525.75	1416.91	25415.5	134.449	0.233	466
112000	112	4.48864	29988.6	3042.85	6829.92	4516.63	1384.05	25094	155.642	0.2355	471
113000	113	4.45222	29798.7	4414.9	6479.35	4480.36	1391.45	25535.8	49.3019	0.2395	479
114000	114	4.47919	30006.1	5777.78	10500.3	4706.51	1475.77	25394.9	105.068	0.2445	489
115000	115	4.41253	29619.1	2065.38	6883.18	4695.06	1417.87	25516.8	8794.37	0.246	492
116000	116	4.43468	29841	4559.51	8179.01	4562.35	1466.26	25421.3	62.7218	0.25	500
117000	117	4.4978	30292.7	5396.4	6734.25	4730.32	1503.74	25380.4	65.0024	0.255	510
118000	118	4.57602	30881.3	5263.06	7328.35	4884.23	1746.74	25244.6	106.575	0.259	518
119000	119	4.54932	30762.5	3504.64	6733.1	4583.44	1650.84	25441.1	276.99	0.262	524
120000	120	4.47201	30293.4	3334.38	6504.23	4641.92	1682.78	25179	85.1696	0.264	528
121000	121	4.46044	30268.6	5544.14	8675.64	4403.85	1753.71	25253.5	47.1233	0.2685	537
122000	122	4.52381	30719	1997.09	7322.99	4633.27	1657.16	24897.5	78.8843	0.2695	539
123000	123	4.39039	29878.8	3520.77	7343.77	4934.42	1729.19	25455.6	22.8497	0.2715	543
124000	124	4.41699	30073.1	4856.88	7426.1	4483.56	1761.82	25298.4	322.817	0.275	550
125000	125	4.4784	30518.1	4280.41	7063.9	4543.25	1661.7	25790.6	99.958	0.278	556
126000	126	4.47992	30541.8	5086.75	8331.47	4278.4	1690.37	25726.8	106.077	0.2825	565
127000	127	4.41466	30156.6	3872.32	6718.5	4664.26	1762.67	25502.9	82.9838	0.2855	571
128000	128	4.52863	30982.6	3162.52	6582.13	4616.85	1752.38	25578.6	62.5401	0.288	576
129000	129	4.49998	30820.4	4542.64	7258.28	4437.17	1746.85	25258.6	110.047	0.2915	583
130000	130	4.50327	30883.4	2467.13	6986.98	4402.92	1965.71	25306.4	196.596	0.293	586
131000	131	4.46766	30706.3	2676.23	6540.56	4679.54	1951.4	25513.3	26.734	0.2955	591
132000	132	4.48676	30851	2809.65	6731.86	4711.98	1808.45	25448.8	54.541	0.297	594
133000	133	4.48244	30848.2	2527.27	6739.38	4564.91	1891.61	25662	51.1264	0.2985	597
134000	134	4.48599	30906.2	3490.33	6828.2	4430.82	1804.89	25413.7	18.1077	0.3005	601
