# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.950000000000000000e+02 1.805000000000000000e+03 1.860000000000000000e+02 3.000000000000000000e+00 1.108033240997229996e+00 1.203999999999938453e+00 1.108033240997229996e+00 1.086609999999944343e+00
3.350000000000000000e+02 1.665000000000000000e+03 2.810000000000000000e+02 7.000000000000000000e+00 1.201201201201201219e+00 1.404999999999938520e+00 1.201201201201201219e+00 1.169662499999948757e+00
4.540000000000000000e+02 1.546000000000000000e+03 3.530000000000000000e+02 7.000000000000000000e+00 1.293661060802069773e+00 1.584999999999943121e+00 1.293661060802069773e+00 1.225204999999956135e+00
5.460000000000000000e+02 1.454000000000000000e+03 3.970000000000000000e+02 7.000000000000000000e+00 1.375515818431912063e+00 1.753999999999946491e+00 1.375515818431912063e+00 1.275157999999960934e+00
6.500000000000000000e+02 1.350000000000000000e+03 4.300000000000000000e+02 8.000000000000000000e+00 1.481481481481481399e+00 1.960999999999950782e+00 1.481481481481481399e+00 1.323674999999966850e+00
7.260000000000000000e+02 1.274000000000000000e+03 4.500000000000000000e+02 8.000000000000000000e+00 1.569858712715855642e+00 2.147000000000019337e+00 1.569858712715855642e+00 1.367639000000012262e+00
8.050000000000000000e+02 1.195000000000000000e+03 4.610000000000000000e+02 9.000000000000000000e+00 1.673640167364016662e+00 2.369000000000050843e+00 1.673640167364016662e+00 1.415477500000030364e+00
8.630000000000000000e+02 1.137000000000000000e+03 4.630000000000000000e+02 1.000000000000000000e+01 1.759014951627088763e+00 2.550000000000052669e+00 1.759014951627088763e+00 1.449675000000030023e+00
9.160000000000000000e+02 1.084000000000000000e+03 4.670000000000000000e+02 1.000000000000000000e+01 1.845018450184501946e+00 2.731000000000050054e+00 1.845018450184501946e+00 1.480202000000027107e+00
9.590000000000000000e+02 1.041000000000000000e+03 4.640000000000000000e+02 1.000000000000000000e+01 1.921229586935638833e+00 2.896000000000051422e+00 1.921229586935638833e+00 1.507368000000026687e+00
1.000000000000000000e+03 1.000000000000000000e+03 4.610000000000000000e+02 1.000000000000000000e+01 2.000000000000000000e+00 3.049000000000048338e+00 2.000000000000000000e+00 1.524500000000024169e+00
1.042000000000000000e+03 9.580000000000000000e+02 4.590000000000000000e+02 1.000000000000000000e+01 2.087682672233820647e+00 3.207000000000046480e+00 2.087682672233820647e+00 1.536153000000022084e+00
1.075000000000000000e+03 9.260000000000000000e+02 4.520000000000000000e+02 1.500000000000000000e+01 2.159827213822893999e+00 3.409000000000048214e+00 2.159827213822893999e+00 1.578367000000022502e+00
1.114000000000000000e+03 8.870000000000000000e+02 4.410000000000000000e+02 1.600000000000000000e+01 2.254791431792559031e+00 3.672000000000050335e+00 2.254791431792559031e+00 1.628532000000022517e+00
1.145000000000000000e+03 8.560000000000000000e+02 4.260000000000000000e+02 1.600000000000000000e+01 2.336448598130841159e+00 3.934000000000050346e+00 2.336448598130841159e+00 1.683752000000021454e+00
1.181000000000000000e+03 8.200000000000000000e+02 4.260000000000000000e+02 1.600000000000000000e+01 2.439024390243902385e+00 4.140999999999954717e+00 2.439024390243902385e+00 1.697809999999981390e+00
