# cr num_clusters num_clusters2 size_max_cluster pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
5.460000000000000000e+02 1.454000000000000000e+03 4.640000000000000000e+02 3.000000000000000000e+00 1.375515818431912063e+00 1.627999999999951930e+00 1.375515818431912063e+00 1.183555999999964969e+00
9.430000000000000000e+02 1.057000000000000000e+03 4.880000000000000000e+02 9.000000000000000000e+00 1.892147587511825879e+00 2.788000000000045997e+00 1.892147587511825879e+00 1.473458000000024359e+00
1.142000000000000000e+03 8.580000000000000000e+02 4.480000000000000000e+02 1.400000000000000000e+01 2.331002331002331118e+00 3.786000000000050214e+00 2.331002331002331118e+00 1.624194000000021454e+00
1.253000000000000000e+03 7.480000000000000000e+02 4.180000000000000000e+02 1.700000000000000000e+01 2.673796791443850296e+00 4.615999999999945480e+00 2.673796791443850296e+00 1.726383999999979491e+00
1.313000000000000000e+03 6.880000000000000000e+02 3.970000000000000000e+02 1.500000000000000000e+01 2.906976744186046346e+00 5.061999999999941657e+00 2.906976744186046346e+00 1.741327999999980003e+00
1.361000000000000000e+03 6.410000000000000000e+02 3.820000000000000000e+02 2.100000000000000000e+01 3.120124804992199685e+00 5.559999999999941878e+00 3.120124804992199685e+00 1.781979999999981468e+00
1.396000000000000000e+03 6.070000000000000000e+02 3.670000000000000000e+02 2.100000000000000000e+01 3.294892915980230708e+00 5.949999999999939782e+00 3.294892915980230708e+00 1.805824999999981584e+00
1.407000000000000000e+03 5.960000000000000000e+02 3.580000000000000000e+02 2.300000000000000000e+01 3.355704697986577223e+00 6.292999999999939753e+00 3.355704697986577223e+00 1.875313999999981940e+00
1.422000000000000000e+03 5.820000000000000000e+02 3.540000000000000000e+02 2.100000000000000000e+01 3.436426116838487754e+00 6.452999999999944336e+00 3.436426116838487754e+00 1.877822999999983811e+00
1.438000000000000000e+03 5.660000000000000000e+02 3.460000000000000000e+02 2.300000000000000000e+01 3.533568904593639370e+00 6.655999999999949956e+00 3.533568904593639370e+00 1.883647999999986000e+00
1.455000000000000000e+03 5.490000000000000000e+02 3.380000000000000000e+02 2.300000000000000000e+01 3.642987249544626494e+00 6.909999999999949516e+00 3.642987249544626494e+00 1.896794999999986242e+00
1.465000000000000000e+03 5.390000000000000000e+02 3.380000000000000000e+02 3.500000000000000000e+01 3.710575139146567558e+00 7.100999999999949353e+00 3.710575139146567558e+00 1.913719499999986473e+00
1.476000000000000000e+03 5.280000000000000000e+02 3.330000000000000000e+02 3.500000000000000000e+01 3.787878787878788067e+00 7.523999999999948507e+00 3.787878787878788067e+00 1.986335999999986335e+00
