step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.47812	26868.7	253.518	5369.35	4532.04	0	0	25443.7	0
2000	2	4.56255	27375.3	244.864	5256.7	4371.06	0	0	25109.6	0
3000	3	4.41852	26511.1	246.411	5096.9	4259.41	0	0	25485.2	0
4000	4	4.48626	26917.6	247.817	5112.39	4417.63	0	0	25165.2	0
5000	5	4.52777	27166.6	249.36	5189.31	4549.02	0	0	25336.3	0
6000	6	4.48641	26918.4	248.09	5032.48	4313.38	0	0	24990.2	0
7000	7	4.47629	26857.8	246.268	5508.19	4371.2	0	0	25501.3	0
8000	8	4.38228	26293.7	238.678	5425.6	4405.62	0	0	25548.4	0
9000	9	4.45006	26700.3	256.365	5150.76	4149.24	0	0	25094.2	0
10000	10	4.32744	25964.6	252.25	5375.42	4401.57	0	0	25800.5	0
11000	11	4.46612	26796.7	248.693	5186.69	4531.96	0	0	25412.1	0
12000	12	4.36912	26214.7	244.111	5334.03	4752.08	0	0	25380.7	0
13000	13	4.46553	26793.2	236.325	4945.79	4327.09	0	0	25456.8	0
14000	14	4.43796	26627.8	243.66	5212.9	4563.02	0	0	25785	0
15000	15	4.40361	26421.7	259.768	5246.58	4215.65	0	0	25808.8	0
16000	16	4.36257	26175.4	254.327	5115.39	4614.07	0	0	25835.4	0
17000	17	4.42005	26520.3	252.824	5543.55	4407.98	0	0	25328.4	0
18000	18	4.42619	26557.2	240.676	5191.7	4376.55	0	0	25350.2	0
19000	19	4.40757	26445.4	255.13	5109.07	4493.57	0	0	25604.7	0
20000	20	4.36308	26178.5	251.044	5172.51	4590.85	0	0	25166	0
21000	21	4.48775	26926.5	254.607	5490.01	4312.81	0	0	25188.7	0
22000	22	4.44158	26649.5	255.396	5348.6	4399.45	0	0	25617.2	0
23000	23	4.38168	26290.1	249.825	5167.92	4666.56	0	0	25132	0
24000	24	4.4893	26935.8	257.479	5250.88	4529.65	0	0	25450.1	0
25000	25	4.47173	26830.4	249.516	5066.35	4276.74	0	0	25595.8	0
26000	26	4.35409	26124.6	240.758	5465.69	4668.76	0	0	25339.5	0
27000	27	4.44794	26687.6	243.814	5214.77	4351.59	0	0	25762.5	0
28000	28	4.46705	26802.3	245.1	5408.03	4311.07	0	0	25497.8	0
29000	29	4.30747	25844.8	254.63	5253.58	4681.89	0	0	25474.1	0
30000	30	4.3812	26287.2	252.083	5096.83	4140.83	0	0	25266.6	0
31000	31	4.4777	26866.2	240.475	5058.04	4258.47	0	0	25232.6	0
32000	32	4.51039	27062.3	241.653	5281.87	4541.25	0	0	25327.1	0
33000	33	4.48286	26897.2	242.315	5248.38	4343.97	0	0	25608.9	0
34000	34	4.43496	26609.7	253.237	5322.89	4233.46	0	0	25386.4	0
35000	35	4.47394	26843.7	254.839	5062.14	4529.73	0	0	25188.2	0
36000	36	4.31351	25881.1	244.751	5174.3	4130	0	0	26092.2	0
37000	37	4.36258	26175.5	240.88	5183.98	4292.65	0	0	25373	0
38000	38	4.42059	26523.5	239.271	5205.53	4439.97	0	0	25420.3	0
39000	39	4.37656	26259.3	242.998	4993.89	4478.77	0	0	25618.3	0
