step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.40795	26447.7	247.551	5256.06	4297.07	0	0	25712.9	0
2000	2	4.38824	26329.4	249.707	5313.94	4676.64	0	0	25160.7	0
3000	3	4.52966	27177.9	248.721	4909.96	4340.52	0	0	25516.2	0
4000	4	4.55219	27313.2	245.712	5157.84	4286.79	0	0	25270.8	0
5000	5	4.37274	26236.4	254.633	5295.66	4306.25	0	0	25180.1	0
6000	6	4.48242	26894.5	239.61	5053.81	4403.03	0	0	25220.7	0
7000	7	4.4988	26992.8	253.528	5031.56	4270.9	0	0	25635.7	0
8000	8	4.36718	26203.1	240.732	5570.16	4539.69	0	0	25721.7	0
9000	9	4.48563	26913.8	238.706	5334.12	4267.93	0	0	25837.5	0
10000	10	4.53726	27223.5	243.054	5514.95	4675.09	0	0	25386.7	0
11000	11	4.46473	26788.4	244.773	5312.74	4566.72	0	0	25526.1	0
12000	12	4.47215	26832.9	258.398	5020.38	4662.95	0	0	25390.6	0
13000	13	4.42304	26538.3	243.463	5127.93	4227.22	0	0	25515.7	0
14000	14	4.40851	26451	248.704	4984.92	4315.52	0	0	25466.5	0
15000	15	4.35672	26140.3	233.946	5270.33	4522.9	0	0	25693.1	0
16000	16	4.43035	26582.1	250.094	5156.94	4686.55	0	0	25679.3	0
17000	17	4.48949	26937	264.406	5138.68	4516.14	0	0	26018.7	0
18000	18	4.42236	26534.1	254.391	5519.93	4659.52	0	0	25696.6	0
19000	19	4.41072	26464.3	245.093	5144.8	4383.73	0	0	25670.5	0
20000	20	4.41811	26508.6	257.047	4800.63	4601.04	0	0	25595.1	0
21000	21	4.30298	25817.9	248.7	5268.32	4550.64	0	0	25515.4	0
22000	22	4.47761	26865.7	247.296	5141.37	4597.81	0	0	25672.3	0
23000	23	4.40809	26448.5	250.095	5337.42	4606.49	0	0	25937.1	0
24000	24	4.46494	26789.6	249.04	5305.93	4288.89	0	0	25464.3	0
25000	25	4.38787	26327.2	244.289	4982.16	4339.37	0	0	25532.6	0
26000	26	4.43177	26590.6	244.036	5166.86	4795.94	0	0	25686.7	0
27000	27	4.3933	26359.8	245.213	5319.22	4532.7	0	0	25237.5	0
28000	28	4.43732	26623.9	253.919	5197.12	4627.28	0	0	25687.7	0
29000	29	4.45972	26758.3	246.08	5255.13	4712.61	0	0	25543.4	0
30000	30	4.44826	26689.6	248.877	5135.93	4330.03	0	0	25387.2	0
31000	31	4.45235	26714.1	250.01	5312.35	4778.48	0	0	25440.1	0
32000	32	4.3857	26314.2	249.169	5197.9	4461.15	0	0	25415.2	0
33000	33	4.47585	26855.1	246.08	5092.37	4375.74	0	0	25784.4	0
34000	34	4.34267	26056	242.768	5366.43	4252.84	0	0	25521	0
35000	35	4.40695	26441.7	249.664	5122	4340.88	0	0	25877.2	0
36000	36	4.3232	25939.2	233.902	5416.19	4562.16	0	0	25308.8	0
37000	37	4.46708	26802.5	262.142	5104.45	4299.55	0	0	25963.5	0
38000	38	4.55474	27328.5	250.733	5233.58	4566.23	0	0	25439.8	0
39000	39	4.4757	26854.2	242.973	5176.25	4578.14	0	0	25245.1	0
40000	40	4.38913	26334.8	240.484	5117.53	4331.45	0	0	25688.4	0
41000	41	4.4627	26776.2	234.982	5116.7	4292.03	0	0	24864.1	0
42000	42	4.35638	26138.3	248.484	5250.94	4154.09	0	0	25557.4	0
43000	43	4.43914	26634.8	240.465	5326.57	4340.81	0	0	25582.4	0
44000	44	4.48056	26883.3	240.573	4972.36	4275.62	0	0	25776.5	0
45000	45	4.43155	26589.3	241.483	5381.43	4748.38	0	0	25505	0
46000	46	4.44683	26681	251.497	5095.62	4337.98	0	0	25589.7	0
47000	47	4.28737	25724.2	241.107	5166.6	4397.79	0	0	25587.2	0
48000	48	4.42799	26567.9	243.159	5109.82	4594.25	0	0	25278.3	0
49000	49	4.48564	26913.8	242.607	5202.19	4523.71	0	0	25828.3	0
50000	50	4.39434	26366	247.175	5145.6	4554.88	0	0	25655.7	0
51000	51	4.40406	26424.3	250.532	5289.33	4204.06	0	0	25498.6	0
52000	52	4.3562	26137.2	250.452	4984.36	4396.52	0	0	25731.2	0
53000	53	4.39829	26389.7	242.496	4952.48	4442.07	0	0	25312.5	0
54000	54	4.37659	26259.5	243.903	5235.18	4388.14	0	0	25277.5	0
55000	55	4.46922	26815.3	241.294	5356.93	4558.08	0	0	25389.4	0
56000	56	4.37237	26234.2	249.38	5302.67	4493.88	0	0	25275.6	0
57000	57	4.5086	27051.6	241.768	5076.86	4383.79	0	0	24888.2	0
58000	58	4.52489	27149.3	247.598	5079.02	4491.85	0	0	25099.5	0
59000	59	4.36631	26197.9	250.991	5175.34	4599.76	0	0	25341.2	0
60000	60	4.3782	26269.2	235.943	5347.35	4529.03	0	0	25545.4	0
61000	61	4.4442	26665.2	241.343	5282.88	4499.15	0	0	25864.7	0
62000	62	4.36322	26179.3	243.427	5219.58	4456.68	0	0	25954.1	0
63000	63	4.49596	26975.8	250.644	5277.88	4417.31	0	0	25719.4	0
64000	64	4.4237	26542.2	246.642	5153.62	4427.53	0	0	25787.8	0
65000	65	4.57802	27468.1	240.722	4928.02	4378.47	0	0	25337.3	0
66000	66	4.33246	25994.7	256.367	5109.72	4495.4	0	0	25644.4	0
67000	67	4.49488	26969.3	246.317	5342.12	4353.9	0	0	25683	0
68000	68	4.35945	26156.7	242.764	5141.57	4428.41	0	0	25742.8	0
69000	69	4.34085	26045.1	250.563	5183.13	4384.74	0	0	25333.4	0
70000	70	4.42641	26558.4	252.41	5209.81	4571.79	0	0	25497	0
71000	71	4.41001	26460	243.06	4703.42	4513.07	0	0	25689.6	0
72000	72	4.44535	26672.1	251.696	4925.71	4304.56	0	0	25888.9	0
73000	73	4.34369	26062.1	239.303	5145.38	4359.96	0	0	25292.5	0
74000	74	4.38122	26287.3	245.519	5401.36	4394.37	0	0	25450.1	0
75000	75	4.44138	26648.3	247.836	5136.33	4424.97	0	0	25542.1	0
76000	76	4.42957	26577.4	244.61	5335	4615.57	0	0	25431.9	0
77000	77	4.42518	26551.1	253.251	5243.99	4329.41	0	0	25341.3	0
78000	78	4.36788	26207.3	244.064	5219.09	4538.45	0	0	25579.5	0
79000	79	4.36133	26168	250.428	4893.42	4360.31	0	0	25393.3	0
80000	80	4.56015	27360.9	249.813	5199.98	4450.04	0	0	25650.5	0
81000	81	4.43281	26596.9	255.299	5241.7	4545.82	0	0	25335.8	0
82000	82	4.48097	26885.8	242.364	5409.05	4447.21	0	0	25252.8	0
83000	83	4.43266	26596	239.258	5124.02	4252.73	0	0	25582.9	0
84000	84	4.41541	26492.5	239.888	4869.18	4414.95	0	0	25681.2	0
85000	85	4.41483	26489	248.152	5105.07	4546.83	0	0	25724.8	0
86000	86	4.43843	26630.6	244.394	4948.91	4301.49	0	0	25582.6	0
87000	87	4.40817	26449	250.66	5171.58	4822.15	0	0	25365.4	0
88000	88	4.44517	26671	248.649	5510.71	4674.52	0	0	25605.5	0
89000	89	4.4382	26629.2	247.041	5088.32	4694	0	0	25170.8	0
90000	90	4.45012	26700.7	238.548	5191.28	4472.02	0	0	25423.2	0
91000	91	4.54033	27242	247.083	5335.57	4357.92	0	0	25600.5	0
92000	92	4.39258	26355.5	249.691	5165.61	4254.81	0	0	25652.2	0
93000	93	4.41374	26482.4	251.827	5357.72	4692.4	0	0	25471.7	0
94000	94	4.48977	26938.6	247.924	5360.13	4389.1	0	0	25430.3	0
95000	95	4.52178	27130.7	248.767	5284.91	4465.41	0	0	25361.4	0
96000	96	4.50706	27042.3	239.239	5336.78	4330.24	0	0	25334.2	0
97000	97	4.33904	26034.2	239.571	5298.95	4355.85	0	0	25499.4	0
98000	98	4.39722	26383.3	258.069	5218.64	4240.82	0	0	25813.9	0
99000	99	4.41309	26478.6	244.66	5172.81	4335.57	0	0	25699.1	0
100000	100	4.42951	26577.1	255.158	5181.31	4560.73	0	0	25730.1	0
101000	101	4.42409	26544.6	253.702	5282.52	4550.42	0	0	25712.2	0
102000	102	4.38708	26322.5	251.807	5131.82	4364.35	0	0	25289.3	0
103000	103	4.43451	26607.1	251.891	4984.16	4611.8	0	0	25562.3	0
104000	104	4.30545	25832.7	245.42	5117.94	4342.21	0	0	25039.3	0
105000	105	4.36726	26203.6	243	5387.05	4624.76	0	0	25227	0
106000	106	4.45039	26702.4	248.832	5123.22	4432.71	0	0	25094.6	0
107000	107	4.47362	26841.7	251.662	5312.21	4267.19	0	0	25682.8	0
108000	108	4.51366	27081.9	252.347	4983.08	4297.77	0	0	25557.8	0
109000	109	4.43048	26582.9	254.277	4772.94	4497.89	0	0	25404.1	0
110000	110	4.42274	26536.5	245.724	5076.13	4405.91	0	0	25626.6	0
111000	111	4.38536	26312.2	246.455	5122.92	4409.07	0	0	26040.5	0
112000	112	4.36676	26200.5	249.212	5029.95	4602.53	0	0	25446	0
