step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.47057	26823.4	246.66	5180.78	4356.64	0	0	25374.8	0
2000	2	4.39473	26368.4	243.548	5104.56	4487.85	0	0	25389	0
3000	3	4.48083	26885	247.891	5116.57	4458.18	0	0	25569.3	0
4000	4	4.4521	26712.6	246.864	5461.87	4366.06	0	0	25485.8	0
5000	5	4.46827	26809.6	253.236	5280.73	4397.71	0	0	25651.8	0
6000	6	4.39113	26346.8	244.445	5137.69	4479.76	0	0	25822.7	0
7000	7	4.55938	27356.3	250.582	5269.05	4468.61	0	0	25639.8	0
8000	8	4.42893	26573.6	243.484	5251.39	4723.71	0	0	25977.8	0
9000	9	4.38299	26297.9	248.679	5273.34	4455.59	0	0	25694.8	0
10000	10	4.37093	26225.6	237.339	5272.61	4414.37	0	0	25509.9	0
11000	11	4.38348	26300.9	244.464	5032.7	4393.07	0	0	25188.9	0
12000	12	4.33799	26027.9	248.406	5481.65	4592.49	0	0	26098.6	0
13000	13	4.39751	26385.1	253.143	5342.47	4426.03	0	0	25295.6	0
14000	14	4.38812	26328.7	241.572	5056.21	4265.1	0	0	25266.5	0
15000	15	4.40382	26422.9	246.372	5239.49	4349.16	0	0	25244.8	0
16000	16	4.31584	25895.1	248.093	5329.78	4257.55	0	0	25516.6	0
17000	17	4.35829	26149.7	247.296	5064.96	4432.53	0	0	25682.4	0
18000	18	4.32011	25920.6	248.429	5212.5	4782.07	0	0	25286.3	0
19000	19	4.45876	26752.6	243.602	5434.34	4471.98	0	0	25324.5	0
20000	20	4.47471	26848.2	240.277	5152.07	4205.23	0	0	26037.8	0
21000	21	4.43944	26636.7	249.712	5415.14	4280.11	0	0	25642.3	0
22000	22	4.29445	25766.7	251.408	5120.15	4472.74	0	0	24975.6	0
23000	23	4.35091	26105.4	256.833	5198.86	4394.65	0	0	25210.1	0
24000	24	4.42117	26527	242.017	5281.28	4448.8	0	0	25337.3	0
25000	25	4.37832	26269.9	235.042	5245.14	4328.25	0	0	24869.2	0
26000	26	4.40817	26449	240.273	5342.54	4264.53	0	0	25409.1	0
27000	27	4.44609	26676.5	253.654	5618.22	4486.54	0	0	25366.5	0
28000	28	4.41358	26481.5	248.071	4927.01	4342.56	0	0	25390.1	0
29000	29	4.51767	27106	256.504	5048.06	4399.88	0	0	25994.5	0
30000	30	4.43946	26636.8	252.656	5180.49	4557.9	0	0	25723	0
31000	31	4.46103	26766.2	244.759	5357.35	4414.48	0	0	25335.5	0
32000	32	4.43647	26618.8	239.238	5000.42	4745.36	0	0	25095	0
33000	33	4.4016	26409.6	245.015	5319.4	4591.15	0	0	25578.1	0
34000	34	4.37446	26246.7	244.666	5413.96	4517.87	0	0	25377.8	0
35000	35	4.42624	26557.4	245.274	5043.68	4394.28	0	0	25682.3	0
36000	36	4.39286	26357.2	252.55	5417.29	4340.79	0	0	25771.9	0
37000	37	4.40149	26408.9	250.362	5368.27	4417.75	0	0	25772.7	0
38000	38	4.44384	26663.1	252.178	5396	4289.15	0	0	25566.6	0
39000	39	4.38798	26327.9	247.03	5145.94	4497.12	0	0	25131.6	0
40000	40	4.44734	26684.1	244.422	5063.28	4194.18	0	0	25483.2	0
41000	41	4.38723	26323.4	240.398	5318.29	4302.16	0	0	25563.3	0
42000	42	4.44941	26696.5	259.499	5286.57	4530.6	0	0	25691.7	0
43000	43	4.33296	25997.8	240.723	5305.44	4491.94	0	0	25686.4	0
44000	44	4.47997	26879.8	248.392	5006.93	4198.36	0	0	25756.1	0
45000	45	4.43675	26620.5	258.978	5063.74	4292.49	0	0	25372.5	0
46000	46	4.49811	26988.7	256.552	5078.93	4133.9	0	0	25701.5	0
47000	47	4.40342	26420.5	250.239	5112.9	4381.64	0	0	25767	0
48000	48	4.36542	26192.5	248.064	5258.72	4620.02	0	0	25673.4	0
49000	49	4.39146	26348.7	253.845	5112.36	4342.27	0	0	25665.7	0
50000	50	4.39238	26354.3	259.746	5025.02	4452.33	0	0	25750.2	0
51000	51	4.37691	26261.4	260.433	5295.16	4248.63	0	0	25838.8	0
52000	52	4.3923	26353.8	245.848	4789.48	4050.72	0	0	25800.5	0
53000	53	4.43472	26608.3	256.017	5059.56	4418.45	0	0	25874.7	0
54000	54	4.40844	26450.7	254.941	5425.54	4231.78	0	0	25560.4	0
55000	55	4.45039	26702.3	245.866	5160.78	4505.5	0	0	25458.3	0
56000	56	4.38312	26298.7	247.768	4938.44	4326.24	0	0	25476.1	0
57000	57	4.40353	26421.2	259.992	5177.77	4603.09	0	0	25318	0
