step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
79000	79	4.43251	26595	257.372	5500.59	4553.88	0	0	25440.4	0
80000	80	4.55868	27352.1	243.709	5129.82	4651.16	0	0	25727.1	0
81000	81	4.43436	26606.2	245.107	5238.11	4467.81	0	0	25386.7	0
82000	82	4.37885	26273.1	247.528	5327.37	4511.6	0	0	25855.1	0
83000	83	4.54482	27268.9	257.108	5207.7	4428.13	0	0	25423.8	0
84000	84	4.41361	26481.7	253.967	5286.37	4457.41	0	0	25673.8	0
85000	85	4.44804	26688.3	254.015	5067.98	4370.43	0	0	25520.7	0
86000	86	4.38351	26301	243.32	5140.05	4563.89	0	0	25787.6	0
87000	87	4.41269	26476.2	245.584	5057.95	4420.03	0	0	26133.8	0
88000	88	4.48572	26914.3	252.568	5436.54	4292.06	0	0	25815.4	0
89000	89	4.4257	26554.2	245.831	5246.4	4685.5	0	0	25783.4	0
90000	90	4.36916	26215	246.362	5109.24	4465.48	0	0	25997.6	0
91000	91	4.42144	26528.7	256.643	4920.08	4315.61	0	0	26160.6	0
92000	92	4.46491	26789.5	253.392	5132.59	4511.03	0	0	25565.2	0
93000	93	4.39715	26382.9	243.381	5134.89	4326.65	0	0	25937.2	0
94000	94	4.36263	26175.8	253.221	5351.61	4107.63	0	0	25834.6	0
95000	95	4.4847	26908.2	253.29	5165.4	4756.27	0	0	26098.6	0
96000	96	4.45429	26725.7	240.322	5489.57	4289.98	0	0	25578.1	0
97000	97	4.41832	26509.9	244.382	5219.43	4550.65	0	0	25452.7	0
98000	98	4.45219	26713.1	245.433	5309.98	4523.61	0	0	25693.2	0
99000	99	4.40383	26423	249.948	5146.68	4628.86	0	0	25336.6	0
100000	100	4.41079	26464.7	244.758	4935.49	4341.44	0	0	25591.1	0
101000	101	4.42521	26551.2	253.957	5498.25	4431.88	0	0	25830.2	0
102000	102	4.42875	26572.5	244.648	5255.04	4409.3	0	0	25733.9	0
103000	103	4.38424	26305.4	252.822	5207.83	4382.2	0	0	26003.7	0
104000	104	4.36161	26169.6	242.882	5240.99	4415.68	0	0	25520.5	0
105000	105	4.44533	26672	254.861	5177.87	4450.19	0	0	25428.8	0
106000	106	4.46057	26763.4	254.739	5213.68	4603.81	0	0	25596.7	0
107000	107	4.49175	26950.5	255.943	4959.36	4507.57	0	0	25664.2	0
108000	108	4.41887	26513.2	249.192	5111	4460.76	0	0	25539	0
109000	109	4.47974	26878.5	257.65	5160.29	4341.52	0	0	25731.4	0
110000	110	4.43003	26580.2	246.41	5071.77	4312.12	0	0	25177.9	0
111000	111	4.48004	26880.2	244.2	5246.4	4431.15	0	0	25723.8	0
112000	112	4.33769	26026.1	249.301	5377.67	4398.3	0	0	25135.9	0
113000	113	4.41612	26496.7	239.636	5321.14	4344.15	0	0	25639.3	0
114000	114	4.3394	26036.4	240.476	5309.44	4585.34	0	0	25557.4	0
115000	115	4.39908	26394.5	253.241	5031.27	4307.99	0	0	25747.4	0
116000	116	4.45909	26754.5	244.377	5034.61	4456.92	0	0	25711.4	0
117000	117	4.45493	26729.6	257.908	5245.41	4818.55	0	0	25428.2	0
118000	118	4.42654	26559.2	249.864	4856.7	4454.38	0	0	25664.5	0
119000	119	4.50252	27015.1	250.317	5061.38	4481.13	0	0	25436.3	0
120000	120	4.41312	26478.7	244.193	5125.18	4460.89	0	0	25169.2	0
121000	121	4.51225	27073.5	256.019	5128.06	4439.59	0	0	25420.5	0
122000	122	4.5288	27172.8	247.928	5103.78	4519.42	0	0	25308	0
123000	123	4.36812	26208.7	240.032	5367.68	4628.25	0	0	25588.5	0
124000	124	4.46975	26818.5	244.345	5270.13	4206.96	0	0	25662.2	0
125000	125	4.4395	26637	238.556	5022.03	4531.45	0	0	25624.2	0
126000	126	4.43861	26631.7	252.505	5256.89	4730.57	0	0	25636.9	0
127000	127	4.40876	26452.5	251.613	5323.08	4468.12	0	0	25686.1	0
128000	128	4.3437	26062.2	245.198	5178.12	4309.75	0	0	25691	0
129000	129	4.40606	26436.3	254.396	5158.64	4300.66	0	0	25729.6	0
130000	130	4.38567	26314	247.399	5042.2	4539.87	0	0	25276.2	0
131000	131	4.42306	26538.4	255.022	5147.86	4703.61	0	0	25483.9	0
132000	132	4.39	26340	247.002	5275.87	4422.58	0	0	25423.8	0
133000	133	4.56061	27363.6	245.633	4973.25	4444.86	0	0	25568.4	0
134000	134	4.44566	26673.9	254.764	5088.71	4388.63	0	0	25197	0
135000	135	4.41696	26501.8	243.491	5168.46	4591.44	0	0	25747.2	0
136000	136	4.38052	26283.1	246.517	5000.12	4488.6	0	0	25577.2	0
137000	137	4.42616	26557	254.632	5270.86	4381.27	0	0	25748.9	0
138000	138	4.44213	26652.8	248.021	4929.32	4823.33	0	0	25617.3	0
139000	139	4.42363	26541.8	255.719	5207.41	4047.65	0	0	25371	0
140000	140	4.39893	26393.6	245.699	5295.06	4481.82	0	0	25975.6	0
141000	141	4.4595	26757	244.499	5115.42	4339.52	0	0	25451.2	0
142000	142	4.52118	27127.1	249.541	5040.31	4730.54	0	0	25071.2	0
143000	143	4.31373	25882.4	247.931	5297.99	4087.61	0	0	25341.7	0
144000	144	4.36288	26177.3	247.04	5264.62	4633.28	0	0	25037.4	0
145000	145	4.48264	26895.9	242.709	5625.55	4286.33	0	0	25266.3	0
146000	146	4.45238	26714.3	245.171	5153.52	4507.36	0	0	25692.8	0
147000	147	4.3479	26087.4	237.574	5418.95	4609.52	0	0	25827.8	0
148000	148	4.59855	27591.3	243.981	5049.28	4521.49	0	0	25697.1	0
149000	149	4.46726	26803.5	248.868	5254.61	4396.59	0	0	25553.8	0
150000	150	4.38402	26304.1	242.348	5248.03	4453.15	0	0	25311.1	0
151000	151	4.39148	26348.9	245.135	5151.93	4387.46	0	0	25731.7	0
152000	152	4.40728	26443.7	245.698	5138.39	4402	0	0	25464.8	0
153000	153	4.45154	26709.2	245.15	5085.04	4384.81	0	0	25912.2	0
154000	154	4.36072	26164.3	253.476	5234.3	4346.58	0	0	26129.9	0
155000	155	4.34038	26042.3	251.103	5234.48	4470.92	0	0	25657.2	0
156000	156	4.43468	26608.1	247.374	5194.91	4376.5	0	0	25624.5	0
157000	157	4.48496	26909.8	256.729	5253.01	4453.33	0	0	25546	0
158000	158	4.34432	26065.9	254.049	4922.41	4606.39	0	0	25222.6	0
159000	159	4.4252	26551.2	252.145	5349.99	4410.16	0	0	25245.1	0
160000	160	4.30436	25826.1	235.636	5385.22	4594.5	0	0	25611.6	0
161000	161	4.52867	27172	251.09	5331.89	4331.57	0	0	25220.7	0
162000	162	4.47003	26820.2	254.399	5128.62	4294.21	0	0	25254.5	0
163000	163	4.44729	26683.8	244.732	5066.02	4334.1	0	0	25591.3	0
164000	164	4.38279	26296.7	249.945	5328.36	4561.91	0	0	25706.4	0
165000	165	4.45204	26712.3	247.02	5029.05	4385.11	0	0	25691.1	0
166000	166	4.40922	26455.3	238.463	5217.07	4520.99	0	0	25815.1	0
167000	167	4.44844	26690.6	251.026	4884	4359.1	0	0	25538.9	0
168000	168	4.41834	26510	243.17	5086.87	4426.74	0	0	25573.9	0
169000	169	4.53476	27208.6	253.776	5091.33	4604.61	0	0	25793.8	0
170000	170	4.54523	27271.4	252.136	5138.74	4491.44	0	0	25533.5	0
171000	171	4.44979	26698.7	246.438	5141.93	4415.56	0	0	25936.5	0
172000	172	4.39532	26371.9	255.966	5279.42	4496.47	0	0	25851.5	0
173000	173	4.34863	26091.8	251.966	5258.22	4394.11	0	0	25699.8	0
174000	174	4.47534	26852	242.67	5046.31	4317.09	0	0	25641	0
