step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.42777	26566.6	242.159	5372.57	4566.98	0	0	25430.7	0
2000	2	4.49887	26993.2	248.678	5378.92	4095.84	0	0	25549.6	0
3000	3	4.48271	26896.2	249.333	5360.01	4204.35	0	0	25444.1	0
4000	4	4.41469	26488.1	247.261	5125.3	4569.52	0	0	25556.2	0
5000	5	4.36572	26194.3	251.116	5256.52	4471.17	0	0	26230.4	0
6000	6	4.50742	27044.5	249.567	5024.63	4446.37	0	0	25221.7	0
7000	7	4.4356	26613.6	241.254	4991.27	4378.91	0	0	25070.9	0
8000	8	4.40584	26435	241.67	5146.81	4374	0	0	25513.2	0
9000	9	4.46474	26788.4	244.551	5094.31	4519.08	0	0	25221.6	0
10000	10	4.51716	27103	246.479	5362.44	4679.66	0	0	25515.2	0
11000	11	4.41653	26499.2	243.558	5305.43	4621.92	0	0	25547.1	0
12000	12	4.42988	26579.3	239.39	5125.64	4594.21	0	0	25478.1	0
13000	13	4.48487	26909.2	230.4	5285.66	4452.22	0	0	25309.1	0
14000	14	4.41295	26477.7	237.92	5355.26	4364.48	0	0	25501.4	0
15000	15	4.46035	26762.1	233.832	5390.72	4680.6	0	0	25403.7	0
16000	16	4.36726	26203.5	242.858	5218.33	4428.89	0	0	25435	0
17000	17	4.53794	27227.6	236.296	5384.01	4769.58	0	0	25041.1	0
18000	18	4.40943	26456.6	243.956	5148.22	4633.47	0	0	25343.4	0
19000	19	4.42674	26560.4	248.638	5284.61	4481.58	0	0	25402.7	0
20000	20	4.48232	26893.9	249.429	5194.53	4355.62	0	0	24970.4	0
21000	21	4.3849	26309.4	246.134	5434.01	4521.14	0	0	25099.5	0
22000	22	4.43686	26621.2	241.876	4958.41	4520.29	0	0	25175.4	0
23000	23	4.4377	26626.2	254.097	5523.54	4358.76	0	0	25109.8	0
24000	24	4.47645	26858.7	248.837	5106.23	4435.2	0	0	24875.3	0
25000	25	4.46399	26784	248.453	5383.27	4708.56	0	0	25399.9	0
26000	26	4.41632	26497.9	257.361	5327.23	4183.98	0	0	25066	0
27000	27	4.33849	26031	245.906	5485.86	4620.78	0	0	25416	0
28000	28	4.43166	26589.9	255.793	5045.32	4373.1	0	0	25050.2	0
29000	29	4.4218	26530.8	241.144	5295.87	4414.16	0	0	25569.6	0
30000	30	4.39967	26398	243.499	5346.89	4307.74	0	0	25031.6	0
31000	31	4.47668	26860.1	254.336	5216.31	4312.94	0	0	25419.6	0
32000	32	4.4516	26709.6	255.912	5498.6	4654.21	0	0	25501.5	0
33000	33	4.47974	26878.4	245.878	5324.51	4685.19	0	0	25609.5	0
34000	34	4.5191	27114.6	243.444	5252.79	4599.53	0	0	25498.3	0
35000	35	4.39826	26389.6	253.464	5561.16	4379.82	0	0	26027.2	0
36000	36	4.43902	26634.1	261.369	5250.11	4396.48	0	0	25512.1	0
37000	37	4.41537	26492.2	253.132	5224.6	4467.85	0	0	25544	0
38000	38	4.46111	26766.7	244.529	5126.52	4279.95	0	0	25530.1	0
39000	39	4.37297	26237.8	236.651	5014.09	4496.68	0	0	25521.2	0
40000	40	4.41032	26461.9	247.271	5569.85	4477.19	0	0	25522.8	0
41000	41	4.42121	26527.3	248.42	5484.15	4520.75	0	0	25430.3	0
42000	42	4.38278	26296.7	256.372	5069.74	4478.64	0	0	25701.7	0
43000	43	4.43086	26585.1	242.003	5384.63	4488.35	0	0	26158.2	0
44000	44	4.44174	26650.4	245.861	5038.27	4509.88	0	0	25342.4	0
45000	45	4.50937	27056.2	246.941	5548.36	4353.36	0	0	25823.6	0
46000	46	4.30796	25847.8	248.578	5204.61	4302.65	0	0	25480.2	0
47000	47	4.48535	26912.1	246.553	5044.63	4388.24	0	0	25240.4	0
48000	48	4.35806	26148.4	244.104	5333.27	4356.18	0	0	25747.5	0
49000	49	4.4444	26666.4	241.967	4906.51	4542.31	0	0	25414.6	0
50000	50	4.39797	26387.8	242.02	5227.81	4488.38	0	0	25687.5	0
51000	51	4.3925	26355	242.834	5138.01	4346.3	0	0	25472.8	0
52000	52	4.49186	26951.2	253.738	5191.89	4247.65	0	0	25739.5	0
53000	53	4.40331	26419.9	249.126	5168.38	4477.79	0	0	25366.4	0
54000	54	4.33138	25988.3	252.297	4810.64	4514.48	0	0	26000.2	0
55000	55	4.4567	26740.2	247.806	5296.4	4619.5	0	0	25601.3	0
56000	56	4.42491	26549.5	249.093	5064.5	4595.31	0	0	25648.2	0
57000	57	4.51746	27104.8	260.282	5380.39	4539.03	0	0	25442.4	0
58000	58	4.59469	27568.1	244.442	5155.77	4329.79	0	0	25447.2	0
