step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	count_0
0	0	2.66784	16007	231.739	5260.21	4145.55	0	0	25269.5	0
1000	1	4.38914	26334.8	242.213	5269.02	4319.58	0	0	24833.1	0
2000	2	4.41961	26517.7	247.342	5078.24	4466.55	0	0	25463.4	0
3000	3	4.39191	26351.4	245.755	5243.18	4383.19	0	0	25271.7	0
4000	4	4.46979	26818.8	258.482	5349.72	4400.52	0	0	25720.8	0
5000	5	4.38902	26334.1	244.839	4905.93	4286.36	0	0	25256.1	0
6000	6	4.33321	25999.3	242.625	5182.13	4479.1	0	0	25016.6	0
7000	7	4.38514	26310.8	229.337	5108.69	4207.17	0	0	25446.6	0
8000	8	4.37337	26240.2	243.174	5472.68	4311.92	0	0	25335.3	0
9000	9	4.44017	26641	248.792	5172.68	4475.96	0	0	25730.1	0
10000	10	4.44916	26694.9	250.363	5049.56	4411.43	0	0	26005.6	0
11000	11	4.48413	26904.8	249.552	5131.91	4469.36	0	0	25584.8	0
12000	12	4.43783	26627	243.041	4858.93	4366.95	0	0	25572	0
13000	13	4.36407	26184.4	244.409	5021.87	4591.44	0	0	25659.2	0
14000	14	4.40285	26417.1	250.009	5430.89	4376.09	0	0	25865.4	0
15000	15	4.43445	26606.7	247.611	5277.63	4823.73	0	0	25337.8	0
16000	16	4.46808	26808.5	245.619	5056.58	4340.26	0	0	25757.6	0
17000	17	4.44062	26643.7	245.435	5359.45	4494	0	0	25847.4	0
18000	18	4.51145	27068.7	250.323	5022.48	4636.36	0	0	25564	0
19000	19	4.41431	26485.9	252.838	5194.62	4377.22	0	0	25935.7	0
20000	20	4.50403	27024.2	240.656	5267.71	4330.04	0	0	25064	0
21000	21	4.41333	26480	242.713	5125.99	4186.4	0	0	25515.7	0
22000	22	4.40317	26419	244.434	5340.22	4473.02	0	0	25633.6	0
23000	23	4.33658	26019.5	240.107	5088.21	4381.58	0	0	25464.1	0
24000	24	4.3833	26299.8	236.215	5161.31	4271.32	0	0	25320.6	0
25000	25	4.408	26448	242.888	5240.48	4527.84	0	0	25353.7	0
26000	26	4.41958	26517.5	247.889	5195.07	4176.12	0	0	25397.8	0
27000	27	4.31736	25904.2	261.547	5558.49	4199.95	0	0	25521.1	0
28000	28	4.42133	26528	243.134	5105.43	4449.52	0	0	25490.9	0
29000	29	4.38439	26306.4	250.248	5322.45	4312.72	0	0	25582.5	0
30000	30	4.2594	25556.4	253.951	5319.27	4608.52	0	0	26086.8	0
31000	31	4.4349	26609.4	255.765	5512.76	4542.84	0	0	25332.7	0
32000	32	4.53162	27189.7	240.356	5288.71	4431.62	0	0	25178.9	0
33000	33	4.49871	26992.3	247.621	5251.15	4414.16	0	0	25452.7	0
34000	34	4.42639	26558.3	248.012	5213.15	4740.95	0	0	25738.6	0
35000	35	4.42511	26550.6	244.689	5146.41	4561.44	0	0	25103.7	0
36000	36	4.40311	26418.6	240.393	4946.62	4682.69	0	0	25199.3	0
37000	37	4.37224	26233.4	248.886	5266.93	4573.71	0	0	25322.8	0
38000	38	4.49049	26943	243.81	5015.26	4380	0	0	25333.4	0
39000	39	4.48293	26897.6	243.503	5169.03	4307.94	0	0	25285.4	0
40000	40	4.45966	26757.9	233.271	5342.73	4532.04	0	0	25542.2	0
41000	41	4.39671	26380.2	243.245	5231.22	4120.1	0	0	25398	0
42000	42	4.41691	26501.5	250.129	5478.87	4539.28	0	0	24885.5	0
43000	43	4.42162	26529.7	252.098	5186.76	4333.71	0	0	25351.2	0
44000	44	4.45229	26713.7	244.888	5548.18	4363.56	0	0	25574.6	0
45000	45	4.49612	26976.7	253.783	5160.11	4481.56	0	0	25390.7	0
46000	46	4.44172	26650.3	253.83	4989.4	4438.94	0	0	25299.8	0
47000	47	4.44677	26680.6	253.632	5190.28	4383.42	0	0	25310.2	0
48000	48	4.3849	26309.4	252.334	5218.89	4115.75	0	0	25454.1	0
49000	49	4.45259	26715.6	245.617	5450.82	4531.56	0	0	25925	0
50000	50	4.41484	26489.1	250.129	5354.46	4167.87	0	0	25313.3	0
51000	51	4.52411	27144.6	241.735	5100.61	4341.08	0	0	25098.8	0
52000	52	4.39353	26361.2	248.536	5198.25	4453.43	0	0	25636	0
53000	53	4.49594	26975.7	246.417	5301.96	4613.21	0	0	25361.2	0
54000	54	4.45273	26716.4	243.325	5231.99	4324.83	0	0	25400.3	0
55000	55	4.39377	26362.6	249.562	5367.17	4564.77	0	0	25868.2	0
56000	56	4.42772	26566.3	260.403	5710.74	4536.01	0	0	25907.3	0
57000	57	4.47348	26840.9	248.76	5073.02	4450.07	0	0	25942.1	0
58000	58	4.39782	26386.9	247.794	5112.12	4541.97	0	0	25631.6	0
59000	59	4.38464	26307.8	246.509	5208.69	4277.07	0	0	26070.4	0
60000	60	4.46354	26781.3	250.781	5353.16	4350.4	0	0	25456.2	0
61000	61	4.44073	26644.4	253.875	5249.27	4336.39	0	0	25956.9	0
62000	62	4.40415	26424.9	244.961	4943.23	4511.12	0	0	25330.1	0
63000	63	4.40372	26422.3	251.273	5270.97	4541.58	0	0	25476.7	0
