# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
2.200000000000000000e+01 1.978000000000000000e+03 1.011122345803842304e+00 1.021999999999943176e+00 1.011122345803842304e+00 1.010757999999943868e+00
4.000000000000000000e+01 1.960000000000000000e+03 1.020408163265306145e+00 1.039999999999941638e+00 1.020408163265306145e+00 1.019199999999942818e+00
6.000000000000000000e+01 1.940000000000000000e+03 1.030927835051546282e+00 1.061999999999940547e+00 1.030927835051546282e+00 1.030139999999942546e+00
8.200000000000000000e+01 1.918000000000000000e+03 1.042752867570385877e+00 1.086999999999939348e+00 1.042752867570385877e+00 1.042432999999941767e+00
1.060000000000000000e+02 1.894000000000000000e+03 1.055966209081309337e+00 1.114999999999938041e+00 1.055966209081309337e+00 1.055904999999941474e+00
1.210000000000000000e+02 1.879000000000000000e+03 1.064395955295369900e+00 1.133999999999937724e+00 1.064395955295369900e+00 1.065392999999941415e+00
1.430000000000000000e+02 1.857000000000000000e+03 1.077005923532579512e+00 1.161999999999937083e+00 1.077005923532579512e+00 1.078916999999941506e+00
1.680000000000000000e+02 1.832000000000000000e+03 1.091703056768559055e+00 1.189999999999937330e+00 1.091703056768559055e+00 1.090039999999942388e+00
1.850000000000000000e+02 1.815000000000000000e+03 1.101928374655647414e+00 1.214999999999936353e+00 1.101928374655647414e+00 1.102612499999942264e+00
2.000000000000000000e+02 1.800000000000000000e+03 1.111111111111111160e+00 1.235999999999935595e+00 1.111111111111111160e+00 1.112399999999941880e+00
2.160000000000000000e+02 1.784000000000000000e+03 1.121076233183856408e+00 1.254999999999936389e+00 1.121076233183856408e+00 1.119459999999943278e+00
2.240000000000000000e+02 1.776000000000000000e+03 1.126126126126126170e+00 1.264999999999936175e+00 1.126126126126126170e+00 1.123319999999943253e+00
2.360000000000000000e+02 1.764000000000000000e+03 1.133786848072562359e+00 1.280999999999936190e+00 1.133786848072562359e+00 1.129841999999943614e+00
2.550000000000000000e+02 1.745000000000000000e+03 1.146131805157593053e+00 1.307999999999936325e+00 1.146131805157593053e+00 1.141229999999944456e+00
2.770000000000000000e+02 1.723000000000000000e+03 1.160766105629715605e+00 1.337999999999936573e+00 1.160766105629715605e+00 1.152686999999945394e+00
2.930000000000000000e+02 1.707000000000000000e+03 1.171646162858816620e+00 1.357999999999937257e+00 1.171646162858816620e+00 1.159052999999946376e+00
3.020000000000000000e+02 1.698000000000000000e+03 1.177856301531213123e+00 1.370999999999937380e+00 1.177856301531213123e+00 1.163978999999946806e+00
3.130000000000000000e+02 1.687000000000000000e+03 1.185536455245998821e+00 1.384999999999937614e+00 1.185536455245998821e+00 1.168247499999947481e+00
3.320000000000000000e+02 1.668000000000000000e+03 1.199040767386091222e+00 1.408999999999938746e+00 1.199040767386091222e+00 1.175105999999948914e+00
3.410000000000000000e+02 1.659000000000000000e+03 1.205545509342977661e+00 1.422999999999938758e+00 1.205545509342977661e+00 1.180378499999949149e+00
3.640000000000000000e+02 1.636000000000000000e+03 1.222493887530562429e+00 1.454999999999939675e+00 1.222493887530562429e+00 1.190189999999950565e+00
3.730000000000000000e+02 1.627000000000000000e+03 1.229256299938537245e+00 1.467999999999940020e+00 1.229256299938537245e+00 1.194217999999951152e+00
3.940000000000000000e+02 1.606000000000000000e+03 1.245330012453300217e+00 1.499999999999940270e+00 1.245330012453300217e+00 1.204499999999951942e+00
4.160000000000000000e+02 1.584000000000000000e+03 1.262626262626262541e+00 1.529999999999941185e+00 1.262626262626262541e+00 1.211759999999953541e+00
4.270000000000000000e+02 1.573000000000000000e+03 1.271455816910362469e+00 1.544999999999941309e+00 1.271455816910362469e+00 1.215142499999953829e+00
4.390000000000000000e+02 1.561000000000000000e+03 1.281229980781550370e+00 1.572999999999941556e+00 1.281229980781550370e+00 1.227726499999954202e+00
4.510000000000000000e+02 1.549000000000000000e+03 1.291155584247901889e+00 1.596999999999942021e+00 1.291155584247901889e+00 1.236876499999955081e+00
