# cr len_gsub, pn, pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
1.740000000000000000e+02 1.826000000000000000e+03 1.095290251916757995e+00 1.078252999999943285e+00
3.280000000000000000e+02 1.672000000000000000e+03 1.196172248803827776e+00 1.156187999999949811e+00
4.490000000000000000e+02 1.551000000000000000e+03 1.289490651192778836e+00 1.242350999999955130e+00
5.580000000000000000e+02 1.442000000000000000e+03 1.386962552011095751e+00 1.303567999999960980e+00
6.670000000000000000e+02 1.333000000000000000e+03 1.500375093773443469e+00 1.366991499999981707e+00
7.360000000000000000e+02 1.265000000000000000e+03 1.581027667984189700e+00 1.406680000000027464e+00
8.120000000000000000e+02 1.189000000000000000e+03 1.682085786375105085e+00 1.465442500000029735e+00
8.750000000000000000e+02 1.126000000000000000e+03 1.776198934280639463e+00 1.502647000000026711e+00
9.320000000000000000e+02 1.069000000000000000e+03 1.870907390084190824e+00 1.556464000000026937e+00
9.800000000000000000e+02 1.021000000000000000e+03 1.958863858961802151e+00 1.591228500000025692e+00
1.026000000000000000e+03 9.750000000000000000e+02 2.051282051282051100e+00 1.599000000000023070e+00
1.066000000000000000e+03 9.350000000000000000e+02 2.139037433155080326e+00 1.599317500000020820e+00
1.099000000000000000e+03 9.020000000000000000e+02 2.217294900221729481e+00 1.632169000000020409e+00
1.131000000000000000e+03 8.700000000000000000e+02 2.298850574712643535e+00 1.673010000000019870e+00
1.160000000000000000e+03 8.410000000000000000e+02 2.378121284185493511e+00 1.708911999999995546e+00
1.174000000000000000e+03 8.270000000000000000e+02 2.418379685610640983e+00 1.715611499999984968e+00
1.195000000000000000e+03 8.060000000000000000e+02 2.481389578163771592e+00 1.755467999999976492e+00
1.217000000000000000e+03 7.840000000000000000e+02 2.551020408163265252e+00 1.761255999999976840e+00
1.238000000000000000e+03 7.630000000000000000e+02 2.621231979030144377e+00 1.748795999999976702e+00
1.257000000000000000e+03 7.440000000000000000e+02 2.688172043010752521e+00 1.790063999999976341e+00
1.272000000000000000e+03 7.290000000000000000e+02 2.743484224965706542e+00 1.855669499999973437e+00
1.296000000000000000e+03 7.060000000000000000e+02 2.832861189801699542e+00 1.858897999999974626e+00
1.309000000000000000e+03 6.930000000000000000e+02 2.886002886002886125e+00 1.890503999999974205e+00
1.324000000000000000e+03 6.780000000000000000e+02 2.949852507374631116e+00 1.891619999999975432e+00
1.330000000000000000e+03 6.720000000000000000e+02 2.976190476190476275e+00 1.873871999999976445e+00
1.344000000000000000e+03 6.580000000000000000e+02 3.039513677811550352e+00 1.864442999999975870e+00
1.356000000000000000e+03 6.460000000000000000e+02 3.095975232198142635e+00 1.906991999999976706e+00
1.366000000000000000e+03 6.360000000000000000e+02 3.144654088050314655e+00 1.912451999999977836e+00
1.369000000000000000e+03 6.340000000000000000e+02 3.154574132492113492e+00 1.885832999999978776e+00
1.373000000000000000e+03 6.300000000000000000e+02 3.174603174603174427e+00 1.880864999999979359e+00
1.380000000000000000e+03 6.230000000000000000e+02 3.210272873194221610e+00 1.873672499999980090e+00
1.393000000000000000e+03 6.110000000000000000e+02 3.273322422258592379e+00 1.912735499999980604e+00
1.400000000000000000e+03 6.040000000000000000e+02 3.311258278145695400e+00 1.902297999999980505e+00
1.404000000000000000e+03 5.990000000000000000e+02 3.338898163606009994e+00 1.909312499999980872e+00
1.412000000000000000e+03 5.910000000000000000e+02 3.384094754653130366e+00 1.895041499999982504e+00
1.414000000000000000e+03 5.890000000000000000e+02 3.395585738539898202e+00 1.895990999999981996e+00
