# chidx ee rg n
0 1.3600 2.5520 111.0000
1 1.0370 0.7790 21.0000
2 1.5840 1.0720 36.0000
3 1.2790 0.8660 27.0000
4 2.6410 1.4670 56.0000
5 1.8920 1.7540 57.0000
6 1.5690 1.3140 57.0000
7 1.9720 1.1310 35.0000
8 1.3700 0.5610 12.0000
9 0.2570 1.2860 36.0000
10 0.8210 1.6890 77.0000
11 1.0350 0.7120 20.0000
12 1.5460 1.1800 61.0000
13 1.7720 0.8830 28.0000
14 1.7600 1.0710 39.0000
15 0.2570 0.9480 31.0000
16 1.0560 0.5650 12.0000
17 2.4710 1.4240 51.0000
18 1.8980 1.2300 76.0000
19 0.2570 0.6790 17.0000
20 1.1650 0.6850 16.0000
21 1.0960 0.8740 24.0000
22 0.2570 1.3650 51.0000
23 2.0320 1.2410 39.0000
24 1.2560 0.5840 13.0000
25 0.7780 0.3640 8.0000
26 0.2570 0.6520 16.0000
27 1.1140 0.5620 11.0000
28 0.2570 1.2860 40.0000
29 1.7000 1.4560 85.0000
30 1.1240 0.5770 12.0000
31 2.0690 1.0570 35.0000
32 1.0220 0.8920 23.0000
33 0.8010 0.7560 20.0000
34 1.2080 0.9890 35.0000
35 1.9890 1.7840 135.0000
36 1.0320 0.9970 32.0000
37 1.6770 1.1180 32.0000
38 0.8200 1.2120 35.0000
39 2.2860 0.9910 32.0000
40 1.0060 0.5640 12.0000
41 0.8810 0.4550 8.0000
42 1.7470 1.0350 33.0000
43 0.8130 0.4800 9.0000
44 0.8800 0.4300 7.0000
45 0.2570 0.9080 23.0000
46 0.2570 0.4540 8.0000
47 0.2570 1.0610 31.0000
48 0.8080 0.4850 12.0000
49 1.5320 1.0410 57.0000
50 1.7970 0.8150 23.0000
51 2.0340 1.0210 36.0000
52 1.0640 0.8390 19.0000
53 0.8060 0.8230 23.0000
54 1.1450 0.4830 9.0000
55 1.2810 0.9230 32.0000
56 0.8060 1.0170 47.0000
57 0.8820 0.3030 4.0000
58 1.1160 0.4570 8.0000
59 1.2150 1.2810 44.0000
60 2.8900 1.4230 59.0000
61 1.0340 1.4630 60.0000
62 0.2570 0.4490 8.0000
63 1.5610 0.7820 21.0000
64 1.1590 0.6420 15.0000
65 1.6200 1.0390 29.0000
66 1.0290 0.6490 15.0000
67 1.6620 1.0080 33.0000
68 1.5130 1.5680 60.0000
69 1.0780 0.6430 17.0000
70 1.3340 0.5650 12.0000
71 1.7220 1.0930 36.0000
72 1.5240 1.8500 89.0000
73 0.2570 0.3030 4.0000
74 1.4970 1.0220 36.0000
75 1.0250 0.4670 8.0000
76 0.8070 0.9030 24.0000
77 1.3900 1.1870 37.0000
78 1.1780 0.7670 19.0000
79 1.9950 1.0660 32.0000
80 1.3740 1.0000 40.0000
81 0.2570 0.6300 15.0000
82 1.2180 0.6900 15.0000
83 1.0500 0.8040 24.0000
84 1.1470 0.9450 36.0000
85 1.2530 1.0050 28.0000
86 1.0450 0.5720 11.0000
87 0.2570 0.6170 20.0000
88 0.8130 0.9370 33.0000
89 1.9760 1.0100 35.0000
90 2.3400 1.3320 63.0000
91 0.8810 0.3030 4.0000
92 1.2030 0.8600 28.0000
93 0.2570 1.1300 47.0000
94 1.0880 0.4530 8.0000
95 0.8090 0.8140 20.0000
96 1.4280 0.8080 28.0000
97 0.2570 0.4700 9.0000
98 1.2160 0.8730 29.0000
99 1.5620 0.6320 13.0000
100 0.2570 0.7530 19.0000
101 0.2570 0.9410 31.0000
102 1.2180 0.7480 20.0000
103 0.8820 0.4600 8.0000
104 0.2560 0.4770 9.0000
105 0.2570 0.4640 8.0000
106 1.8010 1.1320 39.0000
107 1.2830 0.7570 19.0000
108 0.8180 0.6510 15.0000
109 1.1660 0.6730 15.0000
110 0.2570 0.6350 15.0000
111 1.5200 0.6690 16.0000
112 1.5390 1.0640 32.0000
113 0.8810 0.4430 7.0000
114 0.8100 0.4580 8.0000
115 0.2570 1.3080 35.0000
116 1.5620 0.7530 20.0000
117 1.1070 0.5530 11.0000
118 0.2560 0.5860 12.0000
119 1.0160 0.5890 12.0000
120 0.2570 0.4850 9.0000
121 2.1340 1.3770 44.0000
122 1.1280 0.6370 15.0000
123 0.8810 0.4600 8.0000
124 2.1310 0.9880 35.0000
125 0.2570 0.3030 4.0000
126 0.8810 0.3030 4.0000
127 1.0890 0.6490 16.0000
128 1.1370 0.4830 9.0000
129 1.3650 0.7080 16.0000
130 0.2560 0.3640 8.0000
131 0.2570 0.5840 12.0000
132 0.2570 0.3640 8.0000
133 0.8810 0.6470 15.0000
134 0.2570 0.5660 12.0000
135 1.1590 0.7440 20.0000
136 0.8020 0.4890 9.0000
137 0.2570 0.4450 7.0000
138 1.1860 0.4670 8.0000
139 0.8820 0.4550 8.0000
140 0.2560 0.3310 5.0000
141 0.8200 0.5880 12.0000
142 0.8030 0.5960 13.0000
143 1.0380 0.4830 9.0000
144 0.2570 0.4560 8.0000
145 0.8060 0.5750 12.0000
146 1.0080 0.4540 8.0000
147 0.2570 0.4320 7.0000
148 0.8130 0.4760 9.0000
149 1.4670 0.6080 13.0000
150 0.8810 0.3030 4.0000
151 0.8030 0.4570 8.0000
152 0.2570 0.3320 5.0000
153 0.7830 0.3640 8.0000
154 0.8030 0.4590 8.0000
155 0.8810 0.4330 7.0000
156 0.2570 0.3030 4.0000
157 0.8220 0.5720 11.0000
158 0.8020 0.3320 5.0000
159 0.8810 0.3030 4.0000
160 0.2570 0.4410 7.0000
161 0.8260 0.5770 11.0000
162 0.8820 0.3030 4.0000
163 0.8810 0.4360 7.0000
164 0.2570 0.4360 7.0000
165 0.2560 0.4440 7.0000
