# chidx ee rg n
0 1.5770 1.7720 92.0000
1 2.7130 2.3770 179.0000
2 2.4580 1.2190 64.0000
3 1.8590 1.1180 52.0000
4 2.5050 1.2630 61.0000
5 7.3290 2.9640 120.0000
6 2.5230 1.4870 89.0000
7 1.5160 1.1520 57.0000
8 1.6600 1.3460 63.0000
9 2.0630 2.0790 80.0000
10 2.4830 1.9860 71.0000
11 3.7310 2.1020 80.0000
12 1.0570 1.5960 107.0000
13 0.2570 0.5600 16.0000
14 0.8810 0.5910 12.0000
15 1.5530 1.9470 124.0000
16 0.2570 0.4830 9.0000
17 1.3950 2.2060 144.0000
18 2.0970 1.6650 79.0000
19 2.0830 1.5280 68.0000
20 1.2110 1.6660 111.0000
21 2.4260 1.2370 49.0000
22 0.8090 0.9380 24.0000
23 1.4420 0.8610 40.0000
24 0.2570 0.6780 16.0000
25 2.9740 2.0020 109.0000
26 1.0780 1.7560 55.0000
27 1.9050 1.7390 87.0000
28 1.1680 0.9570 32.0000
29 0.8080 0.6920 15.0000
30 2.4460 1.6050 72.0000
31 2.1640 1.3800 59.0000
32 2.2460 0.8770 25.0000
33 1.4760 0.9670 41.0000
34 1.2040 1.3790 56.0000
35 2.5530 2.1370 119.0000
36 0.2570 1.4080 115.0000
37 0.2570 0.7680 19.0000
38 1.1450 1.2020 44.0000
39 0.2570 1.2890 48.0000
40 1.5160 0.8750 29.0000
41 1.7270 0.9380 37.0000
42 1.5560 1.4010 64.0000
43 1.0240 0.8530 28.0000
44 1.7230 1.0880 47.0000
45 2.1590 1.2610 39.0000
46 2.2170 1.5940 79.0000
47 1.0010 0.4840 12.0000
48 1.5320 2.3750 123.0000
49 2.0390 0.9350 29.0000
50 0.8200 0.9900 23.0000
51 1.9820 0.9630 27.0000
52 1.4430 0.8860 36.0000
53 2.4970 1.3840 68.0000
54 1.0380 0.8350 28.0000
55 1.3500 0.9300 24.0000
56 0.8190 0.4850 12.0000
57 0.8820 0.4500 7.0000
58 1.0500 0.9700 36.0000
59 2.5540 1.3420 51.0000
60 0.8810 0.5610 12.0000
61 0.8020 0.6190 15.0000
62 0.8200 0.5910 12.0000
63 1.8580 0.8870 25.0000
64 1.3750 0.8780 35.0000
65 0.2570 0.6870 16.0000
66 0.8030 0.7030 16.0000
67 0.9880 0.4850 12.0000
68 0.2560 0.4840 12.0000
69 1.1700 0.9180 25.0000
70 1.4610 0.7500 20.0000
71 1.9120 1.1500 35.0000
72 0.8130 0.3310 5.0000
73 1.2950 0.5510 12.0000
74 1.3600 0.9450 36.0000
75 0.2560 0.7980 20.0000
76 0.2570 0.3030 4.0000
77 0.2570 0.3650 8.0000
78 0.2560 0.4580 8.0000
79 0.8820 0.4440 7.0000
80 0.8820 0.4420 7.0000
81 1.0730 0.5670 12.0000
82 0.8160 0.4860 12.0000
83 0.2570 0.3650 8.0000
84 0.2570 0.4620 8.0000
85 0.8030 0.8580 24.0000
86 0.7760 0.3650 8.0000
87 1.0490 0.8670 23.0000
88 0.8120 0.5470 16.0000
89 0.8810 0.4380 7.0000
90 0.8820 0.4600 8.0000
91 0.2560 0.4420 7.0000
