# chidx ee rg n
0 1.1140 0.7030 17.0000
1 0.2570 0.5510 11.0000
2 2.5680 1.2880 68.0000
3 1.0140 0.4570 8.0000
4 0.2570 0.7560 20.0000
5 1.8180 1.1260 36.0000
6 0.8160 1.3660 104.0000
7 1.1470 1.1090 36.0000
8 1.0440 1.3020 76.0000
9 1.2900 0.7720 28.0000
10 1.0170 0.9390 28.0000
11 1.3110 0.7590 20.0000
12 1.4920 1.2800 71.0000
13 0.2570 1.1820 36.0000
14 0.2570 0.5610 11.0000
15 2.4620 1.6970 113.0000
16 1.7720 0.7740 20.0000
17 2.5370 1.1680 36.0000
18 1.0200 0.4880 9.0000
19 1.0870 0.5510 12.0000
20 1.5590 1.9340 116.0000
21 1.3840 1.2570 56.0000
22 0.2570 0.7990 20.0000
23 1.1090 0.9700 31.0000
24 0.8170 0.7540 19.0000
25 3.0060 1.4870 55.0000
26 0.2570 1.2200 31.0000
27 2.1460 1.3740 59.0000
28 0.8820 0.7590 19.0000
29 0.8140 1.1920 32.0000
30 1.7350 0.8930 25.0000
31 1.1760 0.5650 11.0000
32 0.2570 0.8550 23.0000
33 0.2560 0.9350 32.0000
34 1.4450 0.7490 20.0000
35 0.8040 0.9580 25.0000
36 0.8820 0.6610 15.0000
37 1.6760 1.1090 63.0000
38 0.2570 0.7420 19.0000
39 0.2570 1.0410 36.0000
40 1.9560 2.0880 85.0000
41 1.2050 0.6540 16.0000
42 1.2530 1.3370 59.0000
43 0.2570 0.6700 16.0000
44 2.4560 1.4520 64.0000
45 0.8140 0.6850 16.0000
46 1.0330 0.6930 17.0000
47 2.7560 1.2980 60.0000
48 0.8160 0.4860 9.0000
49 1.6100 1.1590 44.0000
50 1.5200 0.9410 32.0000
51 2.6150 1.6480 72.0000
52 0.2570 0.7110 16.0000
53 3.5880 2.2540 95.0000
54 1.3290 0.6040 13.0000
55 1.5510 0.9010 24.0000
56 1.0230 0.6190 13.0000
57 1.0380 0.7350 19.0000
58 1.6730 1.3930 64.0000
59 1.1240 1.4090 67.0000
60 1.0220 0.9630 31.0000
61 2.0980 0.9370 31.0000
62 0.2570 0.4390 7.0000
63 1.8800 1.9310 84.0000
64 1.7750 0.8600 24.0000
65 1.5540 1.3900 43.0000
66 1.2500 0.8450 21.0000
67 2.4860 1.4570 48.0000
68 0.2570 0.4530 8.0000
69 0.8180 0.4850 12.0000
70 1.8310 0.9980 35.0000
71 1.5440 0.9020 28.0000
72 1.3250 1.4310 56.0000
73 0.2570 0.9220 24.0000
74 1.2740 0.8290 28.0000
75 1.9700 1.1690 35.0000
76 1.1510 0.4630 8.0000
77 0.8160 0.8320 21.0000
78 1.6720 1.0550 27.0000
79 0.2570 0.3030 4.0000
80 0.2570 0.9040 28.0000
81 0.2570 0.5920 12.0000
82 1.1190 0.7180 17.0000
83 0.2560 0.5710 11.0000
84 0.2570 0.5630 11.0000
85 2.1160 1.1120 52.0000
86 1.1950 0.6020 13.0000
87 0.2570 0.4540 8.0000
88 0.2570 0.3030 4.0000
89 1.6680 0.7820 20.0000
90 1.2530 0.9800 29.0000
91 1.3190 0.5920 12.0000
92 1.2520 0.7030 16.0000
93 0.8040 0.7160 16.0000
94 0.2570 0.3640 8.0000
95 1.4410 0.8370 21.0000
96 1.1210 0.4560 8.0000
97 1.6550 1.0890 55.0000
98 0.2570 1.2020 44.0000
99 1.0120 0.7440 19.0000
100 1.3900 0.8570 27.0000
101 0.2570 0.4330 7.0000
102 0.2560 0.3640 8.0000
103 0.8810 0.4530 8.0000
104 0.8050 0.5500 11.0000
105 0.9980 0.6510 17.0000
106 1.3020 1.0380 45.0000
107 0.8190 0.6890 15.0000
108 0.2560 0.3030 4.0000
109 1.3870 0.9830 27.0000
110 0.2570 1.0880 33.0000
111 0.2570 0.3640 8.0000
112 0.2560 0.6720 16.0000
113 0.8140 0.7270 17.0000
114 0.8020 0.4550 8.0000
115 0.8040 0.7570 19.0000
116 0.8820 0.3030 4.0000
117 0.8810 0.5820 12.0000
118 1.5160 0.8740 25.0000
119 0.2570 0.5550 12.0000
120 0.8030 0.5910 12.0000
121 2.0760 1.0760 31.0000
122 0.8110 0.7220 20.0000
123 0.8820 0.3030 4.0000
124 1.6450 0.8920 23.0000
125 0.2570 0.5860 12.0000
126 1.0440 0.6860 16.0000
127 0.2560 0.3310 5.0000
128 1.2170 0.6430 15.0000
129 0.2570 0.5630 11.0000
130 1.1410 0.4830 9.0000
131 1.0180 0.5650 11.0000
132 0.2570 0.3030 4.0000
133 2.0450 0.9840 28.0000
134 0.8150 0.5610 12.0000
135 0.2560 0.4530 8.0000
136 0.8810 0.3030 4.0000
137 0.8130 0.5860 12.0000
138 0.2570 0.6660 15.0000
139 0.2560 0.4530 8.0000
140 0.8820 0.5800 11.0000
141 0.2570 0.4820 9.0000
142 1.4280 0.5860 12.0000
143 0.2570 0.3320 5.0000
144 0.8810 0.3030 4.0000
145 0.2570 0.3030 4.0000
146 0.8810 0.4380 7.0000
147 0.2570 0.4410 7.0000
148 0.8820 0.4420 7.0000
149 0.8820 0.4440 7.0000
150 0.2570 0.4350 7.0000
151 0.8820 0.3030 4.0000
152 0.2560 0.3030 4.0000
153 0.2570 0.3030 4.0000
