# chidx ee rg n
0 5.8920 2.6280 100.0000
1 2.5020 1.3770 59.0000
2 1.1830 0.7650 19.0000
3 1.1630 0.6280 13.0000
4 1.7610 1.3510 69.0000
5 1.8890 0.8940 27.0000
6 1.1190 0.6990 17.0000
7 1.9060 1.7650 152.0000
8 1.5280 1.0090 44.0000
9 2.9600 1.2750 55.0000
10 1.0600 0.6740 16.0000
11 0.8060 0.7540 19.0000
12 1.0350 1.1550 35.0000
13 0.8810 0.4370 7.0000
14 1.9440 1.0100 37.0000
15 0.2570 0.8000 21.0000
16 1.0390 0.9850 39.0000
17 1.3290 1.1660 37.0000
18 1.6980 1.8750 65.0000
19 1.4940 1.2000 32.0000
20 1.0340 0.6940 24.0000
21 0.2570 0.3030 4.0000
22 0.2570 1.3610 68.0000
23 1.4990 1.0000 35.0000
24 0.7830 0.3640 8.0000
25 0.8810 0.3030 4.0000
26 2.1760 1.1810 48.0000
27 2.8290 1.0940 33.0000
28 0.2570 0.5510 11.0000
29 1.4520 1.1700 35.0000
30 0.8080 1.0800 43.0000
31 2.1240 2.1700 93.0000
32 0.2570 0.4660 8.0000
33 0.2570 1.1170 32.0000
34 2.5260 1.4580 71.0000
35 1.3240 0.7190 19.0000
36 1.4800 1.1140 36.0000
37 0.8180 0.6640 15.0000
38 1.6140 1.6640 57.0000
39 1.5060 1.2460 51.0000
40 1.0850 0.5520 11.0000
41 0.2560 0.7970 24.0000
42 0.8170 0.7860 20.0000
43 2.0670 0.8660 24.0000
44 0.8060 0.8380 23.0000
45 0.8090 1.0440 35.0000
46 1.5240 0.7910 20.0000
47 2.0520 2.4940 135.0000
48 0.2570 0.3030 4.0000
49 1.8870 0.8920 23.0000
50 4.4790 2.2400 135.0000
51 0.2570 0.8910 24.0000
52 2.1450 0.8190 20.0000
53 1.2310 1.0300 40.0000
54 1.1740 0.9070 23.0000
55 3.2090 1.5420 47.0000
56 1.3620 1.4700 88.0000
57 0.2570 0.5750 12.0000
58 0.8060 0.9340 36.0000
59 0.8130 0.7990 20.0000
60 1.8310 0.9300 28.0000
61 0.2570 0.8520 21.0000
62 0.8130 0.4800 9.0000
63 0.2570 0.4500 8.0000
64 1.8170 1.1960 48.0000
65 0.2570 0.3030 4.0000
66 2.2280 1.3070 44.0000
67 3.7790 1.5830 63.0000
68 1.0180 0.5550 11.0000
69 1.1220 0.7680 19.0000
70 0.2570 0.5860 13.0000
71 2.1860 1.0310 37.0000
72 0.8810 0.3030 4.0000
73 0.2570 0.4560 8.0000
74 0.8160 0.7980 19.0000
75 1.1620 0.5700 11.0000
76 0.2570 0.5800 12.0000
77 1.0450 0.7520 19.0000
78 1.2230 1.1000 41.0000
79 1.9060 1.3560 67.0000
80 0.8820 0.4410 7.0000
81 1.2750 0.7060 20.0000
82 1.5940 1.1350 47.0000
83 1.0520 0.7620 19.0000
84 1.8350 0.9180 29.0000
85 0.8030 0.9400 31.0000
86 0.2570 0.4580 8.0000
87 1.0110 0.5540 16.0000
88 1.3830 1.3130 56.0000
89 2.1550 1.0370 32.0000
90 0.2570 0.7330 20.0000
91 0.2570 0.8570 24.0000
92 1.0060 0.4860 12.0000
93 1.5190 2.3160 80.0000
94 0.8810 0.4410 8.0000
95 0.7780 0.3640 8.0000
96 0.2560 0.9980 32.0000
97 0.2570 0.4810 9.0000
98 1.2400 0.5780 11.0000
99 1.0130 0.4690 9.0000
100 0.2560 0.4760 9.0000
101 0.2560 1.0710 29.0000
102 1.9080 0.9840 40.0000
103 0.8130 0.4700 8.0000
104 1.7430 1.1750 52.0000
105 0.8810 0.4440 7.0000
106 0.8820 0.4590 8.0000
107 1.5040 0.6690 16.0000
108 0.8030 0.3320 5.0000
109 1.5060 0.6670 16.0000
110 0.8180 0.9300 28.0000
111 1.0670 0.4500 8.0000
112 0.2570 0.6450 15.0000
113 0.2570 0.3030 4.0000
114 1.8320 0.8240 20.0000
115 1.0380 0.6640 16.0000
116 0.2570 0.3320 5.0000
117 1.3510 0.5830 13.0000
118 0.2560 0.4870 9.0000
119 0.8100 0.4510 8.0000
120 1.0150 0.5980 13.0000
121 1.3580 0.5960 12.0000
122 0.2570 0.8920 27.0000
123 1.4620 0.5970 13.0000
124 0.8040 0.4590 8.0000
125 1.0290 0.5890 13.0000
126 1.1380 0.4610 8.0000
127 1.0410 0.5740 11.0000
128 0.8120 0.5690 12.0000
129 0.2570 0.3310 5.0000
130 1.1200 0.8300 27.0000
131 0.8810 0.7570 19.0000
132 0.8810 0.3030 4.0000
133 1.0410 0.5780 12.0000
134 0.2570 0.3030 4.0000
135 0.2570 0.3030 4.0000
136 0.2570 0.4420 7.0000
137 0.8810 0.4410 7.0000
138 0.2560 0.3030 4.0000
139 0.2570 0.3640 8.0000
140 0.2560 0.4610 8.0000
141 0.8820 0.3030 4.0000
142 0.2570 0.4510 8.0000
143 0.2560 0.3030 4.0000
144 0.8820 0.3030 4.0000
145 0.2570 0.6940 15.0000
146 0.2560 0.4490 7.0000
147 0.2560 0.3030 4.0000
148 1.0340 0.4700 8.0000
149 0.8810 0.3030 4.0000
150 0.2570 0.5540 11.0000
151 0.8810 0.3030 4.0000
152 0.8030 0.5660 11.0000
153 0.2560 0.3030 4.0000
