step	time	T	Ekin	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0	Fmax
72000	72	2.48737	14924.2	207.679	2445.08	0	0	-11368.3	0	0	0	7076.27
73000	73	2.44132	14647.9	190.898	2295.39	0	0	-11427.7	0	0	0	7000
74000	74	2.45767	14746	152.897	2334.89	0	0	-11412.1	0	0	0	7678.81
75000	75	2.51998	15119.9	169.296	2423.39	0	0	-11566.3	0	0	0	7000
76000	76	2.51382	15082.9	158.124	2416.18	0	0	-11656.5	0	0	0	7000
77000	77	2.46077	14764.6	174.143	2441.82	0	0	-11926.8	0	0	0	7000
78000	78	2.45168	14710.1	179.923	2355.3	0	0	-11442	0	0	0	7000
79000	79	2.45325	14719.5	169.875	2474.25	0	0	-11577	0	0	0	7000
80000	80	2.45743	14744.6	173.242	2306.03	0	0	-11290.6	0	0	0	7000
81000	81	2.5413	15247.8	191.976	2438.07	0	0	-11399.8	0	0	0	7000
82000	82	2.46246	14774.7	154.123	2577.22	0	0	-11265.7	0	0	0	7000
83000	83	2.51929	15115.8	189.373	2453.79	0	0	-11306.4	0	0	0	7000
84000	84	2.47996	14879.7	177.415	2428.82	0	0	-11550.3	0	0	0	7000
85000	85	2.49509	14970.6	187.757	2521.07	0	0	-11711.6	0	0	0	7000
86000	86	2.44262	14655.7	158.663	2538.06	0	0	-11494	0	0	0	7174.65
87000	87	2.47174	14830.5	180.024	2444.01	0	0	-11484.8	0	0	0	7000
88000	88	2.4565	14739	178.569	2537.8	0	0	-11273	0	0	0	7000
89000	89	2.50363	15021.8	164.996	2275.62	0	0	-11384.6	0	0	0	7000
90000	90	2.51014	15060.9	165.91	2395.14	0	0	-11329.2	0	0	0	7000
91000	91	2.47592	14855.5	190.682	2401.8	0	0	-11333	0	0	0	7000
92000	92	2.51934	15116	180.25	2429.03	0	0	-11763.2	0	0	0	7460.09
93000	93	2.49135	14948.1	201.104	2406.29	0	0	-11634.5	0	0	0	7088.8
94000	94	2.53285	15197.1	194.253	2524.33	0	0	-11615.9	0	0	0	7633.8
95000	95	2.50503	15030.2	166.476	2424.75	0	0	-11430.2	0	0	0	7000
96000	96	2.48586	14915.2	146.34	2553.57	0	0	-11260.3	0	0	0	7000
97000	97	2.49654	14979.3	160.706	2357.53	0	0	-11162.7	0	0	0	7364.14
98000	98	2.50258	15015.5	156.208	2489.15	0	0	-11308	0	0	0	7068.56
99000	99	2.48646	14918.8	191.539	2380.07	0	0	-11440.1	0	0	0	7000
100000	100	2.36668	14200.1	174.432	2387.11	0	0	-11410.7	0	0	0	7000
101000	101	2.47284	14837.1	196.382	2449.2	0	0	-11605.8	0	0	0	7697.67
102000	102	2.44745	14684.7	146.813	2562.78	0	0	-11692.2	0	0	0	7000
103000	103	2.50722	15043.3	163.364	2375.85	0	0	-11714.5	0	0	0	7000
104000	104	2.42869	14572.1	167.558	2453.23	0	0	-11247.1	0	0	0	7000
105000	105	2.48024	14881.5	157.242	2421.19	0	0	-11715	0	0	0	7000
106000	106	2.44945	14696.7	174.847	2557.5	0	0	-11397.1	0	0	0	7029.64
107000	107	2.53901	15234.1	161.811	2461.94	0	0	-11304.7	0	0	0	7000
108000	108	2.45636	14738.1	199.571	2542.97	0	0	-11337.5	0	0	0	7000
109000	109	2.48663	14919.8	202.415	2485.85	0	0	-11511.9	0	0	0	7000
110000	110	2.54948	15296.9	150.788	2379.33	0	0	-11384.1	0	0	0	7000
111000	111	2.47174	14830.5	187.183	2376.89	0	0	-11839.3	0	0	0	7000
112000	112	2.45695	14741.7	196.629	2427.37	0	0	-11705.6	0	0	0	7000
113000	113	2.49211	14952.6	197.237	2414.41	0	0	-11472.2	0	0	0	7000
114000	114	2.47339	14840.3	175.506	2522.39	0	0	-11621.3	0	0	0	7202.87
115000	115	2.49667	14980	190.118	2457.62	0	0	-11821	0	0	0	7000
116000	116	2.47707	14862.4	171.247	2361.42	0	0	-11606	0	0	0	7000
