step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
60000	60	4.38564	26313.9	0	5050.29	4515.92	0	25323.4	0	0	0	7661.15
61000	61	4.3913	26347.8	0	4976.95	4485.27	0	25624	0	0	0	7545.24
62000	62	4.33256	25995.4	0	5453.23	4507.02	0	25609.5	0	0	0	8130.74
63000	63	4.39181	26350.9	0	5506.28	4754.05	0	25721.6	0	0	0	7505.57
64000	64	4.46212	26772.7	0	5185.13	4673.86	0	25459.6	0	0	0	7964.01
65000	65	4.46421	26785.3	0	5405.24	4297.42	0	25609.7	0	0	0	10094.6
66000	66	4.42035	26522.1	0	5049.47	4387.76	0	25187.1	0	0	0	7880.51
67000	67	4.39422	26365.3	0	5163.42	4481.99	0	25705.7	0	0	0	7755.22
68000	68	4.39673	26380.4	0	5106.51	4571.09	0	25457.5	0	0	0	7469.75
69000	69	4.4917	26950.2	0	5110.3	4527.95	0	25459.8	0	0	0	8165.69
70000	70	4.49043	26942.6	0	5161.56	4531.16	0	25378	0	0	0	7642.48
71000	71	4.34764	26085.8	0	5302.01	4433.37	0	25505.9	0	0	0	7458.34
72000	72	4.48803	26928.2	0	5288.11	4639.52	0	25632.5	0	0	0	7587.76
73000	73	4.44509	26670.5	0	4904.4	4621.35	0	25445.5	0	0	0	7670.28
74000	74	4.43706	26622.3	0	5192	4393.97	0	25442.6	0	0	0	7637.08
75000	75	4.45978	26758.7	0	5410.69	4252.77	0	25711.3	0	0	0	7363.49
76000	76	4.42308	26538.5	0	5189.11	4612.27	0	25554.6	0	0	0	7779.59
77000	77	4.43753	26625.2	0	5245.07	4614.09	0	25677.5	0	0	0	7821.22
78000	78	4.40851	26451	0	5196.94	4355.99	0	25457	0	0	0	8493
79000	79	4.39515	26370.9	0	5214.12	4355.85	0	25732.1	0	0	0	8013.22
80000	80	4.45686	26741.1	0	4979.2	4390.53	0	25445.7	0	0	0	7912.6
81000	81	4.35395	26123.7	0	5404.84	4504.17	0	26131.6	0	0	0	8200.47
82000	82	4.45046	26702.8	0	5160.59	4434.7	0	25644.8	0	0	0	7572.08
83000	83	4.39046	26342.7	0	5124.88	4342.15	0	25510.7	0	0	0	7596.48
84000	84	4.45743	26744.6	0	5025.38	4262.82	0	25622	0	0	0	8000.97
85000	85	4.38045	26282.7	0	5161.21	4467.93	0	26015	0	0	0	7605.4
86000	86	4.35754	26145.2	0	5451.5	4866.45	0	25438.3	0	0	0	7853.53
87000	87	4.34622	26077.3	0	5321.8	4436.92	0	25909	0	0	0	8148.07
88000	88	4.39802	26388.1	0	5236.4	4373.1	0	26005.4	0	0	0	7877.91
89000	89	4.39245	26354.7	0	4951.91	4230.96	0	26136	0	0	0	7729.66
90000	90	4.43013	26580.8	0	5229.96	4352.67	0	25744.5	0	0	0	7684.03
91000	91	4.39863	26391.8	0	5252.94	4311.95	0	25842.8	0	0	0	7956.11
92000	92	4.32816	25969	0	5282.53	4510.01	0	25838.4	0	0	0	7606.61
93000	93	4.38931	26335.9	0	5330.55	4531.01	0	25687.8	0	0	0	8216.56
