# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
1.220000000000000000e+02 1.878000000000000000e+03 1.064962726304579332e+00 1.126999999999939828e+00 1.064962726304579332e+00 1.058252999999943489e+00
2.110000000000000000e+02 1.789000000000000000e+03 1.117942984907769777e+00 1.230999999999937922e+00 1.117942984907769777e+00 1.101129499999944361e+00
2.770000000000000000e+02 1.723000000000000000e+03 1.160766105629715605e+00 1.319999999999938778e+00 1.160766105629715605e+00 1.137179999999947233e+00
3.600000000000000000e+02 1.640000000000000000e+03 1.219512195121951192e+00 1.439999999999941327e+00 1.219512195121951192e+00 1.180799999999951888e+00
4.280000000000000000e+02 1.572000000000000000e+03 1.272264631043257044e+00 1.552999999999943759e+00 1.272264631043257044e+00 1.220657999999955834e+00
4.940000000000000000e+02 1.506000000000000000e+03 1.328021248339973370e+00 1.679999999999945093e+00 1.328021248339973370e+00 1.265039999999958642e+00
5.470000000000000000e+02 1.453000000000000000e+03 1.376462491397109522e+00 1.779999999999947180e+00 1.376462491397109522e+00 1.293169999999961517e+00
5.940000000000000000e+02 1.406000000000000000e+03 1.422475106685632928e+00 1.879999999999949045e+00 1.422475106685632928e+00 1.321639999999964177e+00
6.410000000000000000e+02 1.359000000000000000e+03 1.471670345842531313e+00 1.972999999999951015e+00 1.471670345842531313e+00 1.340653499999966636e+00
6.840000000000000000e+02 1.316000000000000000e+03 1.519756838905775176e+00 2.099999999999996536e+00 1.519756838905775176e+00 1.381799999999997697e+00
7.160000000000000000e+02 1.284000000000000000e+03 1.557632398753894032e+00 2.180000000000033467e+00 1.557632398753894032e+00 1.399560000000021454e+00
7.690000000000000000e+02 1.231000000000000000e+03 1.624695369618196494e+00 2.312000000000042021e+00 1.624695369618196494e+00 1.423036000000025947e+00
8.100000000000000000e+02 1.190000000000000000e+03 1.680672268907563049e+00 2.432000000000042572e+00 1.680672268907563049e+00 1.447040000000025417e+00
8.530000000000000000e+02 1.147000000000000000e+03 1.743679163034001833e+00 2.610000000000050946e+00 1.743679163034001833e+00 1.496835000000029225e+00
8.810000000000000000e+02 1.119000000000000000e+03 1.787310098302055339e+00 2.700000000000050804e+00 1.787310098302055339e+00 1.510650000000028470e+00
9.110000000000000000e+02 1.089000000000000000e+03 1.836547291092745615e+00 2.835000000000052367e+00 1.836547291092745615e+00 1.543657500000028548e+00
9.420000000000000000e+02 1.058000000000000000e+03 1.890359168241966037e+00 2.930000000000050342e+00 1.890359168241966037e+00 1.549970000000026493e+00
9.660000000000000000e+02 1.034000000000000000e+03 1.934235976789168365e+00 3.017000000000050086e+00 1.934235976789168365e+00 1.559789000000025849e+00
1.004000000000000000e+03 9.960000000000000000e+02 2.008032128514056325e+00 3.298000000000052001e+00 2.008032128514056325e+00 1.642404000000025732e+00
1.028000000000000000e+03 9.720000000000000000e+02 2.057613168724279795e+00 3.409000000000048214e+00 2.057613168724279795e+00 1.656774000000023506e+00
1.050000000000000000e+03 9.500000000000000000e+02 2.105263157894736725e+00 3.534000000000048658e+00 2.105263157894736725e+00 1.678650000000023290e+00
1.073000000000000000e+03 9.270000000000000000e+02 2.157497303128371069e+00 3.680000000000050786e+00 2.157497303128371069e+00 1.705680000000023622e+00
1.089000000000000000e+03 9.110000000000000000e+02 2.195389681668496351e+00 3.787000000000050548e+00 2.195389681668496351e+00 1.724978500000022841e+00
1.107000000000000000e+03 8.930000000000000000e+02 2.239641657334826341e+00 3.890000000000052083e+00 2.239641657334826341e+00 1.736885000000023327e+00
1.131000000000000000e+03 8.690000000000000000e+02 2.301495972382048283e+00 4.004000000000047521e+00 2.301495972382048283e+00 1.739738000000020657e+00
