step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	0
1000	1	4.42984	26579.1	0	5163.22	4396.36	0	25504.4	0	0	0	7835.91
2000	2	4.48355	26901.3	0	5032.76	4533.02	0	25621.1	0	0	0	7481.21
3000	3	4.40168	26410.1	0	5108.49	4424.57	0	25581.1	0	0	0	7586.55
4000	4	4.55089	27305.3	0	5412.83	4395.41	0	25582.5	0	0	0	7751.59
5000	5	4.47058	26823.5	0	5327.79	4562.55	0	25615.9	0	0	0	7611.87
6000	6	4.36461	26187.7	0	5083.98	4639	0	25580.7	0	0	0	8060.29
7000	7	4.55943	27356.6	0	5080.09	4448.33	0	25469.7	0	0	0	8701.68
8000	8	4.44243	26654.6	0	5095.55	4526.48	0	25886.8	0	0	0	8004.17
9000	9	4.49195	26951.7	0	4968.42	4628.8	0	25457.9	0	0	0	10229.2
10000	10	4.45841	26750.4	0	4980.52	4456.28	0	25404.5	0	0	0	8474.43
11000	11	4.40806	26448.4	0	5316.01	4307.61	0	25040.2	0	0	0	7806.1
12000	12	4.5017	27010.2	0	5192.55	4365.44	0	25410.2	0	0	0	8098.15
13000	13	4.44792	26687.5	0	5245.83	4674.79	0	25117.5	0	0	0	8275.89
14000	14	4.39364	26361.8	0	5365.68	4535.46	0	25475.8	0	0	0	8099.16
15000	15	4.3728	26236.8	0	5195.02	4345.62	0	25333.6	0	0	0	7715.99
16000	16	4.47315	26838.9	0	5082.18	4394.59	0	25349	0	0	0	7391.58
17000	17	4.42795	26567.7	0	5041.35	4207.74	0	25742.8	0	0	0	7668.43
18000	18	4.3651	26190.6	0	5133.17	4700.68	0	25412.4	0	0	0	7621.09
19000	19	4.51397	27083.8	0	5128.36	4352.96	0	25275.7	0	0	0	8634.3
20000	20	4.47473	26848.4	0	5253.54	4172.52	0	25172.1	0	0	0	7591.1
21000	21	4.51436	27086.2	0	4954.68	4297.18	0	25569.8	0	0	0	7702.97
22000	22	4.43129	26587.8	0	5234.99	4576.61	0	25511.1	0	0	0	7785.4
23000	23	4.45911	26754.6	0	5173.26	4235.02	0	25513.5	0	0	0	7994.09
24000	24	4.46133	26768	0	5344.9	4398.44	0	25297.3	0	0	0	7965.54
25000	25	4.44217	26653	0	5083.01	4455.05	0	25396.7	0	0	0	7826.96
26000	26	4.44275	26656.5	0	5251.67	4502.59	0	25725	0	0	0	8165.92
27000	27	4.33334	26000	0	5086.01	4370.72	0	25498.4	0	0	0	7767.07
28000	28	4.51325	27079.5	0	4686.86	4293.78	0	25704.9	0	0	0	7825.85
