# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
9.000000000000000000e+00 1.991000000000000000e+03 1.004520341536916161e+00 1.008999999999944386e+00 1.004520341536916161e+00 1.004459499999944549e+00
1.500000000000000000e+01 1.985000000000000000e+03 1.007556675062972307e+00 1.014999999999943725e+00 1.007556675062972307e+00 1.007387499999944147e+00
1.900000000000000000e+01 1.981000000000000000e+03 1.009591115598182709e+00 1.018999999999943284e+00 1.009591115598182709e+00 1.009319499999943748e+00
2.600000000000000000e+01 1.974000000000000000e+03 1.013171225937183451e+00 1.026999999999942403e+00 1.013171225937183451e+00 1.013648999999943179e+00
3.900000000000000000e+01 1.961000000000000000e+03 1.019887812340642519e+00 1.039999999999941194e+00 1.019887812340642519e+00 1.019719999999942450e+00
4.700000000000000000e+01 1.953000000000000000e+03 1.024065540194572410e+00 1.048999999999940647e+00 1.024065540194572410e+00 1.024348499999942153e+00
5.700000000000000000e+01 1.943000000000000000e+03 1.029336078229541984e+00 1.058999999999940211e+00 1.029336078229541984e+00 1.028818499999941904e+00
6.700000000000000000e+01 1.933000000000000000e+03 1.034661148473874803e+00 1.069999999999939888e+00 1.034661148473874803e+00 1.034154999999941982e+00
7.500000000000000000e+01 1.925000000000000000e+03 1.038961038961038863e+00 1.079999999999939675e+00 1.038961038961038863e+00 1.039499999999942137e+00
8.400000000000000000e+01 1.916000000000000000e+03 1.043841336116910323e+00 1.088999999999938906e+00 1.043841336116910323e+00 1.043261999999941292e+00
8.900000000000000000e+01 1.911000000000000000e+03 1.046572475143903613e+00 1.093999999999939021e+00 1.046572475143903613e+00 1.045316999999941876e+00
9.700000000000000000e+01 1.903000000000000000e+03 1.050972149238045272e+00 1.101999999999938362e+00 1.050972149238045272e+00 1.048552999999941227e+00
1.060000000000000000e+02 1.894000000000000000e+03 1.055966209081309337e+00 1.112999999999938261e+00 1.055966209081309337e+00 1.054010999999941633e+00
1.160000000000000000e+02 1.884000000000000000e+03 1.061571125265392768e+00 1.126999999999938051e+00 1.061571125265392768e+00 1.061633999999941569e+00
1.230000000000000000e+02 1.877000000000000000e+03 1.065530101225359516e+00 1.133999999999938169e+00 1.065530101225359516e+00 1.064258999999942112e+00
1.280000000000000000e+02 1.872000000000000000e+03 1.068376068376068355e+00 1.139999999999938174e+00 1.068376068376068355e+00 1.067039999999942257e+00
1.310000000000000000e+02 1.869000000000000000e+03 1.070090957731407277e+00 1.143999999999938177e+00 1.070090957731407277e+00 1.069067999999942176e+00
1.390000000000000000e+02 1.861000000000000000e+03 1.074691026329930077e+00 1.154999999999937854e+00 1.074691026329930077e+00 1.074727499999942326e+00
1.470000000000000000e+02 1.853000000000000000e+03 1.079330814894765345e+00 1.166999999999937643e+00 1.079330814894765345e+00 1.081225499999942219e+00
1.590000000000000000e+02 1.841000000000000000e+03 1.086366105377512215e+00 1.189999999999936442e+00 1.086366105377512215e+00 1.095394999999941499e+00
1.660000000000000000e+02 1.834000000000000000e+03 1.090512540894220228e+00 1.197999999999936449e+00 1.090512540894220228e+00 1.098565999999941756e+00
1.770000000000000000e+02 1.823000000000000000e+03 1.097092704333516133e+00 1.210999999999936794e+00 1.097092704333516133e+00 1.103826499999942534e+00
1.810000000000000000e+02 1.819000000000000000e+03 1.099505222649807656e+00 1.214999999999937019e+00 1.099505222649807656e+00 1.105042499999942640e+00
1.930000000000000000e+02 1.807000000000000000e+03 1.106806862202545760e+00 1.232999999999937035e+00 1.106806862202545760e+00 1.114015499999942982e+00
