# # t cr cc pn pdi
5.000000000000000000e+02 0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01
5.010000000000000000e+02 7.220000000000000000e+02 1.278000000000000000e+03 1.564945226917057841e+00 1.189178999999976005e+00
5.020000000000000000e+02 1.231000000000000000e+03 7.690000000000000000e+02 2.600780234070220853e+00 1.593752499999983474e+00
5.030000000000000000e+02 1.392000000000000000e+03 6.100000000000000000e+02 3.278688524590164022e+00 1.745514999999982608e+00
5.040000000000000000e+02 1.478000000000000000e+03 5.250000000000000000e+02 3.809523809523809312e+00 1.799437499999986256e+00
5.050000000000000000e+02 1.527000000000000000e+03 4.760000000000000000e+02 4.201680672268907735e+00 1.896383999999987857e+00
5.060000000000000000e+02 1.554000000000000000e+03 4.490000000000000000e+02 4.454342984409799477e+00 1.978743000000013907e+00
5.070000000000000000e+02 1.574000000000000000e+03 4.290000000000000000e+02 4.662004662004662237e+00 2.011152000000012929e+00
5.080000000000000000e+02 1.593000000000000000e+03 4.100000000000000000e+02 4.878048780487804770e+00 2.039955000000012397e+00
5.090000000000000000e+02 1.605000000000000000e+03 3.980000000000000000e+02 5.025125628140703959e+00 2.029999000000012987e+00
5.100000000000000000e+02 1.615000000000000000e+03 3.880000000000000000e+02 5.154639175257732298e+00 2.037776000000012910e+00
5.110000000000000000e+02 1.624000000000000000e+03 3.790000000000000000e+02 5.277044854881266289e+00 2.060054500000013444e+00
5.120000000000000000e+02 1.637000000000000000e+03 3.660000000000000000e+02 5.464480874316939740e+00 2.032032000000012051e+00
5.130000000000000000e+02 1.653000000000000000e+03 3.500000000000000000e+02 5.714285714285714413e+00 2.014250000000010310e+00
5.140000000000000000e+02 1.665000000000000000e+03 3.380000000000000000e+02 5.917159763313609488e+00 1.993355000000010868e+00
5.150000000000000000e+02 1.673000000000000000e+03 3.310000000000000000e+02 6.042296072507553184e+00 2.021086000000010152e+00
5.160000000000000000e+02 1.680000000000000000e+03 3.240000000000000000e+02 6.172839506172839386e+00 2.042334000000009642e+00
5.170000000000000000e+02 1.682000000000000000e+03 3.220000000000000000e+02 6.211180124223602661e+00 2.058868000000009246e+00
5.180000000000000000e+02 1.691000000000000000e+03 3.130000000000000000e+02 6.389776357827476438e+00 2.114628000000007280e+00
5.190000000000000000e+02 1.695000000000000000e+03 3.090000000000000000e+02 6.472491909385113651e+00 2.187256500000007708e+00
5.200000000000000000e+02 1.701000000000000000e+03 3.030000000000000000e+02 6.600660066006600601e+00 2.189175000000007643e+00
5.210000000000000000e+02 1.702000000000000000e+03 3.020000000000000000e+02 6.622516556291390799e+00 2.233290000000007769e+00
5.220000000000000000e+02 1.707000000000000000e+03 2.970000000000000000e+02 6.734006734006734440e+00 2.302195500000007389e+00
5.230000000000000000e+02 1.714000000000000000e+03 2.900000000000000000e+02 6.896551724137930606e+00 2.332904999999994899e+00
5.240000000000000000e+02 1.718000000000000000e+03 2.860000000000000000e+02 6.993006993006993355e+00 2.342482999999988547e+00
5.250000000000000000e+02 1.719000000000000000e+03 2.850000000000000000e+02 7.017543859649122417e+00 2.334862499999989183e+00
5.260000000000000000e+02 1.724000000000000000e+03 2.800000000000000000e+02 7.142857142857143238e+00 2.315459999999989638e+00
5.270000000000000000e+02 1.726000000000000000e+03 2.780000000000000000e+02 7.194244604316546443e+00 2.305870999999990456e+00
5.280000000000000000e+02 1.727000000000000000e+03 2.770000000000000000e+02 7.220216606498194523e+00 2.312811499999989362e+00
5.290000000000000000e+02 1.730000000000000000e+03 2.740000000000000000e+02 7.299270072992700698e+00 2.315847999999989248e+00
5.300000000000000000e+02 1.732000000000000000e+03 2.720000000000000000e+02 7.352941176470587870e+00 2.340287999999988600e+00
5.310000000000000000e+02 1.738000000000000000e+03 2.660000000000000000e+02 7.518796992481203034e+00 2.335479999999988010e+00
5.320000000000000000e+02 1.742000000000000000e+03 2.620000000000000000e+02 7.633587786259542263e+00 2.379745999999987038e+00
5.330000000000000000e+02 1.744000000000000000e+03 2.600000000000000000e+02 7.692307692307692513e+00 2.400709999999986799e+00
5.340000000000000000e+02 1.750000000000000000e+03 2.540000000000000000e+02 7.874015748031496287e+00 2.401061999999987595e+00
5.350000000000000000e+02 1.751000000000000000e+03 2.530000000000000000e+02 7.905138339920948276e+00 2.391988499999987638e+00
5.360000000000000000e+02 1.752000000000000000e+03 2.520000000000000000e+02 7.936507936507936734e+00 2.385179999999987643e+00
5.370000000000000000e+02 1.753000000000000000e+03 2.510000000000000000e+02 7.968127490039840666e+00 2.379730999999988050e+00
5.380000000000000000e+02 1.755000000000000000e+03 2.490000000000000000e+02 8.032128514056225299e+00 2.428123499999987001e+00
5.390000000000000000e+02 1.760000000000000000e+03 2.440000000000000000e+02 8.196721311475409166e+00 2.419259999999988864e+00
5.400000000000000000e+02 1.767000000000000000e+03 2.370000000000000000e+02 8.438818565400843852e+00 2.491817999999988320e+00
5.410000000000000000e+02 1.770000000000000000e+03 2.340000000000000000e+02 8.547008547008546842e+00 2.516552999999988494e+00
5.420000000000000000e+02 1.774000000000000000e+03 2.300000000000000000e+02 8.695652173913043015e+00 2.507804999999988738e+00
5.430000000000000000e+02 1.776000000000000000e+03 2.280000000000000000e+02 8.771929824561404132e+00 2.572751999999988826e+00
5.440000000000000000e+02 1.779000000000000000e+03 2.250000000000000000e+02 8.888888888888889284e+00 2.551724999999989141e+00
5.450000000000000000e+02 1.782000000000000000e+03 2.230000000000000000e+02 8.968609865470851261e+00 2.572527999999989490e+00
