step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
68000	68	4.42587	26555.2	0	5433.82	4439.35	0	25330.6	0	0	0
69000	69	4.37224	26233.4	0	5472.8	4590.79	0	25653	0	0	0
70000	70	4.45246	26714.7	0	5259.71	4454.75	0	25326.5	0	0	0
71000	71	4.45828	26749.7	0	5542.67	4705.23	0	25727.1	0	0	0
72000	72	4.46704	26802.2	0	5270.5	4355.82	0	25457.4	0	0	0
73000	73	4.3863	26317.8	0	5082.22	4230.86	0	25830.7	0	0	0
74000	74	4.40556	26433.3	0	5294.89	4319.59	0	25790.9	0	0	0
75000	75	4.4149	26489.4	0	5337.09	4484.68	0	25750.2	0	0	0
76000	76	4.48506	26910.4	0	5366.82	4209.95	0	25553.2	0	0	0
77000	77	4.37957	26277.4	0	5162.89	4420.56	0	25820.5	0	0	0
78000	78	4.44188	26651.3	0	5027.05	4316.99	0	25564.3	0	0	0
79000	79	4.41712	26502.7	0	5291.41	4238.93	0	25961.7	0	0	0
80000	80	4.42913	26574.8	0	5276.27	4634.11	0	25525.1	0	0	0
81000	81	4.31528	25891.7	0	5266.32	4377.14	0	25661.1	0	0	0
82000	82	4.44767	26686	0	5273.53	4218.21	0	25619.7	0	0	0
83000	83	4.46063	26763.8	0	5223.93	4337.61	0	25774.6	0	0	0
84000	84	4.509	27054	0	5375.24	4537.82	0	25913.6	0	0	0
85000	85	4.37942	26276.5	0	4976.44	4541.35	0	26273	0	0	0
86000	86	4.39664	26379.8	0	5268.52	4655.37	0	25605.6	0	0	0
87000	87	4.426	26556	0	5415.22	4421.57	0	25778.9	0	0	0
88000	88	4.4104	26462.4	0	5017.18	4327.67	0	25614.8	0	0	0
89000	89	4.34113	26046.8	0	5160.45	4372.4	0	25803.4	0	0	0
90000	90	4.43339	26600.3	0	5379.63	4586.55	0	26076.9	0	0	0
91000	91	4.39952	26397.1	0	5066.27	4710.24	0	25458.2	0	0	0
92000	92	4.44862	26691.7	0	5241.38	4245.57	0	25392.7	0	0	0
93000	93	4.42178	26530.7	0	5341.59	4423.06	0	25566.2	0	0	0
94000	94	4.40115	26406.9	0	5509.5	4497.2	0	25506.3	0	0	0
95000	95	4.41067	26464	0	5116.17	4418.49	0	25717.3	0	0	0
96000	96	4.35419	26125.1	0	5070.09	4332.64	0	25823.7	0	0	0
97000	97	4.44911	26694.7	0	5247.93	4365.32	0	25691.2	0	0	0
98000	98	4.44249	26654.9	0	5001.52	4495.4	0	25777.6	0	0	0
99000	99	4.33208	25992.5	0	5243.21	4354.59	0	25424.1	0	0	0
100000	100	4.42175	26530.5	0	5084.73	4555.36	0	26036.8	0	0	0
101000	101	4.43106	26586.3	0	5318.56	4451.13	0	26032.6	0	0	0
102000	102	4.40469	26428.1	0	5231.88	4607.2	0	25785.1	0	0	0
103000	103	4.48531	26911.9	0	5247.88	4381.52	0	25641.6	0	0	0
104000	104	4.52587	27155.2	0	4887.69	4514.21	0	25924.8	0	0	0
105000	105	4.39394	26363.6	0	4742.88	4328.84	0	25640.5	0	0	0
106000	106	4.47146	26828.7	0	4880.8	4524.63	0	25357.4	0	0	0
107000	107	4.41619	26497.1	0	5161.47	4520.62	0	25785.4	0	0	0
108000	108	4.36592	26195.5	0	4994.58	4319	0	25068.8	0	0	0
109000	109	4.40862	26451.7	0	5186.5	4293.37	0	25100.3	0	0	0
110000	110	4.47344	26840.7	0	5396.28	4428.97	0	25465.2	0	0	0
111000	111	4.53791	27227.5	0	5378.71	4560.78	0	25889.6	0	0	0
112000	112	4.38752	26325.1	0	5125.49	4404.02	0	25195.7	0	0	0
113000	113	4.42574	26554.4	0	5080.48	4451.78	0	26008.6	0	0	0
114000	114	4.43761	26625.6	0	5207.58	4250.06	0	25745.9	0	0	0
115000	115	4.29888	25793.3	0	5054.7	4382.08	0	25827	0	0	0
116000	116	4.50641	27038.5	0	5079.71	4459.26	0	25373	0	0	0
117000	117	4.32913	25974.8	0	5380.49	4766.75	0	25705.2	0	0	0
118000	118	4.47169	26830.2	0	5205.18	4314.66	0	25567.8	0	0	0
119000	119	4.49825	26989.5	0	5209.43	4246.4	0	25333.2	0	0	0
120000	120	4.5026	27015.6	0	5281	4557.82	0	25530.1	0	0	0
121000	121	4.41489	26489.4	0	4941.39	4622.02	0	25565.8	0	0	0
122000	122	4.3769	26261.4	0	5198.11	4297.25	0	25878.7	0	0	0
123000	123	4.34764	26085.9	0	5108.77	4468.79	0	24953.3	0	0	0
124000	124	4.4836	26901.6	0	5157.4	4330.76	0	25768.3	0	0	0
125000	125	4.49962	26997.7	0	5226.84	4460.7	0	25732.6	0	0	0
126000	126	4.42021	26521.3	0	5163.49	4421.81	0	25437.5	0	0	0
127000	127	4.29649	25778.9	0	5026.85	4359.7	0	25940	0	0	0
128000	128	4.47225	26833.5	0	5041.32	4544.32	0	25651.1	0	0	0
129000	129	4.47055	26823.3	0	5289.12	4235.58	0	26056.1	0	0	0
130000	130	4.38525	26311.5	0	5414.32	4365.85	0	25802.2	0	0	0
131000	131	4.39418	26365.1	0	5165.37	4703.85	0	25991.3	0	0	0
132000	132	4.43351	26601	0	5138.62	4484.92	0	25126.9	0	0	0
133000	133	4.37105	26226.3	0	5208.39	4653.83	0	26011.3	0	0	0
134000	134	4.41665	26499.9	0	5327.41	4363.92	0	26153.1	0	0	0
135000	135	4.40729	26443.7	0	5281.94	4629.39	0	25765.4	0	0	0
136000	136	4.3497	26098.2	0	5177.7	4334.25	0	25700.1	0	0	0
137000	137	4.43357	26601.4	0	5075.63	4534.04	0	25417.4	0	0	0
138000	138	4.39633	26378	0	5401.37	4568.65	0	25984.8	0	0	0
139000	139	4.57391	27443.4	0	5139.52	4488.81	0	25757	0	0	0
140000	140	4.42945	26576.7	0	5215.28	4213.37	0	25250.6	0	0	0
141000	141	4.50521	27031.2	0	5317.18	4465.45	0	25992	0	0	0
142000	142	4.41968	26518.1	0	5269.16	4368	0	25780.4	0	0	0
143000	143	4.47892	26873.5	0	5452.72	4775.08	0	25609.7	0	0	0
144000	144	4.43537	26612.2	0	5325.45	4548.71	0	25579.8	0	0	0
145000	145	4.38906	26334.3	0	5222	4379.66	0	25144.8	0	0	0
146000	146	4.38649	26318.9	0	5378.64	4258.41	0	25802.3	0	0	0
147000	147	4.39946	26396.7	0	5310.66	4263.29	0	25687.4	0	0	0
148000	148	4.35791	26147.5	0	5103.18	4435.64	0	25430	0	0	0
149000	149	4.43946	26636.7	0	5355.93	4191.51	0	25806.3	0	0	0
150000	150	4.39488	26369.3	0	5343.55	4423.48	0	25730.7	0	0	0
151000	151	4.36592	26195.5	0	5416.39	4420.45	0	25987.8	0	0	0
152000	152	4.38725	26323.5	0	5214.75	4297.95	0	25638.5	0	0	0
153000	153	4.4765	26859	0	5465.52	4713.35	0	25730.5	0	0	0
154000	154	4.40738	26444.3	0	5235.07	4569.99	0	25656.8	0	0	0
155000	155	4.43152	26589.1	0	5296.1	4456.05	0	25368.3	0	0	0
156000	156	4.39195	26351.7	0	5201.83	4401.31	0	25475.4	0	0	0
157000	157	4.4616	26769.6	0	5120.09	4493.11	0	25387.2	0	0	0
158000	158	4.51703	27102.2	0	5638.98	4333.81	0	25754.8	0	0	0
159000	159	4.4661	26796.6	0	5316.56	4455.69	0	25798.7	0	0	0
160000	160	4.45148	26708.9	0	5219.28	4519.25	0	25465.1	0	0	0
161000	161	4.57923	27475.4	0	5263.6	4261.91	0	25908.8	0	0	0
162000	162	4.32258	25935.5	0	5326.13	4601.49	0	25942.9	0	0	0
163000	163	4.3599	26159.4	0	4982.89	4346.65	0	26012.7	0	0	0
164000	164	4.38576	26314.5	0	5112.73	4437.65	0	25424.5	0	0	0
165000	165	4.45677	26740.6	0	5237.85	4499.16	0	25559.9	0	0	0
166000	166	4.44927	26695.6	0	5555.84	4407.88	0	25639.3	0	0	0
167000	167	4.40181	26410.9	0	5448.1	4247.52	0	25467	0	0	0
168000	168	4.42714	26562.8	0	5119.57	4524.32	0	25880.2	0	0	0
169000	169	4.36045	26162.7	0	5292.95	4123.49	0	26075.4	0	0	0
