step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0	Fmax
0	0	2.66784	16007	0	5087.16	4467.66	0	25800.8	0	0	0	0
1000	1	4.39032	26341.9	0	5175.75	4501.45	0	25220.4	0	0	0	8254.8
2000	2	4.37796	26267.8	0	5120.59	4538.39	0	25369.9	0	0	0	7923.98
3000	3	4.46446	26786.8	0	5193.36	4216.99	0	25410.4	0	0	0	8329.59
4000	4	4.4588	26752.8	0	5036.24	4276.32	0	25481.3	0	0	0	8176.34
5000	5	4.36862	26211.7	0	5328.37	4371.53	0	25725.5	0	0	0	8082.21
6000	6	4.39825	26389.5	0	5259.27	4382.95	0	25475.3	0	0	0	7751.97
7000	7	4.45753	26745.2	0	4919.47	4566.06	0	25632.4	0	0	0	7916.74
8000	8	4.44019	26641.2	0	5297.36	4320.35	0	25635.3	0	0	0	8275.27
9000	9	4.44006	26640.4	0	4702.23	4270.18	0	25768.2	0	0	0	7684.79
10000	10	4.33395	26003.7	0	5297.24	4503.22	0	25288.9	0	0	0	7552.27
11000	11	4.40035	26402.1	0	5146.34	4208.84	0	25744.9	0	0	0	8160.69
12000	12	4.42563	26553.8	0	5065.05	4366.84	0	25393.7	0	0	0	7955.96
13000	13	4.44665	26679.9	0	5252.32	4501.54	0	25232.7	0	0	0	7619.47
14000	14	4.43245	26594.7	0	5247.85	4377.33	0	25282.9	0	0	0	8499.94
15000	15	4.46087	26765.2	0	5042.3	4607.09	0	25538.7	0	0	0	7517.52
16000	16	4.48423	26905.4	0	5264.7	4281.49	0	25462.9	0	0	0	8770.25
17000	17	4.43499	26609.9	0	5028.14	4332.23	0	25799.1	0	0	0	7644.92
18000	18	4.44502	26670.1	0	5056.63	4282.66	0	25376.9	0	0	0	7531.89
19000	19	4.38756	26325.4	0	5189.53	4471.08	0	25723.7	0	0	0	7442.33
20000	20	4.42653	26559.2	0	5253.78	4422.92	0	25421.1	0	0	0	8068.72
21000	21	4.47963	26877.8	0	5220.44	4238.04	0	25317.6	0	0	0	7539.94
22000	22	4.43353	26601.2	0	5357.24	4376.09	0	25135.4	0	0	0	7742.19
23000	23	4.31712	25902.7	0	5348.76	4345.93	0	25722.1	0	0	0	8548.74
24000	24	4.46863	26811.8	0	5249.7	4472.77	0	25455.9	0	0	0	7518.11
25000	25	4.36435	26186.1	0	5355.36	4246.98	0	25758.5	0	0	0	8002.82
26000	26	4.42817	26569	0	5151.47	4419.01	0	25429	0	0	0	7510.07
27000	27	4.54672	27280.3	0	5134.36	4509.19	0	25326.9	0	0	0	7923.53
28000	28	4.38044	26282.7	0	5279.8	4520.36	0	25058.6	0	0	0	7629.05
29000	29	4.46925	26815.5	0	5385.57	4799.82	0	25013.1	0	0	0	7666.33
30000	30	4.38355	26301.3	0	5102.18	4403.45	0	25619	0	0	0	7815.89
31000	31	4.46682	26800.9	0	5239.61	4322.27	0	25192.4	0	0	0	7459.74
32000	32	4.41058	26463.5	0	5297.74	4393.13	0	25528.9	0	0	0	8003.34
33000	33	4.28554	25713.2	0	5279.65	4367.41	0	25430.4	0	0	0	7666.98
34000	34	4.42852	26571.1	0	5231.54	4385.26	0	25458.1	0	0	0	7902.91
35000	35	4.34031	26041.9	0	5075.15	4368.82	0	25355.4	0	0	0	8292.17
36000	36	4.34607	26076.4	0	5244.58	4387.44	0	25529.1	0	0	0	7643.42
37000	37	4.50324	27019.4	0	5414.68	4381.97	0	25485.7	0	0	0	7794.73
38000	38	4.34034	26042	0	5216.76	4332.2	0	25443.1	0	0	0	8213.18
39000	39	4.3077	25846.2	0	5429.52	4369.85	0	25587.7	0	0	0	7863.69
40000	40	4.44317	26659	0	5527.03	4272.68	0	25505.3	0	0	0	8260.46
41000	41	4.40814	26448.8	0	5117.56	4538.19	0	25348.6	0	0	0	8082.51
42000	42	4.41665	26499.9	0	4949.83	4637.78	0	25517.1	0	0	0	7684.94
43000	43	4.36607	26196.4	0	5295.4	4447.03	0	25501.6	0	0	0	8124.65
44000	44	4.39579	26374.7	0	5095.74	4477.98	0	25403	0	0	0	7953.7
45000	45	4.38635	26318.1	0	5226	4171.21	0	25903.2	0	0	0	7883.54
46000	46	4.4566	26739.6	0	5210.98	4125.03	0	25949.9	0	0	0	7645.8
47000	47	4.52387	27143.2	0	5159.04	4343.53	0	25814.2	0	0	0	7642.52
48000	48	4.31451	25887.1	0	5350.95	4327.92	0	25532.7	0	0	0	7412.94
49000	49	4.37773	26266.4	0	5262.59	4272.39	0	25626.7	0	0	0	7735.9
50000	50	4.43575	26614.5	0	5073.86	4336.39	0	25422.5	0	0	0	7067.63
51000	51	4.48601	26916.1	0	5396.7	4484.49	0	25683.9	0	0	0	7645.44
52000	52	4.45509	26730.5	0	5289.5	4265.86	0	25245.2	0	0	0	7435.94
53000	53	4.43906	26634.4	0	4821.83	4414.02	0	25410.5	0	0	0	8110.86
54000	54	4.53664	27219.8	0	5397.08	4608.17	0	25371.4	0	0	0	7664.91
55000	55	4.44472	26668.3	0	5296.6	4602.1	0	25683.3	0	0	0	7846.79
56000	56	4.39554	26373.2	0	5283.15	4753.1	0	25871.5	0	0	0	7870.19
57000	57	4.47573	26854.4	0	4951.41	4581.18	0	25129.8	0	0	0	7842.84
58000	58	4.4058	26434.8	0	5236.32	4484.92	0	25828.6	0	0	0	7582.64
59000	59	4.42714	26562.8	0	5261.97	4513.86	0	25688.8	0	0	0	8035.48
60000	60	4.43665	26619.9	0	5478.81	4380.85	0	25663.6	0	0	0	7778.89
61000	61	4.28478	25708.7	0	5173.46	4754.44	0	25555.3	0	0	0	7773.94
62000	62	4.49269	26956.2	0	4999.18	4322.04	0	25572.8	0	0	0	7665.01
63000	63	4.43137	26588.2	0	5215.39	4155.15	0	25091.2	0	0	0	8067.67
64000	64	4.46662	26799.7	0	5440.18	4335.14	0	25791.7	0	0	0	7852.4
65000	65	4.4334	26600.4	0	5113.11	4399.85	0	25736.9	0	0	0	7554.41
66000	66	4.35386	26123.1	0	5345.57	4373.06	0	25534.6	0	0	0	7635.33
67000	67	4.51747	27104.8	0	5345.89	4625.53	0	25328.9	0	0	0	12533.5
68000	68	4.49918	26995.1	0	5523.81	4207.68	0	25261	0	0	0	7521.3
69000	69	4.4282	26569.2	0	5225.22	4450.94	0	25252.6	0	0	0	7414.78
