# cr len_gsub pn mw mn pdi
0.000000000000000000e+00 2.000000000000000000e+03 1.000000000000000000e+00 9.999999999999452660e-01 1.000000000000000000e+00 9.999999999999452660e-01
5.310000000000000000e+02 1.469000000000000000e+03 1.361470388019060618e+00 1.609999999999951248e+00 1.361470388019060618e+00 1.182544999999964208e+00
8.990000000000000000e+02 1.102000000000000000e+03 1.814882032667876510e+00 2.663000000000044665e+00 1.814882032667876510e+00 1.467313000000024736e+00
1.118000000000000000e+03 8.830000000000000000e+02 2.265005662514156359e+00 3.769000000000046313e+00 2.265005662514156359e+00 1.664013500000020462e+00
1.216000000000000000e+03 7.860000000000000000e+02 2.544529262086514088e+00 4.495999999999938268e+00 2.544529262086514088e+00 1.766927999999975629e+00
1.300000000000000000e+03 7.020000000000000000e+02 2.849002849002848947e+00 5.181999999999939099e+00 2.849002849002848947e+00 1.818881999999978571e+00
1.369000000000000000e+03 6.330000000000000000e+02 3.159557661927330230e+00 5.891999999999942617e+00 3.159557661927330230e+00 1.864817999999981879e+00
1.408000000000000000e+03 5.950000000000000000e+02 3.361344537815126099e+00 6.367999999999946148e+00 3.361344537815126099e+00 1.894479999999983955e+00
1.451000000000000000e+03 5.530000000000000000e+02 3.616636528028933206e+00 7.053999999999951420e+00 3.616636528028933206e+00 1.950430999999986481e+00
1.480000000000000000e+03 5.240000000000000000e+02 3.816793893129771131e+00 7.525999999999953616e+00 3.816793893129771131e+00 1.971811999999987686e+00
1.494000000000000000e+03 5.100000000000000000e+02 3.921568627450980227e+00 7.702999999999953218e+00 3.921568627450980227e+00 1.964264999999988159e+00
1.514000000000000000e+03 4.900000000000000000e+02 4.081632653061224580e+00 8.222000000000052822e+00 4.081632653061224580e+00 2.014390000000013004e+00
1.528000000000000000e+03 4.760000000000000000e+02 4.201680672268907735e+00 8.456000000000061689e+00 4.201680672268907735e+00 2.012528000000014750e+00
1.538000000000000000e+03 4.670000000000000000e+02 4.282655246252677017e+00 9.043000000000063210e+00 4.282655246252677017e+00 2.111540500000014475e+00
1.554000000000000000e+03 4.510000000000000000e+02 4.434589800443458962e+00 9.484000000000062158e+00 4.434589800443458962e+00 2.138642000000014143e+00
1.561000000000000000e+03 4.440000000000000000e+02 4.504504504504504681e+00 9.587000000000058364e+00 4.504504504504504681e+00 2.128314000000012918e+00
1.574000000000000000e+03 4.310000000000000000e+02 4.640371229698375899e+00 9.937000000000065114e+00 4.640371229698375899e+00 2.141423500000013913e+00
1.589000000000000000e+03 4.160000000000000000e+02 4.807692307692307487e+00 1.037500000000006395e+01 4.807692307692307487e+00 2.158000000000013241e+00
1.595000000000000000e+03 4.100000000000000000e+02 4.878048780487804770e+00 1.044900000000006557e+01 4.878048780487804770e+00 2.142045000000013300e+00
1.602000000000000000e+03 4.030000000000000000e+02 4.962779156327543184e+00 1.062300000000006506e+01 4.962779156327543184e+00 2.140534500000013107e+00
1.608000000000000000e+03 3.970000000000000000e+02 5.037783375314861090e+00 1.088300000000006484e+01 5.037783375314861090e+00 2.160275500000012894e+00
1.613000000000000000e+03 3.920000000000000000e+02 5.102040816326530503e+00 1.101400000000006685e+01 5.102040816326530503e+00 2.158744000000013319e+00
1.622000000000000000e+03 3.830000000000000000e+02 5.221932114882506859e+00 1.150200000000006284e+01 5.221932114882506859e+00 2.202633000000012053e+00
1.629000000000000000e+03 3.770000000000000000e+02 5.305039787798408568e+00 1.157800000000005802e+01 5.305039787798408568e+00 2.182453000000010856e+00
1.633000000000000000e+03 3.730000000000000000e+02 5.361930294906166239e+00 1.161500000000005706e+01 5.361930294906166239e+00 2.166197500000010656e+00
1.640000000000000000e+03 3.660000000000000000e+02 5.464480874316939740e+00 1.202400000000005953e+01 5.464480874316939740e+00 2.200392000000011006e+00
1.649000000000000000e+03 3.570000000000000000e+02 5.602240896358543054e+00 1.227900000000005498e+01 5.602240896358543054e+00 2.191801500000010172e+00
1.654000000000000000e+03 3.520000000000000000e+02 5.681818181818181657e+00 1.240700000000005510e+01 5.681818181818181657e+00 2.183632000000009565e+00
1.660000000000000000e+03 3.460000000000000000e+02 5.780346820809248776e+00 1.248900000000005583e+01 5.780346820809248776e+00 2.160597000000009427e+00
1.666000000000000000e+03 3.400000000000000000e+02 5.882352941176471006e+00 1.278400000000005399e+01 5.882352941176471006e+00 2.173280000000008982e+00
1.669000000000000000e+03 3.370000000000000000e+02 5.934718100890207459e+00 1.309800000000005227e+01 5.934718100890207459e+00 2.207013000000008773e+00
1.672000000000000000e+03 3.340000000000000000e+02 5.988023952095808511e+00 1.311700000000005240e+01 5.988023952095808511e+00 2.190539000000008674e+00
1.681000000000000000e+03 3.250000000000000000e+02 6.153846153846154188e+00 1.340800000000004744e+01 6.153846153846154188e+00 2.178800000000007397e+00
1.685000000000000000e+03 3.210000000000000000e+02 6.230529595015576128e+00 1.365700000000004799e+01 6.230529595015576128e+00 2.191948500000007627e+00
1.691000000000000000e+03 3.150000000000000000e+02 6.349206349206348854e+00 1.401600000000004975e+01 6.349206349206348854e+00 2.207520000000008142e+00
1.695000000000000000e+03 3.110000000000000000e+02 6.430868167202572039e+00 1.412500000000004974e+01 6.430868167202572039e+00 2.196437500000008036e+00
1.700000000000000000e+03 3.060000000000000000e+02 6.535947712418300526e+00 1.438800000000004786e+01 6.535947712418300526e+00 2.201364000000007426e+00
1.701000000000000000e+03 3.050000000000000000e+02 6.557377049180328044e+00 1.438900000000004731e+01 6.557377049180328044e+00 2.194322500000007281e+00
1.702000000000000000e+03 3.040000000000000000e+02 6.578947368421052211e+00 1.440100000000004599e+01 6.578947368421052211e+00 2.188952000000007114e+00
1.705000000000000000e+03 3.010000000000000000e+02 6.644518272425249172e+00 1.448100000000004783e+01 6.644518272425249172e+00 2.179390500000007336e+00
1.709000000000000000e+03 2.980000000000000000e+02 6.711409395973154446e+00 1.454600000000004378e+01 6.711409395973154446e+00 2.167354000000006664e+00
1.713000000000000000e+03 2.940000000000000000e+02 6.802721088435373709e+00 1.457500000000004192e+01 6.802721088435373709e+00 2.142525000000006230e+00
1.716000000000000000e+03 2.920000000000000000e+02 6.849315068493150527e+00 1.463900000000004198e+01 6.849315068493150527e+00 2.137294000000006022e+00
1.719000000000000000e+03 2.890000000000000000e+02 6.920415224913495145e+00 1.473800000000003863e+01 6.920415224913495145e+00 2.129641000000005668e+00
1.720000000000000000e+03 2.880000000000000000e+02 6.944444444444444642e+00 1.520000000000004192e+01 6.944444444444444642e+00 2.188800000000005852e+00
1.722000000000000000e+03 2.860000000000000000e+02 6.993006993006993355e+00 1.543700000000004025e+01 6.993006993006993355e+00 2.207491000000005865e+00
1.725000000000000000e+03 2.830000000000000000e+02 7.067137809187278741e+00 1.572500000000004405e+01 7.067137809187278741e+00 2.225087500000006546e+00
1.728000000000000000e+03 2.800000000000000000e+02 7.142857142857143238e+00 1.577600000000004421e+01 7.142857142857143238e+00 2.208640000000006154e+00
1.729000000000000000e+03 2.790000000000000000e+02 7.168458781362007315e+00 1.577700000000004366e+01 7.168458781362007315e+00 2.200891500000006218e+00
1.731000000000000000e+03 2.770000000000000000e+02 7.220216606498194523e+00 1.587200000000004252e+01 7.220216606498194523e+00 2.198272000000005999e+00
1.736000000000000000e+03 2.720000000000000000e+02 7.352941176470587870e+00 1.639999999999993818e+01 7.352941176470587870e+00 2.230399999999991500e+00
1.739000000000000000e+03 2.690000000000000000e+02 7.434944237918215570e+00 1.644299999999993034e+01 7.434944237918215570e+00 2.211583499999990821e+00
1.740000000000000000e+03 2.680000000000000000e+02 7.462686567164179330e+00 1.645199999999993068e+01 7.462686567164179330e+00 2.204567999999990757e+00
1.742000000000000000e+03 2.660000000000000000e+02 7.518796992481203034e+00 1.660799999999993304e+01 7.518796992481203034e+00 2.208863999999991279e+00
1.744000000000000000e+03 2.640000000000000000e+02 7.575757575757576134e+00 1.674199999999992983e+01 7.575757575757576134e+00 2.209943999999990805e+00
1.747000000000000000e+03 2.620000000000000000e+02 7.633587786259542263e+00 1.727799999999992053e+01 7.633587786259542263e+00 2.263417999999989494e+00
1.749000000000000000e+03 2.600000000000000000e+02 7.692307692307692513e+00 1.731299999999992068e+01 7.692307692307692513e+00 2.250689999999989421e+00
1.750000000000000000e+03 2.590000000000000000e+02 7.722007722007721675e+00 1.741099999999991610e+01 7.722007722007721675e+00 2.254724499999989362e+00
1.751000000000000000e+03 2.580000000000000000e+02 7.751937984496123590e+00 1.752499999999991331e+01 7.751937984496123590e+00 2.260724999999988771e+00
1.752000000000000000e+03 2.570000000000000000e+02 7.782101167315174983e+00 1.756699999999991491e+01 7.782101167315174983e+00 2.257359499999989083e+00
1.753000000000000000e+03 2.560000000000000000e+02 7.812500000000000000e+00 1.756899999999991735e+01 7.812500000000000000e+00 2.248831999999989506e+00
1.756000000000000000e+03 2.530000000000000000e+02 7.905138339920948276e+00 1.804299999999992465e+01 7.905138339920948276e+00 2.282439499999990407e+00
1.759000000000000000e+03 2.500000000000000000e+02 8.000000000000000000e+00 1.828999999999991743e+01 8.000000000000000000e+00 2.286249999999989679e+00
1.763000000000000000e+03 2.470000000000000000e+02 8.097165991902834037e+00 1.874299999999991684e+01 8.097165991902834037e+00 2.314760499999989563e+00
1.765000000000000000e+03 2.450000000000000000e+02 8.163265306122449161e+00 1.884499999999992070e+01 8.163265306122449161e+00 2.308512499999990197e+00
