step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	cr_3	count_0
32500	32.5	4.40488	26429.3	118.63	5205.94	4408.28	113.908	24691.7	0	0.029	58
33000	33	4.39445	26366.7	736.535	5620.06	4416.67	148.205	24736.6	0	0.0305	61
33500	33.5	4.32006	25920.4	158.055	5344.03	4540.52	140.786	24815.2	0	0.0305	61
34000	34	4.44078	26644.7	128.934	5389.09	4396.66	107.039	24571.3	0	0.0305	61
34500	34.5	4.45744	26744.6	196.724	5017.56	4432.49	120.945	24721	0	0.0305	61
35000	35	4.44214	26652.9	636.819	5485.89	4403.75	123.107	24654.4	0	0.031	62
35500	35.5	4.3916	26349.6	148.041	5379.72	4385.84	117.119	24774.9	0	0.031	62
36000	36	4.46961	26817.7	527.85	5337.57	4357.96	116.852	24674.7	0	0.0315	63
36500	36.5	4.4109	26465.4	104.971	5262.19	4302.92	123.195	25018.6	0	0.0315	63
37000	37	4.4316	26589.6	1110.66	5100.36	4535.43	124.393	24836.6	0	0.0325	65
37500	37.5	4.42753	26565.2	130.148	5326.61	4725.33	114.276	24962.7	0	0.0325	65
38000	38	4.48686	26921.2	1086.56	6221.58	4630.04	134.192	24599.9	0	0.0335	67
38500	38.5	4.38842	26330.5	151.525	5276.44	4270.59	135.777	24833	0	0.0335	67
39000	39	4.48717	26923	514.723	5439.08	4517.25	161.159	24806	0	0.034	68
39500	39.5	4.38528	26311.7	107.035	5481.14	4493.03	162.21	25177.1	0	0.034	68
40000	40	4.39134	26348.1	521.785	5285.02	4574.2	130.084	25123.7	0	0.0345	69
40500	40.5	4.49945	26996.7	186.279	5486.51	4918.34	139.17	24990.3	0	0.0345	69
41000	41	4.34271	26056.3	1130.48	5956.69	4433.15	109.011	25017	0	0.036	72
41500	41.5	4.39449	26366.9	156.442	5455.04	4149.92	146.491	25203.3	0	0.036	72
42000	42	4.49166	26949.9	1374.87	6043.64	4206.7	136.626	24639	0	0.0375	75
42500	42.5	4.3508	26104.8	170.963	5367.18	4281.84	117.498	24852.9	0	0.0375	75
43000	43	4.46093	26765.6	1389.6	5257.57	4600.92	137.792	24938.5	0	0.0385	77
43500	43.5	4.40414	26424.8	175.41	5519.8	4419.64	130.476	24863.5	0	0.0385	77
44000	44	4.52001	27120.1	1778.83	5448.98	4247.05	147.641	24516.2	0	0.04	80
44500	44.5	4.44769	26686.1	201.029	5714.97	4521.24	128.219	24938.7	0	0.04	80
45000	45	4.48242	26894.5	521.361	5206.4	4663.5	108.431	24468.2	0	0.0405	81
45500	45.5	4.40512	26430.7	161.601	5393.9	4469.58	138.555	24549.5	0	0.0405	81
46000	46	4.37208	26232.5	229.617	5654.71	4495.76	112.377	24339.4	0	0.0405	81
46500	46.5	4.33866	26031.9	174.386	5430.17	4506.3	112.446	24558.9	0	0.0405	81
47000	47	4.50848	27050.9	1446	5874.48	4447.99	197.539	24612.8	0	0.0425	85
47500	47.5	4.35357	26121.4	185.374	5458.95	4438.32	130.105	24574.9	0	0.0425	85
48000	48	4.4549	26729.4	355.866	5412.27	4478.45	155.027	24332.5	0	0.043	86
48500	48.5	4.48256	26895.4	192.522	5628.86	4309.38	151.971	24263.8	0	0.043	86
49000	49	4.443	26658	1376.67	5598.01	4283.09	143.039	24414.5	0	0.0445	89
49500	49.5	4.40367	26422	232.694	5465.41	4658.61	154.721	24471.4	0	0.0445	89
50000	50	4.44488	26669.3	796.848	6127.67	4584.8	176.15	24400.9	0	0.045	90
