# chidx ee rg n
0 1.6020 0.8300 20.0000
1 3.0690 1.3490 85.0000
2 1.8860 1.0630 28.0000
3 2.1920 1.1730 37.0000
4 3.1340 1.7190 67.0000
5 0.8010 0.7660 16.0000
6 2.8450 1.4420 67.0000
7 2.8490 1.8530 223.0000
8 0.8000 1.2470 77.0000
9 1.3120 1.1130 40.0000
10 1.2460 1.4650 51.0000
11 0.2570 0.8970 20.0000
12 1.7110 1.4840 84.0000
13 2.0000 1.3490 84.0000
14 3.4280 1.9880 100.0000
15 2.8110 1.2610 52.0000
16 1.6520 1.2840 48.0000
17 1.6010 0.7560 20.0000
18 0.8830 0.9730 20.0000
19 0.8830 0.7390 16.0000
20 1.1510 1.0630 44.0000
21 0.2570 1.2230 72.0000
22 0.2570 1.2960 64.0000
23 2.4090 1.5270 76.0000
24 4.6230 2.3040 79.0000
25 1.1080 0.7160 13.0000
26 6.5000 2.7450 104.0000
27 0.8040 1.0610 37.0000
28 1.5730 1.5870 81.0000
29 1.5550 1.1610 39.0000
30 1.0110 0.4570 8.0000
31 1.3130 1.0500 37.0000
32 1.8770 1.2500 40.0000
33 2.4610 1.5510 69.0000
34 1.5060 1.1470 39.0000
35 4.8630 1.7540 53.0000
36 2.5330 1.4030 44.0000
37 0.8060 0.7060 19.0000
38 0.2570 0.9700 23.0000
39 2.4960 1.3070 48.0000
40 1.0830 1.3530 44.0000
41 0.2570 0.3330 5.0000
42 1.7640 1.5430 44.0000
43 1.9700 1.1720 59.0000
44 2.8130 1.4550 76.0000
45 1.5810 0.9320 21.0000
46 0.2570 0.6380 12.0000
47 0.2570 0.7170 16.0000
48 1.9330 2.5120 113.0000
49 0.8810 0.5630 11.0000
50 2.3490 1.2650 48.0000
51 1.5720 1.0540 40.0000
52 2.8650 1.8080 104.0000
53 2.0480 1.3770 44.0000
54 2.6860 1.2510 56.0000
55 1.7660 1.1820 40.0000
56 0.8830 0.3030 4.0000
57 3.0020 1.5530 47.0000
58 1.3640 0.6010 11.0000
59 2.7200 1.2340 32.0000
60 2.1580 1.4590 51.0000
61 0.8120 0.6090 12.0000
62 0.8810 0.9010 23.0000
63 1.9110 0.8670 19.0000
64 1.3790 0.6250 13.0000
65 3.1800 1.2990 41.0000
66 1.9240 0.8320 20.0000
67 0.8180 1.3540 44.0000
68 1.5330 0.8420 16.0000
69 0.8120 0.9610 27.0000
70 0.8140 1.8510 56.0000
71 0.2560 1.7520 75.0000
72 1.2110 0.5770 11.0000
73 1.3850 0.7510 17.0000
74 1.0870 0.7500 15.0000
75 0.8820 0.8540 19.0000
76 1.9160 0.8720 21.0000
77 0.8820 0.5580 11.0000
78 0.2570 0.3030 4.0000
79 0.2560 0.5020 8.0000
80 1.1670 1.0330 31.0000
81 1.8420 1.0980 24.0000
82 0.8040 0.8480 29.0000
83 0.2570 0.6920 15.0000
84 1.1220 0.6950 12.0000
85 0.2570 0.5970 11.0000
86 0.8820 0.4510 7.0000
87 0.2570 0.8350 25.0000
88 0.2560 0.6490 15.0000
89 1.3030 0.7180 16.0000
90 1.1410 0.9920 27.0000
91 1.0050 0.4900 8.0000
92 1.5440 0.9740 28.0000
93 1.7040 0.8410 20.0000
94 0.2570 0.4730 8.0000
95 0.8160 0.7010 15.0000
96 1.5330 0.9250 32.0000
97 0.2570 0.6090 11.0000
98 0.8810 0.3030 4.0000
99 0.2560 0.4980 7.0000
100 0.2570 0.3030 4.0000
101 0.2570 0.4630 8.0000
102 0.2560 0.4750 7.0000
103 1.0780 0.4950 8.0000
104 0.8040 0.5950 12.0000
105 0.8810 0.3030 4.0000
106 0.2570 0.4620 8.0000
107 0.8050 0.4830 9.0000
108 1.5130 1.0650 31.0000
109 0.2570 0.3030 4.0000
110 1.0320 0.5490 11.0000
111 0.2570 0.3030 4.0000
112 0.8820 0.3030 4.0000
113 0.8830 0.5900 11.0000
