# chidx ee rg n
0 1.7740 0.8030 24.0000
1 13.0730 5.4480 315.0000
2 2.9540 1.6720 100.0000
3 1.5130 2.0020 68.0000
4 2.0740 1.7260 75.0000
5 0.2560 1.7640 99.0000
6 2.4860 3.4640 156.0000
7 0.8010 0.9080 28.0000
8 2.7820 1.7820 99.0000
9 1.3550 2.1640 89.0000
10 1.8790 1.4570 76.0000
11 1.9060 1.2510 39.0000
12 1.2930 0.6780 15.0000
13 3.2340 2.0150 73.0000
14 3.2770 2.1040 84.0000
15 0.8820 1.6380 51.0000
16 1.9380 1.8580 100.0000
17 2.0440 3.1700 240.0000
18 1.8030 1.3560 103.0000
19 3.6860 2.5090 136.0000
20 0.8170 0.9670 23.0000
21 1.9310 1.2770 40.0000
22 2.1450 1.1330 44.0000
23 4.9610 2.3340 125.0000
24 1.7110 1.2350 49.0000
25 1.3700 0.9270 40.0000
26 2.5580 1.3260 52.0000
27 1.3000 1.1290 37.0000
28 1.1290 1.2110 39.0000
29 1.7220 1.0350 28.0000
30 3.0050 1.5480 103.0000
31 2.3910 1.9620 96.0000
32 0.8050 0.6450 12.0000
33 1.8690 0.7860 16.0000
34 0.2570 1.5340 64.0000
35 1.9030 0.9710 31.0000
36 0.9900 1.5080 100.0000
37 0.2570 0.3030 4.0000
38 0.8810 1.0710 27.0000
39 2.7450 1.0860 28.0000
40 1.3860 1.0950 31.0000
41 2.0290 1.4020 48.0000
42 2.4260 1.5330 68.0000
43 0.2570 0.7950 20.0000
44 2.7990 1.3550 48.0000
45 1.0770 1.0190 32.0000
46 1.0280 0.6680 12.0000
47 2.2460 1.1760 35.0000
48 2.1480 1.6260 57.0000
49 4.9550 2.3810 84.0000
50 1.3620 0.6110 13.0000
51 1.0770 0.4950 8.0000
52 2.6700 1.7150 53.0000
53 1.5830 1.1030 52.0000
54 0.8820 0.4580 7.0000
55 1.4550 0.7240 15.0000
56 1.0430 0.9020 24.0000
57 0.8030 0.9920 28.0000
58 0.8830 0.6000 11.0000
59 1.3070 1.2610 36.0000
60 2.3280 1.3740 52.0000
61 0.2570 0.5500 11.0000
62 1.1890 0.8860 24.0000
63 0.2570 0.4530 8.0000
64 1.4080 0.8350 21.0000
65 2.3110 1.5280 61.0000
66 1.3530 0.4990 8.0000
67 1.0280 1.0320 36.0000
68 1.0590 0.5810 11.0000
69 0.8060 0.9040 20.0000
70 0.8170 0.5750 11.0000
71 1.0570 0.6690 12.0000
72 2.3710 0.9390 20.0000
73 0.2570 0.3030 4.0000
74 0.2570 0.8100 21.0000
75 0.2570 0.4650 7.0000
76 1.2130 0.5980 12.0000
77 0.2570 0.5560 11.0000
78 0.8830 0.4750 7.0000
79 0.2570 0.4440 7.0000
