# chidx ee rg n
0 2.6970 1.8920 63.0000
1 3.6090 1.7170 80.0000
2 1.6080 1.7330 99.0000
3 4.5720 1.8800 77.0000
4 0.8090 2.8770 136.0000
5 3.8160 1.5100 44.0000
6 0.2570 1.3290 64.0000
7 2.7220 1.4040 87.0000
8 1.9930 1.7310 65.0000
9 0.2570 0.3030 4.0000
10 1.6220 1.2170 49.0000
11 0.8130 0.5990 12.0000
12 1.0540 0.5110 8.0000
13 2.8890 1.8000 92.0000
14 0.2560 0.6320 11.0000
15 1.5240 1.2180 37.0000
16 1.1200 0.5470 11.0000
17 0.2570 1.6320 75.0000
18 1.0380 0.6590 13.0000
19 3.9670 1.7500 79.0000
20 1.6600 1.6780 127.0000
21 2.3440 1.3010 40.0000
22 0.2570 0.6610 12.0000
23 1.0280 0.7860 20.0000
24 1.9320 1.5850 84.0000
25 0.9920 1.0170 35.0000
26 0.2570 0.9200 29.0000
27 2.9090 2.2190 119.0000
28 1.1970 1.0910 47.0000
29 3.6870 2.0230 88.0000
30 2.0090 1.2720 45.0000
31 1.8790 2.1360 100.0000
32 0.8820 0.5720 11.0000
33 2.7390 1.7230 80.0000
34 1.3760 1.4350 55.0000
35 0.8820 0.4920 8.0000
36 1.0320 0.4800 9.0000
37 0.2570 0.7970 21.0000
38 0.8050 0.7140 17.0000
39 1.7110 1.0310 29.0000
40 1.7130 1.7090 41.0000
41 2.7140 1.5610 56.0000
42 0.8120 0.6760 13.0000
43 3.0830 1.8010 68.0000
44 0.8130 0.6920 16.0000
45 1.4550 1.1750 36.0000
46 1.1600 0.8980 23.0000
47 1.7030 1.1720 39.0000
48 0.2570 1.4420 41.0000
49 1.1640 1.0480 27.0000
50 1.0560 1.5850 63.0000
51 0.2570 0.6510 15.0000
52 1.0210 0.5970 12.0000
53 1.5850 0.7790 16.0000
54 0.8030 0.3320 5.0000
55 4.1220 1.7690 91.0000
56 1.5710 1.1220 55.0000
57 2.3020 1.4760 40.0000
58 1.2860 1.1180 35.0000
59 0.8810 0.4420 7.0000
60 0.2570 1.2730 32.0000
61 0.8140 0.4580 8.0000
62 1.3570 1.7570 80.0000
63 0.2570 0.6280 12.0000
64 0.8050 0.9560 24.0000
65 1.0570 1.0320 36.0000
66 0.2560 0.3030 4.0000
67 0.8150 1.2500 44.0000
68 1.8200 0.9960 40.0000
69 0.2570 0.3320 5.0000
70 0.2560 0.5840 12.0000
71 1.7900 1.1260 39.0000
72 0.2570 0.5620 11.0000
73 0.2570 0.6030 11.0000
74 1.8720 1.5030 75.0000
75 1.5600 0.8130 19.0000
76 2.1870 1.4100 60.0000
77 1.3900 0.7600 16.0000
78 1.8700 0.9740 27.0000
79 1.4030 0.8410 23.0000
80 0.2570 0.4970 9.0000
81 0.2570 0.4940 8.0000
82 1.0310 0.6160 11.0000
83 1.2450 0.5690 12.0000
84 0.2570 0.5340 9.0000
85 2.1790 1.7760 59.0000
86 1.4210 0.8950 25.0000
87 0.2570 0.8250 24.0000
88 1.2120 0.5850 11.0000
89 0.2570 0.4720 7.0000
90 1.0440 0.7530 19.0000
91 0.8020 0.5810 12.0000
92 1.2850 1.5660 44.0000
93 1.6920 0.7610 17.0000
94 1.0270 0.7220 15.0000
95 1.4880 0.8310 24.0000
96 0.8030 0.7780 16.0000
97 0.2570 0.8260 20.0000
98 0.8810 0.3030 4.0000
99 1.1960 1.2630 56.0000
100 0.8810 0.4360 7.0000
101 1.3980 0.7060 17.0000
102 1.2170 0.5900 12.0000
103 0.8810 0.4680 7.0000
104 0.8810 0.6470 11.0000
105 0.8020 0.4590 8.0000
106 1.3070 0.5780 11.0000
107 1.1370 0.4580 8.0000
108 0.8810 0.6750 15.0000
109 0.2570 0.5740 12.0000
110 1.5200 0.6350 13.0000
111 0.8160 0.4580 8.0000
112 1.1900 0.4910 9.0000
113 0.2560 0.3030 4.0000
114 1.1920 0.7730 19.0000
115 1.0950 0.6100 11.0000
116 0.2570 0.3030 4.0000
117 0.8810 0.4390 7.0000
118 0.8810 0.4380 7.0000
119 0.8810 0.3030 4.0000
120 0.8020 0.5210 8.0000
