step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
0	0	0	0	0	5087.16	4467.66	0	15737.1	0	10063.7	0	0	-nan
1000	1	4.42613	26556.8	0	4968.49	4028.92	0	15280.4	0	9866.78	0	0	-nan
2000	2	4.5825	27495	0	5266.85	4574.97	0	15443	0	10057.4	0	0	-nan
3000	3	4.35604	26136.2	0	5196.51	4709.03	0	15619.2	0	9682.84	0	0	-nan
4000	4	4.37644	26258.6	0	5234.64	4395.65	0	15272.3	0	10195.6	0	0	-nan
5000	5	4.43577	26614.6	0	4800.14	4416.38	0	15548.1	0	9651.96	0	0	-nan
6000	6	4.49431	26965.9	0	5266.2	4400.94	0	15676.4	0	9906.75	0	0	-nan
7000	7	4.51926	27115.6	0	5072.89	4427.04	0	15335.7	0	10222.1	0	0	-nan
8000	8	4.38234	26294.1	0	5417.31	4538.91	0	15794.9	0	9938.42	0	0	-nan
9000	9	4.41951	26517.1	0	4896.55	4240.99	0	15997.3	0	9906.75	0	0	-nan
10000	10	4.41957	26517.4	0	5306.12	4465.64	0	15324	0	10068.9	0	0	-nan
11000	11	4.48976	26938.6	0	5074.57	4597.36	0	15406.1	0	10166.2	0	0	-nan
12000	12	4.46223	26773.4	0	5233.04	4284.91	0	15606.2	0	9522.54	0	0	-nan
13000	13	4.49514	26970.8	0	5271.83	4500.15	0	15276.5	0	9638.19	0	0	-nan
14000	14	4.41373	26482.4	0	5131.89	4515.31	0	15607.9	0	9929.26	0	0	-nan
15000	15	4.40799	26447.9	0	5368.38	4381.2	0	15587	0	9757.07	0	0	-nan
16000	16	4.30347	25820.8	0	5136.24	4385.07	0	15543.4	0	9863.9	0	0	-nan
17000	17	4.43278	26596.7	0	5290.28	4163.65	0	16013.6	0	9701.67	0	0	-nan
18000	18	4.43442	26606.5	0	5077.9	4467.44	0	15175.2	0	9853.76	0	0	-nan
19000	19	4.47036	26822.2	0	5236.45	4385.32	0	15659.1	0	9893.87	0	0	-nan
20000	20	4.54604	27276.3	0	5373.1	4398.33	0	15496.8	0	9717.22	0	0	-nan
21000	21	4.42775	26566.5	0	5147.94	4311.05	0	15333.6	0	9771.65	0	0	-nan
22000	22	4.5497	27298.2	0	5154.95	4339.64	0	15865.7	0	9919.03	0	0	-nan
23000	23	4.43309	26598.5	0	5363.35	4412.09	0	15773.5	0	9955.07	0	0	-nan
24000	24	4.39866	26391.9	0	5131.66	4633.11	0	15804	0	10004	0	0	-nan
25000	25	4.45818	26749.1	0	5196.2	4408	0	15552.2	0	10177	0	0	-nan
26000	26	4.33159	25989.5	0	5112.58	4558.05	0	15623.8	0	10124.9	0	0	-nan
27000	27	4.47345	26840.7	0	5015.88	4558.47	0	16029.2	0	9697.14	0	0	-nan
28000	28	4.39121	26347.3	0	4767.55	4438.61	0	15630	0	10148.9	0	0	-nan
29000	29	4.41553	26493.2	0	5408.4	4362.21	0	16006.8	0	10032.1	0	0	-nan
30000	30	4.37086	26225.2	0	5031.07	4666.34	0	15575.8	0	10293.6	0	0	-nan
31000	31	4.45705	26742.3	0	5454.45	4653.48	0	15768.5	0	10138.8	0	0	-nan
32000	32	4.4458	26674.8	0	5113.14	4386.13	0	15818	0	10424.3	0	0	-nan
33000	33	4.46676	26800.6	0	5361.68	4397.37	0	15836.4	0	9958.09	0	0	-nan
34000	34	4.43544	26612.6	0	5278.46	4522.09	0	15868.4	0	10028.4	0	0	-nan
35000	35	4.36022	26161.3	0	4983.65	4401.4	0	15302.4	0	10167.8	0	0	-nan
36000	36	4.34964	26097.9	0	5309.75	4324.78	0	15283.2	0	10025.7	0	0	-nan
37000	37	4.41781	26506.8	0	5154.6	4477.04	0	15861.9	0	9852.62	0	0	-nan
38000	38	4.44846	26690.8	0	5385.09	4337.35	0	15467.1	0	9855.89	0	0	-nan
39000	39	4.44182	26650.9	0	5086.27	4292.26	0	15259.5	0	9773.03	0	0	-nan
40000	40	4.39489	26369.3	0	5160.3	4466.24	0	15578.1	0	10105.7	0	0	-nan
41000	41	4.44599	26675.9	0	5187.26	4895.88	0	15636.4	0	9892.86	0	0	-nan
42000	42	4.58419	27505.1	0	5158.83	4267.41	0	15514.6	0	10051.8	0	0	-nan
43000	43	4.44907	26694.4	0	5105.05	4485.34	0	15282.7	0	9998.05	0	0	-nan
44000	44	4.48196	26891.7	0	5279.71	4323.04	0	15587.8	0	9921.68	0	0	-nan
45000	45	4.40862	26451.7	0	5203.62	4374.07	0	15311.4	0	10314.9	0	0	-nan
46000	46	4.5721	27432.6	0	5548.32	4564.48	0	15582.7	0	9939.66	0	0	-nan
47000	47	4.43708	26622.5	0	5149.92	4389.04	0	15613.3	0	9935.42	0	0	-nan
48000	48	4.42155	26529.3	0	5268.06	4400.91	0	15622.5	0	9664.58	0	0	-nan
49000	49	4.37984	26279.1	0	5384.84	4300.33	0	15722.4	0	9874.87	0	0	-nan
50000	50	4.43641	26618.5	0	5134.97	4403.75	0	15431.9	0	9944.34	0	0	-nan
51000	51	4.45379	26722.8	0	5243.33	4523.44	0	15677.8	0	10017.2	0	0	-nan
52000	52	4.42045	26522.7	0	5104.76	4443.88	0	15472.7	0	10168.4	0	0	-nan
53000	53	4.36504	26190.2	0	5003.57	4359.89	0	15446.6	0	10221.9	0	0	-nan
