step	time	T	Ekin	chem_fpl_reaction_1	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	lj-tab	tab-dynamic_0	tab-scaled_0	cr_3	count_0	res_fpl_0
64000	64	4.40559	26433.5	0	4975.99	4598.95	0	15393.6	0	9881.43	0	0	-nan
65000	65	4.50424	27025.4	0	5132.19	4279.35	0	15654.3	0	10073.8	0	0	-nan
66000	66	4.62176	27730.6	0	5150.95	4302.11	0	15460.3	0	10134.5	0	0	-nan
67000	67	4.37282	26236.9	0	5498.35	4316.5	0	15549.3	0	10061.3	0	0	-nan
68000	68	4.43333	26600	0	5091.41	4363.64	0	15494	0	10124.9	0	0	-nan
69000	69	4.39569	26374.1	0	5225.92	4431.38	0	15912.4	0	10220.4	0	0	-nan
70000	70	4.48813	26928.8	0	5184.49	4794.32	0	15847.1	0	9891.21	0	0	-nan
71000	71	4.54196	27251.7	0	5340.28	4582.26	0	15672.6	0	10145.7	0	0	-nan
72000	72	4.31834	25910	0	5432.61	4534.63	0	15511.5	0	10136.9	0	0	-nan
73000	73	4.38624	26317.4	0	5097.75	4562.26	0	15627.3	0	9912.64	0	0	-nan
74000	74	4.49101	26946	0	5423.86	4487.86	0	15653.1	0	9801.3	0	0	-nan
75000	75	4.3945	26367	0	5289.24	4344.84	0	15705.4	0	10007.5	0	0	-nan
76000	76	4.4603	26761.8	0	5494.53	4516.57	0	15735.5	0	10107.3	0	0	-nan
77000	77	4.44429	26665.8	0	5309.57	4424.87	0	15715.1	0	9626.32	0	0	-nan
78000	78	4.34731	26083.8	0	5291.92	4489.8	0	15579.6	0	9886.08	0	0	-nan
79000	79	4.47582	26854.9	0	5182.71	4437.73	0	15710.8	0	9709.58	0	0	-nan
80000	80	4.37302	26238.1	0	5099.5	4410.78	0	15712.8	0	10260.6	0	0	-nan
81000	81	4.44189	26651.4	0	5249.72	4572.66	0	15422	0	9977.16	0	0	-nan
82000	82	4.45022	26701.3	0	5280.45	4320.78	0	15892.3	0	9907.91	0	0	-nan
83000	83	4.42424	26545.4	0	4956.77	4292.73	0	15650.8	0	10300.4	0	0	-nan
84000	84	4.50448	27026.9	0	5202.02	4553.63	0	16024.7	0	9844.32	0	0	-nan
85000	85	4.42618	26557.1	0	5243.5	4444.25	0	15387.5	0	9894.81	0	0	-nan
86000	86	4.45676	26740.6	0	5204.64	4530.49	0	15145.8	0	10153.7	0	0	-nan
87000	87	4.43133	26588	0	5009.67	4541.34	0	15632.4	0	9983.23	0	0	-nan
88000	88	4.4267	26560.2	0	5351.87	4592.57	0	15244.9	0	10205.8	0	0	-nan
89000	89	4.37423	26245.4	0	5188.35	4471.73	0	15219.6	0	9832.78	0	0	-nan
90000	90	4.4499	26699.4	0	5121.32	4437.15	0	15223.7	0	9895.16	0	0	-nan
91000	91	4.32878	25972.7	0	5148.28	4390.31	0	15532.4	0	9814.86	0	0	-nan
92000	92	4.43512	26610.7	0	5118.43	4547.12	0	15536.8	0	9765.4	0	0	-nan
93000	93	4.43417	26605	0	5353.69	4430.12	0	15544.2	0	10045	0	0	-nan
94000	94	4.37119	26227.1	0	5223.31	4595.14	0	15381	0	9768.86	0	0	-nan
95000	95	4.42133	26528	0	5152.12	4624.4	0	15211.4	0	9881.35	0	0	-nan
96000	96	4.46362	26781.7	0	5078.2	4302.04	0	15596.7	0	9976.78	0	0	-nan
97000	97	4.43741	26624.5	0	5288.33	4135.54	0	15375.5	0	10202.1	0	0	-nan
98000	98	4.42061	26523.6	0	5114.22	4516.56	0	15565.2	0	10189.2	0	0	-nan
99000	99	4.46144	26768.6	0	5421.67	4403.2	0	15804.5	0	9962.84	0	0	-nan
100000	100	4.46266	26776	0	5214	4368.03	0	16004.3	0	9989.16	0	0	-nan
101000	101	4.37107	26226.4	0	5253.44	4405.67	0	15414.7	0	10084.2	0	0	-nan
102000	102	4.42121	26527.3	0	5263.84	4438.28	0	15503.3	0	9994.17	0	0	-nan
103000	103	4.4146	26487.6	0	5262.5	4443.89	0	15586.4	0	10047.7	0	0	-nan
104000	104	4.46273	26776.4	0	5089.02	4329.16	0	15633	0	9649.81	0	0	-nan
105000	105	4.44059	26643.5	0	5374.45	4455.73	0	15233.8	0	9879.75	0	0	-nan
106000	106	4.42303	26538.2	0	5244.38	4495.22	0	15476.2	0	9937.92	0	0	-nan
107000	107	4.4806	26883.6	0	5302.69	4566.48	0	15631.3	0	9904.25	0	0	-nan
108000	108	4.54209	27252.5	0	5333.6	4421.07	0	15421.7	0	10262.7	0	0	-nan
109000	109	4.35672	26140.3	0	5112.63	4294.76	0	15615.4	0	9843.24	0	0	-nan
110000	110	4.43085	26585.1	0	5212.01	4469.33	0	15270.6	0	10390.7	0	0	-nan
111000	111	4.48655	26919.3	0	5312.19	4546.07	0	15686.1	0	10194.7	0	0	-nan
112000	112	4.41967	26518	0	5310.83	4361.03	0	15697	0	10129.5	0	0	-nan
113000	113	4.42484	26549.1	0	4996.7	4369.81	0	15647.8	0	9803.26	0	0	-nan
114000	114	4.44803	26688.2	0	5500.89	4480.19	0	15603.8	0	9633.85	0	0	-nan
