step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
71000	71	4.46952	26817.1	255.897	5213.64	4306.5	0	0	25299.3	0	0	0
72000	72	4.49326	26959.6	272.971	5234.78	4690.94	0	0	25263.4	0	0	0
73000	73	4.48802	26928.1	268.787	5284.52	4402.56	0	0	25419.1	0	0	0
74000	74	4.51075	27064.5	259.983	5014.38	4504.39	0	0	25564.2	0	0	0
75000	75	4.43203	26592.2	260.671	5258.78	4338	0	0	25517.6	0	0	0
76000	76	4.47269	26836.1	267.285	5143.41	4445.64	0	0	25119.8	0	0	0
77000	77	4.40762	26445.7	260.2	5055.43	4543.35	0	0	25368.9	0	0	0
78000	78	4.43977	26638.6	257.563	5190.87	4386.01	0	0	25858.5	0	0	0
79000	79	4.49454	26967.2	267.543	5240.41	4410.18	0	0	25609.3	0	0	0
80000	80	4.41959	26517.6	260.001	5570.71	4503.65	0	0	25531.8	0	0	0
81000	81	4.50558	27033.5	260.66	5050.8	4465.89	0	0	25022.2	0	0	0
82000	82	4.34732	26083.9	272.052	5177.67	4391.35	0	0	25490.2	0	0	0
83000	83	4.5027	27016.2	271.754	5256.44	4397.94	0	0	25333.3	0	0	0
84000	84	4.44857	26691.4	264.629	5346.97	4453.34	0	0	25502	0	0	0
85000	85	4.35653	26139.2	261.853	5002.57	4152.8	0	0	25307.9	0	0	0
86000	86	4.45773	26746.4	267.231	5440.23	4543.74	0	0	25407.6	0	0	0
87000	87	4.35958	26157.5	259.239	5162.7	4488.16	0	0	25197.6	0	0	0
88000	88	4.40274	26416.4	268.712	5386.01	4508.22	0	0	25624.2	0	0	0
89000	89	4.43207	26592.4	260.127	5420.27	4478.06	0	0	25755.1	0	0	0
90000	90	4.40264	26415.8	264.004	5164.17	4367.49	0	0	25542.4	0	0	0
91000	91	4.4447	26668.2	264.459	5081.57	4451.47	0	0	26098.1	0	0	0
92000	92	4.42985	26579.1	273.606	5341.32	4531.53	0	0	25684.8	0	0	0
93000	93	4.40252	26415.1	272.096	5113	4584.84	0	0	25959	0	0	0
94000	94	4.4154	26492.4	263.542	5423.67	4462.59	0	0	25821	0	0	0
95000	95	4.47125	26827.5	269.44	5169.68	4508.27	0	0	25774.2	0	0	0
96000	96	4.3957	26374.2	268.601	5334.12	4612.89	0	0	25062.8	0	0	0
97000	97	4.41189	26471.3	269.957	5057.3	4640.95	0	0	25083.4	0	0	0
98000	98	4.44788	26687.3	255.08	5170.22	4734.6	0	0	25146.1	0	0	0
99000	99	4.46094	26765.7	259.147	5121.85	4606.79	0	0	24913.1	0	0	0
100000	100	4.39858	26391.5	258.17	5456.96	4394.92	0	0	25189.7	0	0	0
101000	101	4.45533	26732	265.468	5128.17	4394.77	0	0	25578.1	0	0	0
102000	102	4.47267	26836	263.517	5285.17	4551.22	0	0	25562.1	0	0	0
103000	103	4.42388	26543.3	264.507	5440.49	4450.56	0	0	25143.8	0	0	0
104000	104	4.44139	26648.4	262.875	4965.99	4467.04	0	0	25307.5	0	0	0
105000	105	4.39675	26380.5	267.308	5409.4	4469.42	0	0	25295.3	0	0	0
106000	106	4.36913	26214.8	256.052	5104	4422.96	0	0	25500.8	0	0	0
107000	107	4.38183	26291	277.916	5300.28	4435.45	0	0	26026.2	0	0	0
108000	108	4.54725	27283.5	263.83	5431.45	4304.34	0	0	25633.4	0	0	0
109000	109	4.38839	26330.3	257.154	5174.41	4359.06	0	0	25965.5	0	0	0
110000	110	4.52757	27165.4	262.471	5226.14	4370.79	0	0	25774.9	0	0	0
111000	111	4.34853	26091.2	270.733	5166.51	4441.03	0	0	25671.1	0	0	0
112000	112	4.36128	26167.7	272.54	5246.8	4375.07	0	0	25679	0	0	0
113000	113	4.34783	26087	255.573	5380.23	4211.38	0	0	25361.4	0	0	0
114000	114	4.546	27276	263.82	5138.45	4455.65	0	0	25372.2	0	0	0
115000	115	4.53283	27197	276.163	5158.36	4412.15	0	0	25886.7	0	0	0
116000	116	4.4356	26613.6	267.473	5058.83	4569	0	0	25552.2	0	0	0
117000	117	4.37657	26259.4	254.19	5387.39	4424.47	0	0	25303.1	0	0	0
118000	118	4.45737	26744.2	270.738	5469.26	4583.93	0	0	25453	0	0	0
119000	119	4.32213	25932.8	265.997	5269.78	4238.27	0	0	25210.4	0	0	0
120000	120	4.36571	26194.3	263.345	5252.62	4616.61	0	0	25612.4	0	0	0
121000	121	4.43555	26613.3	253.595	5259.3	4446.3	0	0	25471.2	0	0	0
122000	122	4.50862	27051.7	269.244	5403.71	4447.74	0	0	25162.3	0	0	0
123000	123	4.36926	26215.6	274.599	5513	4700.64	0	0	25172.7	0	0	0
124000	124	4.4999	26999.4	269.957	5196.59	4774.04	0	0	25525.6	0	0	0
125000	125	4.379	26274	258.765	5335.07	4460.37	0	0	25368.4	0	0	0
126000	126	4.45328	26719.7	269.567	4958.23	4596.36	0	0	25667.5	0	0	0
127000	127	4.34498	26069.9	256.825	5107.47	4164.27	0	0	25754.8	0	0	0
128000	128	4.39494	26369.6	267.757	5341.62	4535.36	0	0	25697.6	0	0	0
129000	129	4.37096	26225.7	260.29	5403.78	4230.89	0	0	25413.2	0	0	0
130000	130	4.36329	26179.8	260.251	5408.08	4398.62	0	0	25665	0	0	0
131000	131	4.39932	26395.9	259.626	5325.14	4476.6	0	0	25946.9	0	0	0
132000	132	4.44491	26669.5	255.032	5229.99	4439.08	0	0	25483.6	0	0	0
133000	133	4.4573	26743.8	264.749	5140.31	4286.68	0	0	25538.7	0	0	0
134000	134	4.417	26502	268.918	5213.44	4522.4	0	0	25399	0	0	0
135000	135	4.43992	26639.5	253.09	5268.96	4559.13	0	0	25507.6	0	0	0
136000	136	4.34966	26098	270.784	5431.54	4449.73	0	0	25504.9	0	0	0
137000	137	4.39902	26394.1	266.36	5360.29	4271.1	0	0	25835.6	0	0	0
138000	138	4.4234	26540.4	278.217	5295.12	4322.03	0	0	25500.3	0	0	0
139000	139	4.42052	26523.1	258.074	5089.23	4512.28	0	0	25759.1	0	0	0
140000	140	4.34389	26063.3	274.583	4966.51	4265.15	0	0	25636.6	0	0	0
141000	141	4.3789	26273.4	262.516	5050.96	4587.34	0	0	25327.3	0	0	0
142000	142	4.42488	26549.3	260.116	5661.12	4387.33	0	0	25582.2	0	0	0
143000	143	4.42009	26520.6	270.262	5281.42	4567.99	0	0	25814.4	0	0	0
144000	144	4.39381	26362.8	271.293	5139.15	4652.12	0	0	25231.6	0	0	0
145000	145	4.41447	26486.8	266.496	5088.62	4389.36	0	0	25263.5	0	0	0
146000	146	4.51082	27064.9	272.762	5015.01	4551.49	0	0	25834.8	0	0	0
147000	147	4.36848	26210.9	266.379	5341.95	4511.61	0	0	25728.4	0	0	0
148000	148	4.47652	26859.1	267.088	5233.57	4312.02	0	0	26367.6	0	0	0
149000	149	4.48602	26916.1	266.009	5454.9	4538.37	0	0	25726.4	0	0	0
150000	150	4.34467	26068	266.628	5614.94	4340.71	0	0	25700.8	0	0	0
151000	151	4.44967	26698	267.629	5073.92	4346.81	0	0	25495.7	0	0	0
152000	152	4.59777	27586.6	267.332	5241.42	4458.83	0	0	25641.6	0	0	0
153000	153	4.4961	26976.6	269.781	5527.7	4635.09	0	0	25542.1	0	0	0
154000	154	4.46731	26803.8	269.546	5062.51	4551.83	0	0	25823	0	0	0
155000	155	4.37955	26277.3	266.471	5142.42	4891.75	0	0	25661.4	0	0	0
156000	156	4.45597	26735.8	256.311	5551.06	4557.72	0	0	25567.7	0	0	0
157000	157	4.37539	26252.3	261.245	5112.32	4555.51	0	0	25319.7	0	0	0
158000	158	4.38946	26336.7	264.039	5033.91	4545.22	0	0	25425.3	0	0	0
159000	159	4.45345	26720.7	269.787	5002.68	4340.76	0	0	25372.7	0	0	0
160000	160	4.47165	26829.9	267.865	5332.52	4682.28	0	0	25381.8	0	0	0
161000	161	4.47205	26832.3	279.987	5131.46	4472.5	0	0	25204.5	0	0	0
162000	162	4.34619	26077.1	253.121	5313.34	4135.54	0	0	25335.1	0	0	0
163000	163	4.4636	26781.6	270.768	5124.5	4462.96	0	0	25296.9	0	0	0
164000	164	4.41807	26508.4	270.953	5438.02	4658.65	0	0	25409.3	0	0	0
165000	165	4.44115	26646.9	265.051	5334.23	4297.44	0	0	25401.7	0	0	0
166000	166	4.47225	26833.5	268.873	5109.2	4481.94	0	0	25461.4	0	0	0
167000	167	4.47845	26870.7	276.359	5404.11	4411.54	0	0	25197.5	0	0	0
168000	168	4.43487	26609.2	264.812	5464.28	4322.42	0	0	25201.6	0	0	0
169000	169	4.44064	26643.8	265.058	5078.13	4318.05	0	0	25157	0	0	0
170000	170	4.4953	26971.8	276.503	5128.67	4647.83	0	0	25654.8	0	0	0
171000	171	4.40664	26439.9	270.523	5206.54	4512.51	0	0	25538.3	0	0	0
172000	172	4.50044	27002.6	273.366	5357.01	4605.92	0	0	25828.6	0	0	0
173000	173	4.51445	27086.7	259.308	5227.2	4498.5	0	0	25165.9	0	0	0
174000	174	4.48156	26889.4	264.623	5498.4	4080.6	0	0	25681.2	0	0	0
175000	175	4.46193	26771.6	259.544	5454.63	4338.28	0	0	25404.1	0	0	0
176000	176	4.39565	26373.9	269.009	5039.57	4456.81	0	0	25452.2	0	0	0
177000	177	4.54632	27277.9	274.282	5070.1	4497.49	0	0	25554	0	0	0
178000	178	4.4037	26422.2	260.522	5184.84	4641.86	0	0	25663.2	0	0	0
179000	179	4.42154	26529.3	258.691	5269.2	4429.07	0	0	25709.9	0	0	0
180000	180	4.47297	26837.8	266.036	5372.53	4601.92	0	0	25509.5	0	0	0
181000	181	4.37893	26273.6	266.796	5176.59	4487.67	0	0	25409.2	0	0	0
182000	182	4.46075	26764.5	264	5450.05	4226.57	0	0	25901.1	0	0	0
183000	183	4.37705	26262.3	256.854	5134	4369.57	0	0	25602.5	0	0	0
184000	184	4.39855	26391.3	258.27	5480.39	4419.5	0	0	25710.2	0	0	0
185000	185	4.35203	26112.2	273.861	5320.07	4457.95	0	0	26076.7	0	0	0
186000	186	4.51576	27094.5	272.97	4993.45	4327.22	0	0	25754.9	0	0	0
187000	187	4.32948	25976.9	261.445	5494.84	4337.17	0	0	25326.9	0	0	0
188000	188	4.49808	26988.5	272.033	5235.35	4403.46	0	0	25624.7	0	0	0
189000	189	4.40707	26442.4	257.712	5256.54	4280.91	0	0	25394	0	0	0
190000	190	4.40639	26438.3	269.709	5270.86	4478.85	0	0	25601.3	0	0	0
191000	191	4.40502	26430.1	261.041	5248.49	4545.04	0	0	25304.1	0	0	0
192000	192	4.40938	26456.3	260.064	5490.14	4551.34	0	0	25639.5	0	0	0
193000	193	4.44594	26675.7	269.259	5180.49	4691.95	0	0	25764	0	0	0
194000	194	4.45265	26715.9	266.67	5429.12	4380.67	0	0	25710.8	0	0	0
195000	195	4.47304	26838.2	273.817	5014.91	4560.6	0	0	25075.7	0	0	0
196000	196	4.39723	26383.4	275.48	5244.64	4435.21	0	0	25633	0	0	0
197000	197	4.37783	26267	263.901	5291.13	4543.17	0	0	25303.3	0	0	0
198000	198	4.5539	27323.4	273.738	5316.14	4124.09	0	0	25703.2	0	0	0
199000	199	4.4818	26890.8	264.856	5350.35	4428.32	0	0	25491.2	0	0	0
200000	200	4.45784	26747	273.053	5113.9	4425.44	0	0	25547.9	0	0	0
201000	201	4.43867	26632	264.835	5329.55	4355.03	0	0	25461.2	0	0	0
202000	202	4.39646	26378.8	265.402	5202.87	4283.94	0	0	25407.9	0	0	0
203000	203	4.43052	26583.1	259.276	5221.02	4481.82	0	0	25518.2	0	0	0
204000	204	4.46071	26764.3	276.571	5392.84	4268.53	0	0	25320.7	0	0	0
205000	205	4.43851	26631	261.069	5303.6	4327.84	0	0	25494.3	0	0	0
206000	206	4.42947	26576.8	272.193	5188.89	4464.25	0	0	25472.4	0	0	0
207000	207	4.49829	26989.7	260.808	5168.52	4452.7	0	0	25054	0	0	0
208000	208	4.44544	26672.6	273.562	5365.07	4568.24	0	0	25404.8	0	0	0
209000	209	4.31279	25876.8	261.462	5343.99	4431.27	0	0	25456.4	0	0	0
210000	210	4.40448	26426.9	265.083	5232.86	4282.53	0	0	25164.1	0	0	0
211000	211	4.47403	26844.2	265.911	5156.39	4373.95	0	0	25416.7	0	0	0
212000	212	4.4267	26560.2	262.537	5115.18	4446.21	0	0	25753.9	0	0	0
213000	213	4.38146	26288.8	261.883	5219.98	4273.31	0	0	25239	0	0	0
214000	214	4.39054	26343.3	271.003	5433.44	4602.3	0	0	25373.6	0	0	0
215000	215	4.33932	26035.9	270.02	5254.37	4441.51	0	0	25242.2	0	0	0
216000	216	4.3636	26181.6	260.193	5321.44	4500.62	0	0	25332.3	0	0	0
217000	217	4.46863	26811.8	269.039	5199.35	4357.94	0	0	25486.3	0	0	0
218000	218	4.44785	26687.1	279.408	5306.15	4546.41	0	0	25788.1	0	0	0
219000	219	4.32332	25939.9	274.876	5070.78	4383.82	0	0	25513.8	0	0	0
220000	220	4.4393	26635.8	272.327	5209.25	4265.87	0	0	25462.5	0	0	0
221000	221	4.40509	26430.5	269.585	5138.92	4521.64	0	0	25336.9	0	0	0
222000	222	4.40403	26424.2	266.832	4848.21	4389.72	0	0	24951	0	0	0
223000	223	4.40867	26452	258.588	4946.8	4462.53	0	0	25016.6	0	0	0
224000	224	4.39586	26375.2	260.359	5370.33	4414.48	0	0	25425.2	0	0	0
225000	225	4.39341	26360.4	268.326	4892.23	4539.57	0	0	25611.7	0	0	0
226000	226	4.42509	26550.6	269.441	4858.06	4546.38	0	0	25642.3	0	0	0
227000	227	4.34839	26090.3	273.919	5116.32	4582.67	0	0	26306.5	0	0	0
228000	228	4.4619	26771.4	275.242	5280.76	4548.91	0	0	25667.2	0	0	0
229000	229	4.43615	26616.9	278.141	5190.31	4496.69	0	0	26061.4	0	0	0
230000	230	4.38815	26328.9	263.831	5362.45	4538.6	0	0	25684.7	0	0	0
231000	231	4.43248	26594.9	252.094	5522.18	4771.68	0	0	25883.8	0	0	0
232000	232	4.43913	26634.8	267.811	4978.24	4246.28	0	0	25505.3	0	0	0
233000	233	4.44728	26683.7	262.278	5436.32	4595.89	0	0	25463.6	0	0	0
234000	234	4.37012	26220.7	267.62	5434.94	4501.49	0	0	25409.9	0	0	0
235000	235	4.37485	26249.1	256.92	5471.18	4494.13	0	0	25517.1	0	0	0
236000	236	4.37381	26242.8	268.414	4809.32	4224.89	0	0	25583.7	0	0	0
237000	237	4.48014	26880.8	265.478	5170.81	4243.39	0	0	25478.1	0	0	0
238000	238	4.39788	26387.3	260.72	5347.81	4317.73	0	0	25532.6	0	0	0
239000	239	4.33473	26008.4	269.452	5309.34	4335.01	0	0	25489.9	0	0	0
240000	240	4.43666	26620	263.426	5113.43	4598.68	0	0	25348.5	0	0	0
241000	241	4.38708	26322.5	266.539	5253.65	4417.19	0	0	25065.3	0	0	0
242000	242	4.37472	26248.3	259.469	5595.94	4429.25	0	0	25502.9	0	0	0
243000	243	4.47203	26832.2	268.405	5527.05	4271.11	0	0	25476.2	0	0	0
244000	244	4.42268	26536.1	266.253	5134.45	4361.82	0	0	25711.4	0	0	0
245000	245	4.46844	26810.7	255.518	5071.43	4502.1	0	0	25582.5	0	0	0
246000	246	4.52577	27154.6	269.634	5093.6	4409.94	0	0	25585.3	0	0	0
247000	247	4.40185	26411.1	272.942	5317.15	4559.21	0	0	25191.7	0	0	0
248000	248	4.48207	26892.4	270.126	5492.58	4247.56	0	0	25573.2	0	0	0
249000	249	4.445	26670	266.223	5119.76	4514.39	0	0	25452	0	0	0
250000	250	4.43915	26634.9	263.205	5400.92	4762.88	0	0	25551.2	0	0	0
251000	251	4.42397	26543.8	267.669	5129.65	4444.02	0	0	25346.8	0	0	0
252000	252	4.50899	27054	265.993	5437.97	4237.19	0	0	25412.1	0	0	0
253000	253	4.45174	26710.4	270.02	5182.02	4474.55	0	0	25263.9	0	0	0
254000	254	4.5365	27219	259.605	5119.26	4131.82	0	0	25529.8	0	0	0
255000	255	4.483	26898	257.027	5275.05	4437.32	0	0	25685.2	0	0	0
256000	256	4.43478	26608.7	278.077	5319.99	4630.23	0	0	25667.5	0	0	0
257000	257	4.51283	27077	274.189	5385.22	4456.96	0	0	25888.6	0	0	0
258000	258	4.36427	26185.6	257.633	5541.03	4410.45	0	0	25729.8	0	0	0
259000	259	4.51512	27090.7	275.465	5087.58	4295.03	0	0	25611.7	0	0	0
260000	260	4.42248	26534.9	276.494	5107.54	4529.33	0	0	25934	0	0	0
261000	261	4.52239	27134.4	274.29	5256.9	4303.82	0	0	25520.6	0	0	0
262000	262	4.44721	26683.2	277.195	4945.48	4198.44	0	0	25569.4	0	0	0
263000	263	4.40943	26456.6	266.461	4941.87	4285.12	0	0	25558.1	0	0	0
264000	264	4.41234	26474.1	268.405	5122.73	4625.15	0	0	25352	0	0	0
265000	265	4.5173	27103.8	265.802	5375.86	4437.16	0	0	25472.7	0	0	0
266000	266	4.44576	26674.5	273.446	5238.5	4454.46	0	0	25959.2	0	0	0
267000	267	4.40131	26407.9	268.136	5148.79	4400.22	0	0	25334.2	0	0	0
268000	268	4.42522	26551.3	269.341	5071.5	4507.1	0	0	25515.7	0	0	0
269000	269	4.51167	27070	268.361	5234.74	4413.54	0	0	25700.3	0	0	0
270000	270	4.42858	26571.5	277.55	5127.95	4514.64	0	0	25758	0	0	0
271000	271	4.50206	27012.4	262.748	5158.21	4164.92	0	0	25827.3	0	0	0
272000	272	4.50251	27015.1	269.228	5212.58	4664.34	0	0	25192	0	0	0
273000	273	4.49567	26974	265.859	5113.73	4382.14	0	0	25508.4	0	0	0
274000	274	4.53988	27239.3	263.572	4942.28	4679.99	0	0	25035.6	0	0	0
275000	275	4.30872	25852.3	259.515	5130.31	4377.36	0	0	25493.9	0	0	0
276000	276	4.43042	26582.5	265.925	5130.73	4336.11	0	0	25395.3	0	0	0
277000	277	4.32145	25928.7	262.017	5269.98	4269.53	0	0	25319.9	0	0	0
278000	278	4.46227	26773.6	272.297	4937.88	4550.26	0	0	25537.8	0	0	0
279000	279	4.41073	26464.4	256.846	5352.38	4362.37	0	0	25491.4	0	0	0
280000	280	4.40841	26450.5	261.799	5054.51	4336.24	0	0	25220.2	0	0	0
281000	281	4.53185	27191.1	262.98	5215.52	4544.71	0	0	25510.3	0	0	0
282000	282	4.57449	27446.9	269.955	5344	4359.19	0	0	25581.1	0	0	0
283000	283	4.41571	26494.3	266.523	5245.01	4346.84	0	0	25537	0	0	0
284000	284	4.51974	27118.5	266.512	5278.88	4579.49	0	0	25427.4	0	0	0
285000	285	4.53296	27197.7	260.076	4951.17	4562.07	0	0	25478	0	0	0
286000	286	4.49129	26947.8	267.969	4901.9	4412.03	0	0	25692.7	0	0	0
287000	287	4.51226	27073.5	262.686	5067.56	4262.78	0	0	25543.8	0	0	0
288000	288	4.35763	26145.8	261.314	5504.45	4402.95	0	0	25286.6	0	0	0
289000	289	4.39014	26340.8	268.747	5434.84	4489.2	0	0	25247.7	0	0	0
290000	290	4.50946	27056.8	260.977	5241.74	4695.22	0	0	25324.5	0	0	0
291000	291	4.41148	26468.9	264.819	5269.82	4600.42	0	0	25751.2	0	0	0
292000	292	4.39707	26382.4	273.154	5505.45	4444.76	0	0	25766.7	0	0	0
293000	293	4.42016	26520.9	250.003	5242.92	4478.35	0	0	25636.8	0	0	0
294000	294	4.42403	26544.2	263.752	5082.19	4675.67	0	0	25418.4	0	0	0
295000	295	4.47847	26870.8	274.578	5326.15	4429.03	0	0	25763.7	0	0	0
296000	296	4.44683	26681	269.587	5250.34	4504.58	0	0	25461	0	0	0
297000	297	4.4915	26949	265.701	5256.55	4828.49	0	0	25795.7	0	0	0
298000	298	4.40407	26424.4	263.608	4885.93	4359.25	0	0	25424.4	0	0	0
299000	299	4.364	26184	265.756	5370.58	4408.73	0	0	25420.6	0	0	0
