step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
0	0	2.66784	16007	237.165	5087.16	4467.66	0	0	25793.6	0	0	0
1000	1	4.48099	26886	260.822	5281.45	4317.79	0	0	25382.1	0	0	0
2000	2	4.39133	26348	265.07	4994.19	4650.82	0	0	25413.2	0	0	0
3000	3	4.33902	26034.1	257.606	5186.91	4413.59	0	0	25189.6	0	0	0
4000	4	4.44789	26687.3	272.017	5163.98	4476.54	0	0	25482.6	0	0	0
5000	5	4.3353	26011.8	249.368	4968.96	4301.6	0	0	25032.2	0	0	0
6000	6	4.36783	26207	263.005	5267.56	4108.74	0	0	25346.6	0	0	0
7000	7	4.34882	26092.9	271.902	5444.42	4468.54	0	0	25479.2	0	0	0
8000	8	4.46866	26812	271.259	5279.09	4545.11	0	0	25297	0	0	0
9000	9	4.4499	26699.4	270.66	5241.77	4700.78	0	0	25445.8	0	0	0
10000	10	4.44714	26682.9	274.521	5124.87	4308.93	0	0	25538.5	0	0	0
11000	11	4.42203	26532.2	258.216	5100.94	4510.99	0	0	25807.8	0	0	0
12000	12	4.33537	26012.2	263.97	5058.42	4529.23	0	0	25891.4	0	0	0
13000	13	4.41177	26470.6	266.338	5332.91	4297.24	0	0	25416.2	0	0	0
14000	14	4.36229	26173.7	260.375	5192.05	4348.7	0	0	25241	0	0	0
15000	15	4.3982	26389.2	265.939	5111.31	4593.2	0	0	25640.5	0	0	0
16000	16	4.41793	26507.6	263.436	5040.22	4493.14	0	0	25356.8	0	0	0
17000	17	4.34985	26099.1	260.944	5150.66	4231.39	0	0	25310.6	0	0	0
18000	18	4.37048	26222.9	275.674	5236.12	4224.18	0	0	25402.5	0	0	0
19000	19	4.58973	27538.4	281.318	5255.99	4462.56	0	0	25617.6	0	0	0
20000	20	4.39	26340	258.033	5356.57	4438.35	0	0	25359.3	0	0	0
21000	21	4.2739	25643.4	266.837	5133.16	4350.87	0	0	25584.6	0	0	0
22000	22	4.47509	26850.6	274.508	5528.72	4491.58	0	0	25316.1	0	0	0
23000	23	4.37246	26234.7	265.471	5171.25	4497.8	0	0	25271.3	0	0	0
24000	24	4.47763	26865.8	277.782	5247.77	4513.19	0	0	25461.8	0	0	0
25000	25	4.48655	26919.3	271.33	5608.98	4430.31	0	0	25717.1	0	0	0
26000	26	4.50452	27027.1	268.267	5173.68	4415.64	0	0	25614.7	0	0	0
27000	27	4.48554	26913.2	267.401	5241.05	4729.76	0	0	25360.1	0	0	0
28000	28	4.42625	26557.5	275.215	5348.21	4284.1	0	0	25893.1	0	0	0
29000	29	4.476	26856	258.302	4981.14	4320.9	0	0	25301.9	0	0	0
30000	30	4.35435	26126.1	269.174	5263.16	4580.21	0	0	25564.7	0	0	0
31000	31	4.33999	26040	258.568	5088.12	4681.81	0	0	25824.6	0	0	0
32000	32	4.46432	26785.9	261.187	5579.86	4314.05	0	0	25575.4	0	0	0
33000	33	4.39766	26385.9	265.881	5189.78	4403.26	0	0	25108.8	0	0	0
34000	34	4.4642	26785.2	263.237	5199.41	4335.06	0	0	25310.2	0	0	0
35000	35	4.47099	26825.9	267.578	5513.23	4524.49	0	0	25808	0	0	0
36000	36	4.28128	25687.7	268.776	5356.02	4509.72	0	0	25589.4	0	0	0
37000	37	4.34522	26071.3	252.633	5765.85	4345.8	0	0	25294.1	0	0	0
