step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
0	0	2.66784	16007	237.165	5087.16	4467.66	0	0	25793.6	0	0	0
1000	1	4.48294	26897.7	250.97	5179.95	4468.06	0	0	25064.9	0	0	0
2000	2	4.43579	26614.7	255.067	5153.56	4370.34	0	0	25065.9	0	0	0
3000	3	4.44611	26676.6	263.814	5278.95	4470.74	0	0	25368	0	0	0
4000	4	4.43337	26600.2	269.042	4983.27	4382.48	0	0	25637.1	0	0	0
5000	5	4.38803	26328.2	258.767	5278.35	4362.8	0	0	25739.6	0	0	0
6000	6	4.4373	26623.8	263.155	5216.2	4711.01	0	0	25692.6	0	0	0
7000	7	4.47411	26844.7	271.86	5160.75	4510.93	0	0	25367.5	0	0	0
8000	8	4.36822	26209.3	263.531	5027.33	4608.94	0	0	25660.4	0	0	0
9000	9	4.398	26388	266.882	5105.53	4261.98	0	0	25470.1	0	0	0
10000	10	4.4328	26596.8	261.417	5145.65	4492.52	0	0	25521.2	0	0	0
11000	11	4.46338	26780.3	263.436	5485.33	4261.42	0	0	25594.7	0	0	0
12000	12	4.47808	26868.5	265.715	5108.9	4613.98	0	0	25658	0	0	0
13000	13	4.39816	26389	263.571	5137.45	4486.89	0	0	25947.9	0	0	0
14000	14	4.36839	26210.3	273.824	5102.01	4195.05	0	0	25813.2	0	0	0
15000	15	4.33617	26017	270.314	5211.27	4533.56	0	0	25515.4	0	0	0
16000	16	4.47012	26820.7	267.869	5016.76	4563.92	0	0	25068.7	0	0	0
17000	17	4.47216	26832.9	262.388	5199.4	4337.43	0	0	25360.2	0	0	0
18000	18	4.40601	26436.1	273.09	5145.8	4411.1	0	0	25428.1	0	0	0
19000	19	4.48404	26904.3	258.457	5158.5	4308.48	0	0	25187.9	0	0	0
20000	20	4.46767	26806	259.392	5087.16	4511.17	0	0	25237.7	0	0	0
21000	21	4.45598	26735.9	257.205	5232.03	4449.62	0	0	25337.1	0	0	0
22000	22	4.43575	26614.5	278.351	5099.7	4544.87	0	0	25855.5	0	0	0
23000	23	4.42261	26535.6	255.563	5070.9	4505.14	0	0	25299.2	0	0	0
24000	24	4.42206	26532.4	261.924	5121.73	4537.44	0	0	25057.3	0	0	0
25000	25	4.38763	26325.8	249.605	5455.96	4748.51	0	0	25028.3	0	0	0
26000	26	4.52114	27126.8	271.725	5070.58	4341.43	0	0	25742	0	0	0
27000	27	4.36769	26206.1	259.781	5439.13	4295.61	0	0	25355.1	0	0	0
28000	28	4.4564	26738.4	268.858	5220.22	4203.41	0	0	25237	0	0	0
29000	29	4.41517	26491	263.538	5388.94	4315.42	0	0	25820.7	0	0	0
30000	30	4.47619	26857.1	261.268	5478.77	4428.71	0	0	25622	0	0	0
