step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
0	0	2.66784	16007	237.165	5087.16	4467.66	0	0	25793.6	0	0	0
1000	1	4.38251	26295.1	259.347	5183.26	4365.37	0	0	25356.8	0	0	0
2000	2	4.39645	26378.7	257.135	5143.96	4367.57	0	0	25250.5	0	0	0
3000	3	4.32546	25952.8	269.336	5191.27	4342.03	0	0	25347.6	0	0	0
4000	4	4.49014	26940.8	267.193	5164.61	4813.18	0	0	25447	0	0	0
5000	5	4.39765	26385.9	255.716	5108	4546.75	0	0	25312.4	0	0	0
6000	6	4.46828	26809.7	262.387	5331.76	4293.07	0	0	25639.8	0	0	0
7000	7	4.44641	26678.5	270.003	5082.74	4532.3	0	0	25745.6	0	0	0
8000	8	4.4549	26729.4	265.497	5219.47	4516.18	0	0	25863.1	0	0	0
9000	9	4.51244	27074.7	266.621	5224.61	4339.23	0	0	25605.3	0	0	0
10000	10	4.39939	26396.4	269.118	5093.27	4507.72	0	0	25169.3	0	0	0
11000	11	4.40778	26446.7	265.176	4947.09	4515.78	0	0	25109.5	0	0	0
12000	12	4.43133	26588	263.549	5597.99	4385.01	0	0	25152.9	0	0	0
13000	13	4.38419	26305.1	273.739	5004.66	4513.25	0	0	25357.8	0	0	0
14000	14	4.44631	26677.9	262.506	4954.63	4445.39	0	0	25698.7	0	0	0
15000	15	4.45322	26719.3	271.173	5340.12	4221.84	0	0	25524.7	0	0	0
16000	16	4.45144	26708.6	278.03	5086.77	4360.37	0	0	25588.2	0	0	0
17000	17	4.44406	26664.3	262.724	5122.39	4392.48	0	0	25699	0	0	0
18000	18	4.41422	26485.3	275.215	5209.32	4514.24	0	0	25517.1	0	0	0
19000	19	4.49995	26999.7	269.502	5039.16	4428.21	0	0	25218.2	0	0	0
20000	20	4.57428	27445.7	266.462	5265.11	4598.36	0	0	25422	0	0	0
21000	21	4.31815	25908.9	265.629	5176.59	4560.34	0	0	25377.8	0	0	0
22000	22	4.42689	26561.3	271.108	5028.83	4625.75	0	0	25543.2	0	0	0
23000	23	4.444	26664	277.375	5189.59	4349.83	0	0	25479	0	0	0
24000	24	4.4444	26666.4	277.66	5111.23	4485.13	0	0	25302.1	0	0	0
25000	25	4.41617	26497	254.475	5215.26	4394.97	0	0	25462.1	0	0	0
26000	26	4.43504	26610.2	265.48	5134.68	4228.49	0	0	24974.6	0	0	0
27000	27	4.41187	26471.2	271.109	5003.06	4524.93	0	0	25349.5	0	0	0
28000	28	4.40362	26421.7	262.067	5235.93	4179.06	0	0	25713.4	0	0	0
29000	29	4.4148	26488.8	274.957	5115.65	4701.21	0	0	25574.4	0	0	0
30000	30	4.38253	26295.2	259.609	5199.69	4601.3	0	0	25489.9	0	0	0
31000	31	4.46754	26805.3	277.06	5080.44	4412.17	0	0	25154.5	0	0	0
32000	32	4.37444	26246.7	275.464	5156.17	4467.31	0	0	25550.3	0	0	0
33000	33	4.47435	26846.1	271.252	5424.05	4596.85	0	0	25661.9	0	0	0
34000	34	4.40092	26405.5	262.399	5053.45	4180.51	0	0	25619.9	0	0	0
35000	35	4.41654	26499.2	271.319	5125.08	4660.73	0	0	25576.1	0	0	0
36000	36	4.45654	26739.2	256.841	5184.58	4485.39	0	0	25541.3	0	0	0
37000	37	4.45496	26729.7	268.829	5121.14	4618.96	0	0	25497.3	0	0	0
38000	38	4.45356	26721.3	267.356	5269.55	4441.17	0	0	25703.8	0	0	0
39000	39	4.39007	26340.4	273.094	5335.58	4293.53	0	0	25672.2	0	0	0
40000	40	4.40781	26446.8	277.388	5206.41	4479.3	0	0	25907.8	0	0	0
41000	41	4.37984	26279	264.039	5054.06	4352.7	0	0	25973	0	0	0
42000	42	4.49202	26952.1	267.914	5016.14	4318.27	0	0	25864.8	0	0	0
43000	43	4.37565	26253.9	272.195	5191.01	4392.88	0	0	25980.6	0	0	0
44000	44	4.37657	26259.4	267.229	5310.91	4411.9	0	0	25535.8	0	0	0
45000	45	4.40284	26417	264.048	5067.03	4430.7	0	0	25750.2	0	0	0
46000	46	4.35446	26126.8	268.449	5054.53	4528.65	0	0	25504.8	0	0	0
47000	47	4.38334	26300.1	265.317	5241.51	4554.13	0	0	25729.9	0	0	0
48000	48	4.46151	26769.1	262.929	5364.4	4364.62	0	0	25442.2	0	0	0
49000	49	4.44592	26675.5	259.47	4977.31	4480.32	0	0	25772.8	0	0	0
50000	50	4.39994	26399.6	259.66	5119.09	4399.07	0	0	25766.3	0	0	0
51000	51	4.35347	26120.8	255.973	5279.73	4330.25	0	0	25163.5	0	0	0
52000	52	4.46082	26764.9	270.648	5067.7	4345.84	0	0	25468.3	0	0	0
53000	53	4.41242	26474.5	269.566	5272.49	4385.9	0	0	25585.2	0	0	0
54000	54	4.55851	27351.1	261.245	5320.27	4482.53	0	0	26023	0	0	0
55000	55	4.48052	26883.1	266.293	5304.41	4499.37	0	0	25419.9	0	0	0
56000	56	4.37872	26272.3	263.455	5309.13	4477.01	0	0	25213.1	0	0	0
57000	57	4.36348	26180.9	263.908	5163.7	4293.44	0	0	24970	0	0	0
58000	58	4.47996	26879.8	278.996	5137.69	4591.25	0	0	25357.7	0	0	0
59000	59	4.37095	26225.7	257.55	5481.8	4497.04	0	0	25583.6	0	0	0
60000	60	4.42092	26525.5	264.593	5345.5	4552.94	0	0	25482.3	0	0	0
61000	61	4.42595	26555.7	265.042	5049.2	4490.35	0	0	25334.9	0	0	0
62000	62	4.47632	26857.9	257.459	5308.53	4575.49	0	0	25284.7	0	0	0
63000	63	4.46357	26781.4	267.192	4978.03	4316.78	0	0	25533.8	0	0	0
64000	64	4.39714	26382.8	260.43	5437.17	4660.82	0	0	25106.8	0	0	0
65000	65	4.4261	26556.6	265.28	5397.61	4337.49	0	0	25465.8	0	0	0
66000	66	4.52418	27145.1	259.456	5544.46	4229.96	0	0	25440.3	0	0	0
67000	67	4.45667	26740	268.18	5112.56	4820.67	0	0	25983.5	0	0	0
68000	68	4.47831	26869.9	268.982	5356.94	4441.63	0	0	25852.3	0	0	0
69000	69	4.34806	26088.4	257.88	5344.34	4318.52	0	0	25376.8	0	0	0
70000	70	4.41334	26480	258.691	5085.07	4339.43	0	0	25244.9	0	0	0
71000	71	4.47889	26873.4	264.607	5116.61	4631.7	0	0	25561.4	0	0	0
72000	72	4.40621	26437.2	263.603	5388.11	4504.61	0	0	25190.6	0	0	0
73000	73	4.42017	26521	258.222	5461.8	4616.34	0	0	25361.9	0	0	0
74000	74	4.40481	26428.8	268.136	5125.22	4293.2	0	0	25447	0	0	0
75000	75	4.28751	25725.1	260.574	4973.14	4681.29	0	0	25896.6	0	0	0
76000	76	4.48533	26912	278.327	5183.58	4316.57	0	0	25412.3	0	0	0
77000	77	4.44096	26645.8	268.885	5085.1	4528.14	0	0	25531.5	0	0	0
78000	78	4.35291	26117.5	264.699	5192.03	4631.81	0	0	25283.5	0	0	0
79000	79	4.35144	26108.6	267.793	5080.11	4372.99	0	0	25478.3	0	0	0
80000	80	4.45732	26743.9	270.354	4975.68	4494.89	0	0	25845	0	0	0
81000	81	4.34269	26056.2	261.502	5285.72	4329.22	0	0	25447.1	0	0	0
82000	82	4.48427	26905.6	264.505	5359.72	4257.89	0	0	25566	0	0	0
83000	83	4.39695	26381.7	278.282	5460.75	4173.85	0	0	25522.1	0	0	0
84000	84	4.51546	27092.8	268.33	5239.37	4480.03	0	0	25773.8	0	0	0
85000	85	4.31389	25883.4	269.707	5320.37	4290.71	0	0	25513.2	0	0	0
86000	86	4.46682	26800.9	275.197	5738.17	4336.74	0	0	25343	0	0	0
87000	87	4.35465	26127.9	264.242	5450.17	4373.12	0	0	25409.9	0	0	0
