step	time	T	Ekin	P	dyn_angles_0	dyn_bonds_0	dyn_dihedrals_0	fpl_reaction_1	lj-tab	tab-dynamic_0	cr_5	count_0
0	0	2.66784	16007	237.165	5087.16	4467.66	0	0	25793.6	0	0	0
1000	1	4.48169	26890.1	252.269	5232.63	4277.41	0	0	25484.2	0	0	0
2000	2	4.42969	26578.2	259.052	5385.82	4645.02	0	0	26132.8	0	0	0
3000	3	4.35627	26137.6	259.071	5112.58	4302.97	0	0	25751.1	0	0	0
4000	4	4.46521	26791.3	255.574	5357.96	4565.52	0	0	25287.5	0	0	0
5000	5	4.30547	25832.8	265.853	5249.38	4059.64	0	0	25834.3	0	0	0
6000	6	4.43091	26585.5	266.654	5598.83	4378.83	0	0	25404.1	0	0	0
7000	7	4.3662	26197.2	258.643	5215.44	4183.56	0	0	25382.5	0	0	0
8000	8	4.3689	26213.4	261.936	5110.87	4652.23	0	0	25581.8	0	0	0
9000	9	4.38092	26285.5	264.027	5359.84	4227.81	0	0	25556.7	0	0	0
10000	10	4.39773	26386.4	268.315	5220.97	4360.14	0	0	25281	0	0	0
11000	11	4.3012	25807.2	260.299	5049.26	4419.82	0	0	25217.4	0	0	0
12000	12	4.34016	26040.9	254.907	5308.47	4327.85	0	0	25245.6	0	0	0
13000	13	4.5293	27175.8	258.959	5242.96	4602.6	0	0	25223	0	0	0
14000	14	4.48206	26892.4	268.267	5198.59	4439.71	0	0	25234.4	0	0	0
15000	15	4.41203	26472.2	269.305	5182.71	4340.21	0	0	25596	0	0	0
16000	16	4.46502	26790.1	264.368	5280.5	4094.31	0	0	25006.9	0	0	0
17000	17	4.49454	26967.2	262.799	5184.45	4698.91	0	0	25450.2	0	0	0
18000	18	4.47547	26852.8	259.855	5628.73	4302.24	0	0	24882.3	0	0	0
19000	19	4.43685	26621.1	269.399	5177.14	4352.6	0	0	25130.1	0	0	0
20000	20	4.51939	27116.3	264.945	5546.88	4609.65	0	0	26023.5	0	0	0
21000	21	4.35993	26159.6	266.13	5241.36	4605.23	0	0	25848.9	0	0	0
22000	22	4.41708	26502.5	262.63	5181.21	4715.27	0	0	25529.8	0	0	0
23000	23	4.46402	26784.1	264.986	5038.31	4436.49	0	0	25207.9	0	0	0
24000	24	4.54119	27247.1	262.329	5418.46	4422.18	0	0	25895.3	0	0	0
25000	25	4.53146	27188.8	274.034	5181.36	4422.19	0	0	25391.8	0	0	0
26000	26	4.5502	27301.2	267.576	5211.76	4402.23	0	0	25426.9	0	0	0
27000	27	4.43884	26633	256.249	5195.33	4323.57	0	0	25672.2	0	0	0
28000	28	4.42057	26523.4	263.325	5271.18	4377.67	0	0	25440.8	0	0	0
29000	29	4.36004	26160.2	254.78	5384.88	4541.92	0	0	25780.5	0	0	0
30000	30	4.48251	26895.1	271.562	5391.7	4607.09	0	0	25594.6	0	0	0
31000	31	4.4466	26679.6	268.482	5186.16	4249.2	0	0	25036.2	0	0	0
32000	32	4.51697	27101.8	278.397	5324.92	4552.78	0	0	25220.5	0	0	0
33000	33	4.41265	26475.9	263.128	5160.09	4244.22	0	0	25262.2	0	0	0
34000	34	4.42368	26542.1	283.214	5187.62	4387.92	0	0	25784.9	0	0	0
35000	35	4.52156	27129.4	266.518	5111.21	4421.36	0	0	25190.2	0	0	0
36000	36	4.42543	26552.6	267.305	5404.81	4432.26	0	0	24964.5	0	0	0
37000	37	4.41302	26478.1	266.814	5039.12	4363.64	0	0	25286.1	0	0	0
38000	38	4.4355	26613	266.886	5203.7	4378.92	0	0	25441	0	0	0
39000	39	4.46219	26773.2	260.869	5208.84	4141.35	0	0	25097.7	0	0	0
40000	40	4.40116	26407	268.916	5333.64	4331.98	0	0	25214.2	0	0	0
41000	41	4.42528	26551.7	275.732	4923.05	4299.85	0	0	25463.6	0	0	0
42000	42	4.4648	26788.8	266.407	5113.88	4275.37	0	0	25724.8	0	0	0
43000	43	4.44676	26680.6	267.613	4909.6	4598.63	0	0	25469.1	0	0	0
44000	44	4.38809	26328.5	270.372	5266.8	4347.49	0	0	25446.9	0	0	0
45000	45	4.35035	26102.1	267.061	5437.05	4508.37	0	0	25573.9	0	0	0
46000	46	4.30176	25810.6	270.107	5224.65	4601.71	0	0	25631.2	0	0	0
47000	47	4.42466	26547.9	271.99	5270.29	4295.23	0	0	26033.6	0	0	0
48000	48	4.49795	26987.7	265.994	5213.9	4471.05	0	0	25736.5	0	0	0
49000	49	4.40179	26410.7	266.415	5282.2	4602.48	0	0	26056.9	0	0	0
50000	50	4.37391	26243.5	267.394	5062.75	4455.68	0	0	25539.6	0	0	0
51000	51	4.39117	26347	260.91	5297.47	4519.13	0	0	25289.1	0	0	0
52000	52	4.47669	26860.1	260.874	5298.66	4411.98	0	0	25702.4	0	0	0
53000	53	4.48203	26892.2	258.816	5464.18	4461.2	0	0	25751.5	0	0	0
54000	54	4.49329	26959.7	265.653	5199.1	4140.44	0	0	25166.1	0	0	0
55000	55	4.43039	26582.4	264.38	5209.61	4418	0	0	25704.4	0	0	0
56000	56	4.38289	26297.4	266.96	5267.41	4464.68	0	0	25151.5	0	0	0
57000	57	4.47401	26844.1	269.534	5026.31	4589.64	0	0	25488.9	0	0	0
58000	58	4.47788	26867.3	257.22	5091.64	4706.6	0	0	25649	0	0	0
59000	59	4.38066	26284	267.119	5309.56	4504.3	0	0	25434.9	0	0	0
60000	60	4.47198	26831.9	262.388	5305.19	4307.24	0	0	25585.5	0	0	0
61000	61	4.38126	26287.6	259.37	5098.39	4447.96	0	0	25385.9	0	0	0
62000	62	4.46583	26795	270.252	5048.02	4615.37	0	0	25247.8	0	0	0
63000	63	4.3466	26079.6	270.484	5340.99	4526.69	0	0	25683.7	0	0	0
64000	64	4.42583	26555	263.245	5066.59	4542.16	0	0	25787.3	0	0	0
